@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,6,10-11,13-14,16-17'

@attribute Perimeter numeric
@attribute Eccentricity numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.087575,0.384842,0.92692,0.909531,0.517038,0.841407,0.983616,SEKER
0.080339,0.378384,0.970418,0.972944,0.515751,0.845081,0.977958,SEKER
0.098982,0.666639,0.901179,0.817997,0.598896,0.600452,0.94395,SEKER
0.095059,0.525841,0.884122,0.851587,0.549049,0.733569,0.980103,SEKER
0.084778,0.498627,0.956378,0.937546,0.541542,0.756285,0.985376,SEKER
0.08911,0.412191,0.926254,0.903827,0.521023,0.819908,0.97474,SEKER
0.091385,0.474869,0.919214,0.887546,0.534005,0.774253,0.993634,SEKER
0.088221,0.493918,0.928896,0.9143,0.539024,0.758074,0.97893,SEKER
0.096367,0.469822,0.877237,0.848121,0.532449,0.778061,0.996269,SEKER
0.081687,0.463262,0.963327,0.972768,0.530929,0.781896,0.983943,SEKER
0.089052,0.459178,0.926656,0.909638,0.53002,0.784425,0.977709,SEKER
0.087416,0.492425,0.948017,0.923717,0.537563,0.760086,0.998807,SEKER
0.083402,0.410403,0.930769,0.959368,0.518852,0.820343,0.986491,SEKER
0.085479,0.390195,0.951871,0.943936,0.514386,0.832973,0.978648,SEKER
0.088226,0.465838,0.935036,0.921304,0.530261,0.778871,0.987115,SEKER
0.090666,0.462435,0.922675,0.901756,0.529261,0.781094,0.985525,SEKER
0.103139,0.467529,0.893563,0.802468,0.530427,0.776555,0.979417,SEKER
0.080974,0.422408,0.976239,0.986675,0.52003,0.810358,0.986573,SEKER
0.088334,0.432234,0.932226,0.925961,0.52132,0.80255,0.98824,SEKER
0.088396,0.519239,0.948376,0.927314,0.541989,0.734746,0.990189,SEKER
0.085084,0.455935,0.93776,0.958731,0.525567,0.783654,0.985682,SEKER
0.08689,0.45308,0.952176,0.943319,0.524726,0.786167,0.99141,SEKER
0.089273,0.444882,0.939774,0.922971,0.522956,0.791986,0.987828,SEKER
0.095286,0.513563,0.879739,0.873428,0.539822,0.737966,0.981718,SEKER
0.090943,0.539896,0.940412,0.912376,0.546194,0.71581,0.990108,SEKER
0.085475,0.502045,0.961602,0.959311,0.535657,0.747625,0.996861,SEKER
0.095885,0.381451,0.909545,0.873667,0.509637,0.831261,0.940664,SEKER
0.090559,0.634066,0.957741,0.918166,0.577861,0.625909,0.938507,SEKER
0.087847,0.504521,0.951627,0.945691,0.534796,0.743644,0.99242,SEKER
0.088809,0.486074,0.943695,0.937854,0.530068,0.758036,0.989843,SEKER
0.092636,0.318627,0.947304,0.90602,0.496148,0.873441,0.991929,SEKER
0.090333,0.285322,0.935448,0.926294,0.491147,0.891059,0.974856,SEKER
0.093027,0.464663,0.932066,0.906272,0.524191,0.77283,0.980143,SEKER
0.085628,0.414188,0.955481,0.969499,0.512851,0.810377,0.99023,SEKER
0.086465,0.501774,0.951976,0.963375,0.532923,0.743968,0.985288,SEKER
0.089063,0.467591,0.94444,0.941013,0.52469,0.769939,0.975471,SEKER
0.088313,0.40962,0.955167,0.94762,0.511736,0.812724,0.984101,SEKER
0.091306,0.437736,0.940605,0.923868,0.517662,0.790977,0.966738,SEKER
0.098898,0.375068,0.915346,0.861779,0.5048,0.834499,0.971569,SEKER
0.095417,0.573434,0.912648,0.890788,0.55332,0.680597,0.9558,SEKER
0.089534,0.415037,0.939579,0.941307,0.511643,0.808748,0.995402,SEKER
0.09242,0.52507,0.934898,0.91773,0.537833,0.723913,0.988171,SEKER
0.100556,0.385837,0.889436,0.853211,0.505308,0.827541,0.990019,SEKER
0.09031,0.493036,0.940191,0.937886,0.529064,0.748655,0.979355,SEKER
0.098218,0.429557,0.885205,0.872754,0.514102,0.796614,0.983799,SEKER
0.098242,0.112307,0.915863,0.873296,0.467415,0.970417,0.986116,SEKER
0.111954,0.513373,0.843968,0.767375,0.534376,0.730767,0.96229,SEKER
0.104106,0.48319,0.883161,0.828996,0.525875,0.755129,0.974633,SEKER
0.099295,0.462544,0.891465,0.868106,0.520558,0.771126,0.980948,SEKER
0.096611,0.487711,0.92597,0.890117,0.52615,0.753011,0.998165,SEKER
0.087598,0.466839,0.960646,0.966387,0.521374,0.768085,0.985023,SEKER
0.089664,0.477582,0.942921,0.948881,0.523852,0.759794,0.985093,SEKER
0.094709,0.372201,0.923009,0.90814,0.501311,0.833528,0.977513,SEKER
0.089533,0.473862,0.966318,0.952286,0.522789,0.760961,0.969723,SEKER
0.09806,0.43343,0.921097,0.881228,0.513195,0.792074,0.985514,SEKER
0.092234,0.623044,0.969143,0.930424,0.566043,0.634188,0.99017,SEKER
0.087276,0.421146,0.971512,0.973021,0.510202,0.801183,0.993356,SEKER
0.095287,0.332074,0.921218,0.905512,0.493957,0.857536,0.969666,SEKER
0.088368,0.533472,0.966418,0.964222,0.537533,0.71362,0.98118,SEKER
0.084654,0.438327,0.977618,1,0.512972,0.788061,0.994863,SEKER
0.088362,0.434999,0.968995,0.968318,0.512226,0.789607,0.986653,SEKER
0.106724,0.604023,0.922742,0.818502,0.558635,0.649518,0.96766,SEKER
0.08873,0.429168,0.968245,0.965829,0.511162,0.792458,0.971579,SEKER
0.095795,0.580602,0.941629,0.907266,0.550034,0.671923,0.988729,SEKER
0.093146,0.121769,0.922651,0.931816,0.46477,0.961368,0.982575,SEKER
0.092653,0.561387,0.966517,0.936673,0.543305,0.68827,0.98974,SEKER
0.091896,0.323107,0.946541,0.943276,0.490242,0.860949,0.976548,SEKER
0.123068,0.605816,0.843064,0.704329,0.557498,0.647198,0.978335,SEKER
0.099855,0.534037,0.91989,0.880895,0.534605,0.710195,0.982459,SEKER
0.098495,0.469128,0.908247,0.892118,0.518093,0.761185,0.974209,SEKER
0.102488,0.449885,0.922652,0.860261,0.513274,0.776503,0.988409,SEKER
0.088345,0.457623,0.971863,0.9785,0.515233,0.769809,0.976303,SEKER
0.105794,0.385864,0.874255,0.834663,0.500184,0.820338,0.978389,SEKER
0.091992,0.573748,0.951937,0.947477,0.545919,0.676123,0.987914,SEKER
0.093639,0.47327,0.93363,0.933852,0.518609,0.758117,0.980042,SEKER
0.092219,0.428837,0.933784,0.948083,0.508049,0.790542,0.983856,SEKER
0.095825,0.403449,0.93191,0.918659,0.502494,0.8084,0.989565,SEKER
0.089049,0.359552,0.964318,0.977687,0.494064,0.836602,0.985208,SEKER
0.091946,0.450349,0.958863,0.952777,0.512043,0.774921,0.99061,SEKER
0.096447,0.515032,0.92853,0.915069,0.527749,0.724925,0.990807,SEKER
0.091651,0.532007,0.958882,0.955651,0.532463,0.710555,0.985037,SEKER
0.09729,0.367749,0.930488,0.908315,0.495225,0.831865,0.993366,SEKER
0.090791,0.461731,0.962406,0.963276,0.515034,0.764597,0.967023,SEKER
0.089921,0.448085,0.965567,0.971565,0.511699,0.774736,0.970363,SEKER
0.095627,0.479092,0.935601,0.923035,0.519016,0.751041,0.963841,SEKER
0.089467,0.348436,0.950417,0.976268,0.491479,0.843552,0.992115,SEKER
0.092597,0.453157,0.96057,0.94981,0.512004,0.772476,0.994162,SEKER
0.090911,0.506658,0.973524,0.96602,0.524753,0.730266,0.984671,SEKER
0.090598,0.336814,0.968954,0.970809,0.488462,0.849874,0.996091,SEKER
0.091432,0.497683,0.967799,0.963844,0.522066,0.736415,0.978684,SEKER
0.094262,0.433283,0.923586,0.939751,0.507137,0.784495,0.975827,SEKER
0.088164,0.194789,0.958883,0.992823,0.468356,0.925793,0.995443,SEKER
0.098945,0.501683,0.93876,0.901938,0.523108,0.731977,0.965026,SEKER
0.096946,0.44906,0.933406,0.919347,0.509693,0.77391,0.99366,SEKER
0.091069,0.395118,0.959002,0.969582,0.498344,0.811821,0.996141,SEKER
0.091818,0.432115,0.953186,0.96318,0.506173,0.785122,0.981688,SEKER
0.113262,0.218124,0.855185,0.792266,0.470795,0.912173,0.977742,SEKER
0.099606,0.413707,0.917768,0.899881,0.501525,0.798716,0.99749,SEKER
0.092201,0.293004,0.955258,0.962136,0.480501,0.873786,0.991534,SEKER
0.09882,0.448696,0.923212,0.906944,0.509432,0.77164,0.970162,SEKER
0.094681,0.445684,0.961124,0.941918,0.508348,0.774755,0.98403,SEKER
0.095593,0.547314,0.966018,0.938657,0.533235,0.693106,0.973134,SEKER
0.100614,0.540282,0.937496,0.897833,0.531123,0.698598,0.9696,SEKER
0.089682,0.377967,0.972268,0.990548,0.493203,0.820694,0.993605,SEKER
0.096595,0.320342,0.941203,0.934603,0.482516,0.855666,0.995033,SEKER
0.099002,0.524896,0.940875,0.915417,0.525498,0.711308,0.984114,SEKER
0.0901,0.357237,0.971363,0.992016,0.488525,0.832029,0.985928,SEKER
0.093311,0.401551,0.950981,0.964976,0.496722,0.802455,0.979376,SEKER
0.1001,0.463787,0.948698,0.908384,0.509668,0.758856,0.988321,SEKER
0.099159,0.373882,0.919556,0.916354,0.491195,0.821057,0.985843,SEKER
0.09566,0.57697,0.960286,0.946107,0.539947,0.666604,0.986911,SEKER
0.108569,0.446434,0.893254,0.84154,0.506023,0.769912,0.968291,SEKER
0.09459,0.364947,0.952994,0.955524,0.489301,0.826873,0.98988,SEKER
0.098372,0.532344,0.952232,0.92383,0.526635,0.704891,0.990682,SEKER
0.097376,0.491151,0.940745,0.932696,0.51567,0.738001,0.993774,SEKER
0.096861,0.419743,0.946316,0.940062,0.498916,0.789658,0.99231,SEKER
0.097613,0.535142,0.954427,0.934653,0.526888,0.699963,0.967968,SEKER
0.09847,0.57834,0.941393,0.927505,0.539221,0.664253,0.986283,SEKER
0.113387,0.617897,0.909373,0.809962,0.552015,0.628499,0.992615,SEKER
0.097739,0.556497,0.947577,0.934444,0.532525,0.682631,0.98006,SEKER
0.09698,0.380554,0.957957,0.941257,0.491064,0.814444,0.979174,SEKER
0.101378,0.554185,0.925057,0.90497,0.531754,0.68431,0.977786,SEKER
0.098831,0.322469,0.952287,0.927133,0.48045,0.851116,0.991866,SEKER
0.095169,0.392541,0.958812,0.95812,0.493202,0.805419,0.969421,SEKER
0.092581,0.498163,0.964974,0.980813,0.515856,0.730508,0.989681,SEKER
0.099562,0.532657,0.952022,0.922967,0.525213,0.700749,0.964867,SEKER
0.09676,0.462504,0.942113,0.9469,0.506868,0.757348,0.990812,SEKER
0.104431,0.472617,0.897268,0.884583,0.509138,0.749206,0.985641,SEKER
0.100536,0.54325,0.951347,0.916375,0.527515,0.692578,0.978827,SEKER
0.094076,0.33334,0.952135,0.971128,0.481425,0.843494,0.990151,SEKER
0.09832,0.51681,0.96177,0.936384,0.51984,0.714083,0.981455,SEKER
0.106706,0.47281,0.914943,0.868938,0.50872,0.748032,0.980139,SEKER
0.097597,0.497859,0.94847,0.94369,0.514883,0.728188,0.972554,SEKER
0.102132,0.347278,0.924891,0.906606,0.483186,0.833933,0.9864,SEKER
0.097115,0.579374,0.969568,0.949217,0.537365,0.660345,0.975472,SEKER
0.098146,0.411169,0.93904,0.940598,0.49456,0.792971,0.995985,SEKER
0.102377,0.526269,0.906093,0.906708,0.521442,0.705621,0.982894,SEKER
0.094064,0.447717,0.978811,0.976433,0.502404,0.765563,0.976945,SEKER
0.104289,0.420287,0.918344,0.892729,0.496112,0.78497,0.982181,SEKER
0.093567,0.400233,0.972802,0.983018,0.491696,0.799363,0.993987,SEKER
0.098588,0.468653,0.952259,0.941156,0.506733,0.748417,0.963218,SEKER
0.093385,0.451153,0.98814,0.985507,0.502317,0.762747,0.983025,SEKER
0.104606,0.546855,0.933684,0.892415,0.526018,0.688449,0.993931,SEKER
0.100818,0.384658,0.934831,0.923439,0.488323,0.809289,0.994745,SEKER
0.097015,0.537082,0.966456,0.956216,0.523635,0.694522,0.967119,SEKER
0.109259,0.497011,0.885056,0.856853,0.512883,0.726862,0.971173,SEKER
0.101191,0.468881,0.954318,0.922079,0.505459,0.750013,0.996081,SEKER
0.098565,0.39496,0.94748,0.943982,0.49008,0.801331,0.985548,SEKER
0.103836,0.46014,0.931186,0.900777,0.503559,0.755833,0.988114,SEKER
0.112889,0.490424,0.894247,0.830343,0.510788,0.731819,0.974759,SEKER
0.100484,0.506002,0.944956,0.930035,0.514583,0.719213,0.971036,SEKER
0.100715,0.323129,0.960596,0.929344,0.477088,0.844174,0.970369,SEKER
0.099132,0.464306,0.943928,0.942987,0.503708,0.751967,0.988893,SEKER
0.104458,0.512555,0.922768,0.899457,0.515562,0.714317,0.981977,SEKER
0.096499,0.483403,0.971301,0.965912,0.508033,0.737467,0.989093,SEKER
0.097936,0.490307,0.976259,0.953941,0.510178,0.730488,0.966218,SEKER
0.102782,0.60311,0.957295,0.914307,0.541837,0.637359,0.989987,SEKER
0.106463,0.670063,0.929824,0.886745,0.566465,0.572075,0.976802,SEKER
0.09929,0.505414,0.942303,0.945744,0.512955,0.718835,0.978264,SEKER
0.096136,0.517622,0.977557,0.972524,0.515945,0.709609,0.985218,SEKER
0.105512,0.487231,0.926081,0.894767,0.508535,0.732465,0.972016,SEKER
0.109367,0.525082,0.921237,0.86479,0.518368,0.701498,0.957742,SEKER
0.097535,0.548368,0.969251,0.96156,0.524002,0.684653,0.99252,SEKER
0.111637,0.388843,0.89347,0.84755,0.486655,0.803762,0.995417,SEKER
0.104953,0.522876,0.940515,0.900585,0.517882,0.702397,0.947022,SEKER
0.106643,0.529721,0.931097,0.887201,0.518695,0.699745,0.989768,SEKER
0.111898,0.482682,0.88827,0.846006,0.507591,0.733793,0.947933,SEKER
0.103343,0.469226,0.924004,0.914773,0.503348,0.746629,0.988089,SEKER
0.109385,0.551202,0.906719,0.866417,0.525658,0.678262,0.938893,SEKER
0.108293,0.401425,0.91613,0.875254,0.489538,0.792202,0.958441,SEKER
0.103406,0.682842,0.982667,0.915356,0.571022,0.558023,0.970629,SEKER
0.097285,0.489629,0.964495,0.966898,0.508165,0.729809,0.973921,SEKER
0.101027,0.414308,0.95619,0.935692,0.490995,0.7857,0.99242,SEKER
0.104708,0.628108,0.917381,0.905518,0.549163,0.61192,0.97721,SEKER
0.11148,0.536974,0.85573,0.852166,0.521353,0.688876,0.928622,SEKER
0.102641,0.533252,0.941907,0.923287,0.51904,0.695344,0.980029,SEKER
0.105094,0.576837,0.925392,0.903915,0.531432,0.658762,0.987069,SEKER
0.098311,0.491642,0.968777,0.960439,0.507804,0.728829,0.989312,SEKER
0.09802,0.394173,0.952948,0.963574,0.486458,0.798629,0.993218,SEKER
0.102182,0.514255,0.935626,0.928834,0.513445,0.710615,0.984817,SEKER
0.112838,0.199468,0.872028,0.844239,0.457003,0.907578,0.993737,SEKER
0.100066,0.556168,0.962832,0.947551,0.524637,0.676245,0.98974,SEKER
0.09908,0.433722,0.962455,0.95584,0.494294,0.770742,0.985285,SEKER
0.0995,0.532563,0.973933,0.955154,0.517389,0.69505,0.986576,SEKER
0.101679,0.50424,0.949452,0.937258,0.50968,0.718208,0.994459,SEKER
0.110103,0.421674,0.901481,0.86921,0.491141,0.778115,0.982382,SEKER
0.108614,0.563897,0.923639,0.882104,0.526042,0.668284,0.983757,SEKER
0.103022,0.449237,0.94089,0.927419,0.496904,0.757728,0.973378,SEKER
0.097977,0.507503,0.961582,0.969844,0.510733,0.713609,0.970251,SEKER
0.100135,0.523386,0.961968,0.951762,0.515334,0.69944,0.948659,SEKER
0.099466,0.469711,0.948432,0.957504,0.501004,0.743969,0.991571,SEKER
0.097836,0.429861,0.958975,0.971558,0.49235,0.772172,0.985163,SEKER
0.10446,0.545433,0.937569,0.916442,0.520973,0.682214,0.962069,SEKER
0.106994,0.40269,0.931307,0.89743,0.486809,0.789238,0.971092,SEKER
0.10279,0.55695,0.940318,0.931976,0.523512,0.673172,0.977401,SEKER
0.098374,0.415882,0.954596,0.969279,0.489025,0.781115,0.983277,SEKER
0.099162,0.495808,0.971534,0.962817,0.507021,0.722309,0.974321,SEKER
0.113427,0.52844,0.899351,0.848538,0.515413,0.695601,0.965246,SEKER
0.103825,0.487188,0.948683,0.925199,0.504593,0.728722,0.975742,SEKER
0.09972,0.428292,0.965637,0.960441,0.490945,0.772094,0.985509,SEKER
0.100269,0.452939,0.951772,0.956203,0.496593,0.753014,0.965021,SEKER
0.099839,0.446762,0.96229,0.960055,0.494682,0.759069,0.987734,SEKER
0.10096,0.541222,0.958581,0.951402,0.51764,0.686598,0.995322,SEKER
0.098951,0.295611,0.957834,0.96841,0.46717,0.854978,0.989918,SEKER
0.103286,0.343763,0.941734,0.932222,0.475029,0.825928,0.976438,SEKER
0.11094,0.491586,0.922338,0.870935,0.504974,0.7247,0.976391,SEKER
0.111688,0.468252,0.916019,0.865279,0.499277,0.742596,0.981579,SEKER
0.099093,0.504899,0.961642,0.968209,0.508294,0.713901,0.971056,SEKER
0.108428,0.481785,0.92277,0.891599,0.502214,0.732678,0.986241,SEKER
0.100786,0.439447,0.945555,0.954255,0.492673,0.763594,0.985658,SEKER
0.104742,0.447424,0.932855,0.921566,0.494402,0.75777,0.98407,SEKER
0.104483,0.479561,0.942617,0.924397,0.502828,0.729891,0.926765,SEKER
0.114645,0.439295,0.905369,0.843986,0.492126,0.764325,0.997771,SEKER
0.115567,0.57407,0.922494,0.837023,0.527502,0.655762,0.958388,SEKER
0.100338,0.56525,0.972982,0.959244,0.524207,0.66514,0.985529,SEKER
0.100682,0.413086,0.949767,0.956679,0.486699,0.782147,0.994549,SEKER
0.103463,0.497674,0.958881,0.935761,0.505603,0.718372,0.968553,SEKER
0.09959,0.34955,0.964495,0.968184,0.474802,0.821488,0.981405,SEKER
0.11084,0.558986,0.92681,0.876509,0.522169,0.66842,0.96436,SEKER
0.102393,0.475185,0.969016,0.94513,0.499682,0.736583,0.986028,SEKER
0.106299,0.371723,0.923536,0.913824,0.478347,0.807478,0.982919,SEKER
0.100508,0.383963,0.953768,0.962486,0.480233,0.800116,0.991406,SEKER
0.1058,0.454136,0.942948,0.918592,0.494744,0.751059,0.977457,SEKER
0.113127,0.55479,0.913194,0.860292,0.520486,0.671723,0.966697,SEKER
0.103196,0.346196,0.928056,0.940059,0.47418,0.821539,0.963045,SEKER
0.106344,0.534344,0.943708,0.914384,0.514172,0.690164,0.989437,SEKER
0.101277,0.501712,0.957893,0.956292,0.505924,0.715209,0.975765,SEKER
0.104724,0.382537,0.945618,0.928319,0.479659,0.801166,0.996209,SEKER
0.104561,0.5414,0.942322,0.930533,0.516178,0.682763,0.971003,SEKER
0.099494,0.503076,0.960223,0.972907,0.505498,0.715093,0.994383,SEKER
0.103581,0.47072,0.945306,0.938678,0.497693,0.739692,0.9944,SEKER
0.199846,0.710616,0,0.336194,0.601918,0.471454,0,SEKER
0.111633,0.463625,0.879437,0.874884,0.496587,0.742094,0.959266,SEKER
0.108059,0.494142,0.914189,0.903427,0.503492,0.720049,0.971183,SEKER
0.102994,0.537323,0.962942,0.945366,0.514332,0.686544,0.983589,SEKER
0.101158,0.483105,0.959252,0.961446,0.500108,0.729565,0.990899,SEKER
0.1073,0.567021,0.927269,0.910849,0.523541,0.659009,0.946009,SEKER
0.101725,0.576716,0.976454,0.957234,0.525379,0.653412,0.989419,SEKER
0.154494,0.623864,0.741518,0.580266,0.542947,0.605701,0.903524,SEKER
0.101639,0.536266,0.958547,0.958119,0.513724,0.687061,0.983216,SEKER
0.103015,0.507911,0.959321,0.947115,0.506074,0.709779,0.985054,SEKER
0.106085,0.562017,0.956761,0.922623,0.520531,0.665944,0.99288,SEKER
0.099929,0.487612,0.968765,0.975405,0.50067,0.724464,0.978849,SEKER
0.10332,0.490017,0.943871,0.947377,0.501311,0.721982,0.971264,SEKER
0.104006,0.377315,0.94391,0.942289,0.477038,0.802099,0.991654,SEKER
0.105886,0.439875,0.958051,0.927185,0.489322,0.759739,0.988245,SEKER
0.100638,0.456614,0.974832,0.971449,0.493051,0.746944,0.978637,SEKER
0.121325,0.322353,0.877922,0.807448,0.467823,0.834085,0.976414,SEKER
0.10254,0.4401,0.961822,0.955817,0.489192,0.759259,0.986978,SEKER
0.114669,0.51791,0.886409,0.8583,0.508434,0.698061,0.94592,SEKER
0.104629,0.52731,0.952953,0.939262,0.510212,0.692094,0.970535,SEKER
0.111689,0.447257,0.910041,0.88234,0.491048,0.752223,0.963294,SEKER
0.110075,0.419368,0.92333,0.895155,0.484863,0.772841,0.979269,SEKER
0.115711,0.656002,0.857528,0.851089,0.551491,0.57871,0.982311,SEKER
0.105032,0.561064,0.924825,0.936262,0.519343,0.664919,0.981981,SEKER
0.111927,0.378667,0.930387,0.880889,0.476749,0.800367,0.98929,SEKER
0.110302,0.492515,0.935567,0.893769,0.501452,0.71845,0.959141,SEKER
0.111723,0.492755,0.920099,0.883241,0.500632,0.7203,0.990541,SEKER
0.112227,0.472974,0.922318,0.87932,0.495919,0.735198,0.990602,SEKER
0.106536,0.520581,0.943769,0.924959,0.50799,0.697552,0.976087,SEKER
0.106174,0.482259,0.936424,0.928783,0.498065,0.727522,0.983176,SEKER
0.109878,0.503582,0.945681,0.898865,0.503342,0.710936,0.979323,SEKER
0.099222,0.4256,0.977623,0.987361,0.485327,0.76883,0.990993,SEKER
0.104941,0.582989,0.942374,0.939364,0.525273,0.646023,0.989413,SEKER
0.109154,0.522444,0.945339,0.905095,0.50796,0.696391,0.98539,SEKER
0.098689,0.38325,0.985829,0.99227,0.477259,0.796179,0.980796,SEKER
0.107041,0.633031,0.958726,0.922953,0.541883,0.600545,0.990919,SEKER
0.107924,0.579476,0.936157,0.915991,0.523852,0.649114,0.993307,SEKER
0.101827,0.455098,0.962859,0.967106,0.491282,0.747264,0.986734,SEKER
0.10361,0.497597,0.95916,0.952322,0.501043,0.715942,0.992345,SEKER
0.124473,0.391706,0.873043,0.789979,0.478248,0.790461,0.985046,SEKER
0.106598,0.538797,0.949937,0.928242,0.511546,0.683401,0.997188,SEKER
0.105292,0.483079,0.948567,0.940716,0.497775,0.724,0.957873,SEKER
0.102659,0.555883,0.972302,0.96336,0.515942,0.668292,0.991362,SEKER
0.102388,0.466878,0.953423,0.96575,0.493648,0.73639,0.965832,SEKER
0.10361,0.508571,0.971605,0.956267,0.503141,0.705786,0.9819,SEKER
0.108546,0.589634,0.939103,0.916168,0.525707,0.639375,0.997941,SEKER
0.108061,0.523045,0.937264,0.920157,0.506826,0.694042,0.979221,SEKER
0.111122,0.349907,0.913747,0.89591,0.469956,0.81534,0.980929,SEKER
0.104812,0.521804,0.952064,0.947469,0.506157,0.695471,0.987789,SEKER
0.108145,0.480607,0.94141,0.920819,0.495641,0.727469,0.992254,SEKER
0.108258,0.446038,0.93478,0.919896,0.48807,0.751984,0.982508,SEKER
0.104148,0.566718,0.977272,0.953974,0.519246,0.656098,0.955436,SEKER
0.107239,0.323052,0.956574,0.928791,0.465251,0.830785,0.980086,SEKER
0.104895,0.31543,0.944044,0.94831,0.46385,0.835719,0.987723,SEKER
0.104227,0.486389,0.951423,0.95392,0.497066,0.722132,0.981209,SEKER
0.110132,0.564367,0.94409,0.906274,0.517433,0.660193,0.991543,SEKER
0.105625,0.533763,0.943361,0.943079,0.508955,0.684925,0.981957,SEKER
0.110686,0.51335,0.909934,0.90205,0.50404,0.69967,0.959748,SEKER
0.113987,0.492981,0.911074,0.8764,0.498434,0.716554,0.977552,SEKER
0.108292,0.55815,0.951148,0.92199,0.515409,0.665265,0.991685,SEKER
0.108287,0.488659,0.940852,0.922303,0.497456,0.719217,0.970191,SEKER
0.108135,0.513776,0.949721,0.924018,0.50349,0.700052,0.974842,SEKER
0.104392,0.423827,0.94643,0.95522,0.482457,0.767231,0.990995,SEKER
0.106871,0.394166,0.947538,0.934774,0.476844,0.786357,0.981663,SEKER
0.104867,0.419357,0.948646,0.951375,0.481996,0.768677,0.969759,SEKER
0.116445,0.508847,0.899141,0.858901,0.502141,0.703487,0.971233,SEKER
0.109114,0.465668,0.919305,0.917257,0.491462,0.736723,0.981519,SEKER
