@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,8,10-13,15-17'

@attribute Perimeter numeric
@attribute EquivDiameter numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.084778,0.100375,0.956378,0.937546,0.771758,0.541542,0.734239,0.985376,SEKER
0.08911,0.100784,0.926254,0.903827,0.830409,0.521023,0.800413,0.97474,SEKER
0.091385,0.101138,0.919214,0.887546,0.789725,0.534005,0.754356,0.993634,SEKER
0.088221,0.101176,0.928896,0.9143,0.774834,0.539024,0.737675,0.97893,SEKER
0.096367,0.101292,0.877237,0.848121,0.793494,0.532449,0.758593,0.996269,SEKER
0.081687,0.101431,0.963327,0.972768,0.797253,0.530929,0.762824,0.983943,SEKER
0.089052,0.101484,0.926656,0.909638,0.799659,0.53002,0.765537,0.977709,SEKER
0.087416,0.101515,0.948017,0.923717,0.777301,0.537563,0.740431,0.998807,SEKER
0.083402,0.101646,0.930769,0.959368,0.832349,0.518852,0.802627,0.986491,SEKER
0.085479,0.101984,0.951871,0.943936,0.844169,0.514386,0.81615,0.978648,SEKER
0.088226,0.1021,0.935036,0.921304,0.79567,0.530261,0.761042,0.987115,SEKER
0.090666,0.10223,0.922675,0.901756,0.797938,0.529261,0.763597,0.985525,SEKER
0.103139,0.10233,0.893563,0.802468,0.793952,0.530427,0.759108,0.979417,SEKER
0.080974,0.102392,0.976239,0.986675,0.824756,0.52003,0.793972,0.986573,SEKER
0.088334,0.10283,0.932226,0.925961,0.81851,0.52132,0.786869,0.98824,SEKER
0.088396,0.103075,0.948376,0.927314,0.756272,0.541989,0.717012,0.990189,SEKER
0.085084,0.103451,0.93776,0.958731,0.802444,0.525567,0.768679,0.985682,SEKER
0.08689,0.103482,0.952176,0.943319,0.804795,0.524726,0.771334,0.99141,SEKER
0.089273,0.103482,0.939774,0.922971,0.810099,0.522956,0.777333,0.987828,SEKER
0.095286,0.103535,0.879739,0.873428,0.76012,0.539822,0.721283,0.981718,SEKER
0.090943,0.103941,0.940412,0.912376,0.739717,0.546194,0.698708,0.990108,SEKER
0.085475,0.103964,0.961602,0.959311,0.769965,0.535657,0.73224,0.996861,SEKER
0.095885,0.104225,0.909545,0.873667,0.84669,0.509637,0.819043,0.940664,SEKER
0.090559,0.104278,0.957741,0.918166,0.650863,0.577861,0.602462,0.938507,SEKER
0.087847,0.10486,0.951627,0.945691,0.767785,0.534796,0.72981,0.99242,SEKER
0.088809,0.104913,0.943695,0.937854,0.781364,0.530068,0.744978,0.989843,SEKER
0.092636,0.104974,0.947304,0.90602,0.884936,0.496148,0.863248,0.991929,SEKER
0.090333,0.105096,0.935448,0.926294,0.90028,0.491147,0.881159,0.974856,SEKER
0.093027,0.10544,0.932066,0.906272,0.796012,0.524191,0.761427,0.980143,SEKER
0.085628,0.105448,0.955481,0.969499,0.830234,0.512851,0.800214,0.99023,SEKER
0.086465,0.105601,0.951976,0.963375,0.769381,0.532923,0.731589,0.985288,SEKER
0.089063,0.105608,0.94444,0.941013,0.793637,0.52469,0.758754,0.975471,SEKER
0.088313,0.105631,0.955167,0.94762,0.832671,0.511736,0.802994,0.984101,SEKER
0.091306,0.10586,0.940605,0.923868,0.813399,0.517662,0.781071,0.966738,SEKER
0.098898,0.105913,0.915346,0.861779,0.852594,0.5048,0.825826,0.971569,SEKER
0.095417,0.106013,0.912648,0.890788,0.708965,0.55332,0.665017,0.9558,SEKER
0.089534,0.106173,0.939579,0.941307,0.830059,0.511643,0.800014,0.995402,SEKER
0.09242,0.106287,0.934898,0.91773,0.751537,0.537833,0.711765,0.988171,SEKER
0.100556,0.106554,0.889436,0.853211,0.847567,0.505308,0.820048,0.990019,SEKER
0.09031,0.106592,0.940191,0.937886,0.775519,0.529064,0.738439,0.979355,SEKER
0.098218,0.10666,0.885205,0.872754,0.819947,0.514102,0.788502,0.983799,SEKER
0.098242,0.10676,0.915863,0.873296,0.969532,0.467415,0.96324,0.986116,SEKER
0.111954,0.10679,0.843968,0.767375,0.758946,0.534376,0.71998,0.96229,SEKER
0.104106,0.107072,0.883161,0.828996,0.782425,0.525875,0.746166,0.974633,SEKER
0.099295,0.107209,0.891465,0.868106,0.797547,0.520558,0.763156,0.980948,SEKER
0.096611,0.107239,0.92597,0.890117,0.780734,0.52615,0.744272,0.998165,SEKER
0.087598,0.107262,0.960646,0.966387,0.794823,0.521374,0.760089,0.985023,SEKER
0.089664,0.107308,0.942921,0.948881,0.787195,0.523852,0.751514,0.985093,SEKER
0.094709,0.107551,0.923009,0.90814,0.854672,0.501311,0.828217,0.977513,SEKER
0.089533,0.107604,0.966318,0.952286,0.788801,0.522789,0.753318,0.969723,SEKER
0.09806,0.107635,0.921097,0.881228,0.817538,0.513195,0.785766,0.985514,SEKER
0.092234,0.107756,0.969143,0.930424,0.665175,0.566043,0.617738,0.99017,SEKER
0.087276,0.107756,0.971512,0.973021,0.826036,0.510202,0.795429,0.993356,SEKER
0.095287,0.10784,0.921218,0.905512,0.876323,0.493957,0.853238,0.969666,SEKER
0.088368,0.107847,0.966418,0.964222,0.744339,0.537533,0.703806,0.98118,SEKER
0.084654,0.10825,0.977618,1,0.814959,0.512972,0.782839,0.994863,SEKER
0.088362,0.108371,0.968995,0.968318,0.816586,0.512226,0.784686,0.986653,SEKER
0.106724,0.10844,0.922742,0.818502,0.681955,0.558635,0.635758,0.96766,SEKER
0.08873,0.108463,0.968245,0.965829,0.819351,0.511162,0.787825,0.971579,SEKER
0.095795,0.108637,0.941629,0.907266,0.704807,0.550034,0.660493,0.988729,SEKER
0.093146,0.108956,0.922651,0.931816,0.966231,0.46477,0.959282,0.982575,SEKER
0.092653,0.109047,0.966517,0.936673,0.721688,0.543305,0.678907,0.98974,SEKER
0.091896,0.109069,0.946541,0.943276,0.881522,0.490242,0.859276,0.976548,SEKER
0.123068,0.109259,0.843064,0.704329,0.68097,0.557498,0.634697,0.978335,SEKER
0.099855,0.109562,0.91989,0.880895,0.743968,0.534605,0.703398,0.982459,SEKER
0.098495,0.109585,0.908247,0.892118,0.792467,0.518093,0.757438,0.974209,SEKER
0.102488,0.10963,0.922652,0.860261,0.806763,0.513274,0.773558,0.988409,SEKER
0.088345,0.109668,0.971863,0.9785,0.800636,0.515233,0.766638,0.976303,SEKER
0.105794,0.109691,0.874255,0.834663,0.846734,0.500184,0.819093,0.978389,SEKER
0.091992,0.109729,0.951937,0.947477,0.71083,0.545919,0.667049,0.987914,SEKER
0.093639,0.109774,0.93363,0.933852,0.789932,0.518609,0.754588,0.980042,SEKER
0.092219,0.110062,0.933784,0.948083,0.820419,0.508049,0.789039,0.983856,SEKER
0.095825,0.11019,0.93191,0.918659,0.836879,0.502494,0.807803,0.989565,SEKER
0.089049,0.110357,0.964318,0.977687,0.862419,0.494064,0.837147,0.985208,SEKER
0.091946,0.110372,0.958863,0.952777,0.8066,0.512043,0.773374,0.99061,SEKER
0.096447,0.110402,0.92853,0.915069,0.759598,0.527749,0.720703,0.990807,SEKER
0.091651,0.110417,0.958882,0.955651,0.74578,0.532463,0.705398,0.985037,SEKER
0.09729,0.110432,0.930488,0.908315,0.858347,0.495225,0.832449,0.993366,SEKER
0.090791,0.110447,0.962406,0.963276,0.797153,0.515034,0.762712,0.967023,SEKER
0.089921,0.110546,0.965567,0.971565,0.806733,0.511699,0.773525,0.970363,SEKER
0.095627,0.110553,0.935601,0.923035,0.78465,0.519016,0.74866,0.963841,SEKER
0.089467,0.110644,0.950417,0.976268,0.869084,0.491479,0.84485,0.992115,SEKER
0.092597,0.110712,0.96057,0.94981,0.804933,0.512004,0.77149,0.994162,SEKER
0.090911,0.110938,0.973524,0.96602,0.765629,0.524753,0.72741,0.984671,SEKER
0.090598,0.11121,0.968954,0.970809,0.875671,0.488462,0.852482,0.996091,SEKER
0.091432,0.11124,0.967799,0.963844,0.772009,0.522066,0.73452,0.978684,SEKER
0.094262,0.111248,0.923586,0.939751,0.816961,0.507137,0.785111,0.975827,SEKER
0.088164,0.111308,0.958883,0.992823,0.941065,0.468356,0.929252,0.995443,SEKER
0.098945,0.111406,0.93876,0.901938,0.768068,0.523108,0.730126,0.965026,SEKER
0.096946,0.111527,0.933406,0.919347,0.807686,0.509693,0.774601,0.99366,SEKER
0.091069,0.11158,0.959002,0.969582,0.842429,0.498344,0.814155,0.996141,SEKER
0.091818,0.111588,0.953186,0.96318,0.818132,0.506173,0.786441,0.981688,SEKER
0.113262,0.111761,0.855185,0.792266,0.930416,0.470795,0.916626,0.977742,SEKER
0.099606,0.111859,0.917768,0.899881,0.831043,0.501525,0.801137,0.99749,SEKER
0.092201,0.111882,0.955258,0.962136,0.897759,0.480501,0.878208,0.991534,SEKER
0.09882,0.111942,0.923212,0.906944,0.806306,0.509432,0.773042,0.970162,SEKER
0.094681,0.112002,0.961124,0.941918,0.809298,0.508348,0.776426,0.98403,SEKER
0.095593,0.11259,0.966018,0.938657,0.732454,0.533235,0.690715,0.973134,SEKER
0.100614,0.112695,0.937496,0.897833,0.738019,0.531123,0.696837,0.9696,SEKER
0.089682,0.112733,0.972268,0.990548,0.852456,0.493203,0.825666,0.993605,SEKER
0.096595,0.113169,0.941203,0.934603,0.884271,0.482516,0.862474,0.995033,SEKER
0.099002,0.113282,0.940875,0.915417,0.7514,0.525498,0.711614,0.984114,SEKER
0.0901,0.113395,0.971363,0.992016,0.863768,0.488525,0.838705,0.985928,SEKER
0.093311,0.1135,0.950981,0.964976,0.837334,0.496722,0.808323,0.979376,SEKER
0.1001,0.113553,0.948698,0.908384,0.797188,0.509668,0.762752,0.988321,SEKER
0.099159,0.113583,0.919556,0.916354,0.854286,0.491195,0.827773,0.985843,SEKER
0.09566,0.11365,0.960286,0.946107,0.707917,0.539947,0.663877,0.986911,SEKER
0.108569,0.113665,0.893254,0.84154,0.807704,0.506023,0.774622,0.968291,SEKER
0.09459,0.113695,0.952994,0.955524,0.859699,0.489301,0.834008,0.98988,SEKER
0.098372,0.11371,0.952232,0.92383,0.74589,0.526635,0.705519,0.990682,SEKER
0.097376,0.113785,0.940745,0.932696,0.7779,0.51567,0.741101,0.993774,SEKER
0.096861,0.114191,0.946316,0.940062,0.826859,0.498916,0.796366,0.99231,SEKER
0.097613,0.114311,0.954427,0.934653,0.742095,0.526888,0.70133,0.967968,SEKER
0.09847,0.114311,0.941393,0.927505,0.70666,0.539221,0.662508,0.986283,SEKER
0.113387,0.114423,0.909373,0.809962,0.670354,0.552015,0.623287,0.992615,SEKER
0.097739,0.114423,0.947577,0.934444,0.725208,0.532525,0.682763,0.98006,SEKER
0.09698,0.114483,0.957957,0.941257,0.849926,0.491064,0.822758,0.979174,SEKER
0.101378,0.114506,0.925057,0.90497,0.727012,0.531754,0.68474,0.977786,SEKER
0.098831,0.114663,0.952287,0.927133,0.882943,0.48045,0.860929,0.991866,SEKER
0.095169,0.114686,0.958812,0.95812,0.842113,0.493202,0.813794,0.969421,SEKER
0.092581,0.114746,0.964974,0.980813,0.772399,0.515856,0.734955,0.989681,SEKER
0.099562,0.114918,0.952022,0.922967,0.743894,0.525213,0.703315,0.964867,SEKER
0.09676,0.114986,0.942113,0.9469,0.798254,0.506868,0.763953,0.990812,SEKER
0.104431,0.115098,0.897268,0.884583,0.790781,0.509138,0.755542,0.985641,SEKER
0.100536,0.115113,0.951347,0.916375,0.736202,0.527515,0.694837,0.978827,SEKER
0.094076,0.115166,0.952135,0.971128,0.877104,0.481425,0.854146,0.990151,SEKER
0.09832,0.11533,0.96177,0.936384,0.757579,0.51984,0.718462,0.981455,SEKER
0.106706,0.115443,0.914943,0.868938,0.790266,0.50872,0.754963,0.980139,SEKER
0.097597,0.115495,0.94847,0.94369,0.771458,0.514883,0.733905,0.972554,SEKER
0.102132,0.115562,0.924891,0.906606,0.869315,0.483186,0.845117,0.9864,SEKER
0.097115,0.11569,0.969568,0.949217,0.705021,0.537365,0.660726,0.975472,SEKER
0.098146,0.115697,0.93904,0.940598,0.832532,0.49456,0.802836,0.995985,SEKER
0.102377,0.115847,0.906093,0.906708,0.750227,0.521442,0.710315,0.982894,SEKER
0.094064,0.115847,0.978811,0.976433,0.807437,0.502404,0.774321,0.976945,SEKER
0.104289,0.116056,0.918344,0.892729,0.825806,0.496112,0.795167,0.982181,SEKER
0.093567,0.116146,0.972802,0.983018,0.839163,0.491696,0.810416,0.993987,SEKER
0.098588,0.116265,0.952259,0.941156,0.792045,0.506733,0.756964,0.963218,SEKER
0.093385,0.116265,0.98814,0.985507,0.805529,0.502317,0.772164,0.983025,SEKER
0.104606,0.116363,0.933684,0.892415,0.734234,0.526018,0.692671,0.993931,SEKER
0.100818,0.116378,0.934831,0.923439,0.848598,0.488323,0.821233,0.994745,SEKER
0.097015,0.116505,0.966456,0.956216,0.740463,0.523635,0.699531,0.967119,SEKER
0.109259,0.116557,0.885056,0.856853,0.771999,0.512883,0.734509,0.971173,SEKER
0.101191,0.116609,0.954318,0.922079,0.794146,0.505459,0.759327,0.996081,SEKER
0.098565,0.116617,0.94748,0.943982,0.841782,0.49008,0.813415,0.985548,SEKER
0.103836,0.116654,0.931186,0.900777,0.799711,0.503559,0.765595,0.988114,SEKER
0.112889,0.116781,0.894247,0.830343,0.777136,0.510788,0.740247,0.974759,SEKER
0.100484,0.116893,0.944956,0.930035,0.765201,0.514583,0.726933,0.971036,SEKER
0.100715,0.117057,0.960596,0.929344,0.881071,0.477088,0.858752,0.970369,SEKER
0.099132,0.117117,0.943928,0.942987,0.796865,0.503708,0.762388,0.988893,SEKER
0.104458,0.117162,0.922768,0.899457,0.760917,0.515562,0.722169,0.981977,SEKER
0.096499,0.117206,0.971301,0.965912,0.783261,0.508033,0.747103,0.989093,SEKER
0.097936,0.117236,0.976259,0.953941,0.776638,0.510178,0.73969,0.966218,SEKER
0.102782,0.117326,0.957295,0.914307,0.684284,0.541837,0.638269,0.989987,SEKER
0.106463,0.117631,0.929824,0.886745,0.615658,0.566465,0.565259,0.976802,SEKER
0.09929,0.117661,0.942303,0.945744,0.766141,0.512955,0.72798,0.978264,SEKER
0.096136,0.117669,0.977557,0.972524,0.757201,0.515945,0.718043,0.985218,SEKER
0.105512,0.117684,0.926081,0.894767,0.779296,0.508535,0.742663,0.972016,SEKER
0.109367,0.11778,0.921237,0.86479,0.749466,0.518368,0.709473,0.957742,SEKER
0.097535,0.117795,0.969251,0.96156,0.732879,0.524002,0.691182,0.99252,SEKER
0.111637,0.117848,0.89347,0.84755,0.846154,0.486655,0.818427,0.995417,SEKER
0.104953,0.117862,0.940515,0.900585,0.750485,0.517882,0.710601,0.947022,SEKER
0.106643,0.117892,0.931097,0.887201,0.747936,0.518695,0.707781,0.989768,SEKER
0.111898,0.117915,0.88827,0.846006,0.780963,0.507591,0.744528,0.947933,SEKER
0.103343,0.118011,0.924004,0.914773,0.793353,0.503348,0.758434,0.988089,SEKER
0.109385,0.118026,0.906719,0.866417,0.726907,0.525658,0.684625,0.938893,SEKER
0.108293,0.118056,0.91613,0.875254,0.835946,0.489538,0.806736,0.958441,SEKER
0.103406,0.11816,0.982667,0.915356,0.601103,0.571022,0.550032,0.970629,SEKER
0.097285,0.11822,0.964495,0.966898,0.777665,0.508165,0.740839,0.973921,SEKER
0.101027,0.118257,0.95619,0.935692,0.830311,0.490995,0.800302,0.99242,SEKER
0.104708,0.118265,0.917381,0.905518,0.659334,0.549163,0.611494,0.97721,SEKER
0.11148,0.118324,0.85573,0.852166,0.737952,0.521353,0.696764,0.928622,SEKER
0.102641,0.118384,0.941907,0.923287,0.744438,0.51904,0.703916,0.980029,SEKER
0.105094,0.118473,0.925392,0.903915,0.708046,0.531432,0.664017,0.987069,SEKER
0.098311,0.118518,0.968777,0.960439,0.777232,0.507804,0.740354,0.989312,SEKER
0.09802,0.118607,0.952948,0.963574,0.842796,0.486458,0.814576,0.993218,SEKER
0.102182,0.118622,0.935626,0.928834,0.759794,0.513445,0.720921,0.984817,SEKER
0.112838,0.118689,0.872028,0.844239,0.939104,0.457003,0.926923,0.993737,SEKER
0.100066,0.118771,0.962832,0.947551,0.726137,0.524637,0.68378,0.98974,SEKER
0.09908,0.118771,0.962455,0.95584,0.81733,0.494294,0.78553,0.985285,SEKER
0.0995,0.11915,0.973933,0.955154,0.745436,0.517389,0.705018,0.986576,SEKER
0.101679,0.119194,0.949452,0.937258,0.768137,0.50968,0.730203,0.994459,SEKER
0.110103,0.119202,0.901481,0.86921,0.824934,0.491141,0.794174,0.982382,SEKER
0.108614,0.119358,0.923639,0.882104,0.719131,0.526042,0.676111,0.983757,SEKER
0.103022,0.119365,0.94089,0.927419,0.806163,0.496904,0.77288,0.973378,SEKER
0.097977,0.119388,0.961582,0.969844,0.764002,0.510733,0.725599,0.970251,SEKER
0.100135,0.11941,0.961968,0.951762,0.750193,0.515334,0.710278,0.948659,SEKER
0.099466,0.119425,0.948432,0.957504,0.793249,0.501004,0.758317,0.991571,SEKER
0.097836,0.119454,0.958975,0.971558,0.819845,0.49235,0.788386,0.985163,SEKER
0.10446,0.119477,0.937569,0.916442,0.73327,0.520973,0.691612,0.962069,SEKER
0.106994,0.119685,0.931307,0.89743,0.836054,0.486809,0.80686,0.971092,SEKER
0.10279,0.119722,0.940318,0.931976,0.724646,0.523512,0.682146,0.977401,SEKER
0.098374,0.119759,0.954596,0.969279,0.82868,0.489025,0.798441,0.983277,SEKER
0.099162,0.119789,0.971534,0.962817,0.773112,0.507021,0.735751,0.974321,SEKER
0.113427,0.119937,0.899351,0.848538,0.747302,0.515413,0.70708,0.965246,SEKER
0.103825,0.119959,0.948683,0.925199,0.779583,0.504593,0.742984,0.975742,SEKER
0.09972,0.1201,0.965637,0.960441,0.820888,0.490945,0.789571,0.985509,SEKER
0.100269,0.120152,0.951772,0.956203,0.803068,0.496593,0.769383,0.965021,SEKER
0.099839,0.120182,0.96229,0.960055,0.808828,0.494682,0.775894,0.987734,SEKER
0.10096,0.120286,0.958581,0.951402,0.738981,0.51764,0.697897,0.995322,SEKER
0.098951,0.120293,0.957834,0.96841,0.896368,0.46717,0.876582,0.989918,SEKER
0.103286,0.120308,0.941734,0.932222,0.870527,0.475029,0.846521,0.976438,SEKER
0.11094,0.12036,0.922338,0.870935,0.77639,0.504974,0.739412,0.976391,SEKER
0.111688,0.12039,0.916019,0.865279,0.793592,0.499277,0.758703,0.981579,SEKER
0.099093,0.120427,0.961642,0.968209,0.766043,0.508294,0.72787,0.971056,SEKER
0.108428,0.120464,0.92277,0.891599,0.78424,0.502214,0.7482,0.986241,SEKER
0.100786,0.120471,0.945555,0.954255,0.813578,0.492673,0.781273,0.985658,SEKER
0.104742,0.120486,0.932855,0.921566,0.808128,0.494402,0.775102,0.98407,SEKER
0.104483,0.120582,0.942617,0.924397,0.781766,0.502828,0.745427,0.926765,SEKER
0.114645,0.120619,0.905369,0.843986,0.814518,0.492126,0.782339,0.997771,SEKER
0.115567,0.120634,0.922494,0.837023,0.708579,0.527502,0.664597,0.958388,SEKER
0.100338,0.120634,0.972982,0.959244,0.718081,0.524207,0.674963,0.985529,SEKER
0.100682,0.120679,0.949767,0.956679,0.831229,0.486699,0.801348,0.994549,SEKER
0.103463,0.120982,0.958881,0.935761,0.771324,0.505603,0.733755,0.968553,SEKER
0.09959,0.120982,0.964495,0.968184,0.867714,0.474802,0.843265,0.981405,SEKER
0.11084,0.121027,0.92681,0.876509,0.72204,0.522169,0.679293,0.96436,SEKER
0.102393,0.121049,0.969016,0.94513,0.788977,0.499682,0.753515,0.986028,SEKER
0.106299,0.12116,0.923536,0.913824,0.855328,0.478347,0.828972,0.982919,SEKER
0.100508,0.121256,0.953768,0.962486,0.848775,0.480233,0.821436,0.991406,SEKER
0.1058,0.121256,0.942948,0.918592,0.80311,0.494744,0.76943,0.977457,SEKER
0.113127,0.121264,0.913194,0.860292,0.725757,0.520486,0.683364,0.966697,SEKER
0.103196,0.121264,0.928056,0.940059,0.868253,0.47418,0.843889,0.963045,SEKER
0.106344,0.121286,0.943708,0.914384,0.744191,0.514172,0.703643,0.989437,SEKER
0.101277,0.121293,0.957893,0.956292,0.768779,0.505924,0.730918,0.975765,SEKER
0.104724,0.121382,0.945618,0.928319,0.849955,0.479659,0.822791,0.996209,SEKER
0.104561,0.121501,0.942322,0.930533,0.737196,0.516178,0.695932,0.971003,SEKER
0.099494,0.121501,0.960223,0.972907,0.769016,0.505498,0.731182,0.994383,SEKER
0.103581,0.121508,0.945306,0.938678,0.79273,0.497693,0.757733,0.9944,SEKER
0.199846,0.121597,0,0.336194,0.506859,0.601918,0.453621,0,SEKER
0.111633,0.121671,0.879437,0.874884,0.795299,0.496587,0.760624,0.959266,SEKER
0.108059,0.121685,0.914189,0.903427,0.774139,0.503492,0.736898,0.971183,SEKER
0.102994,0.121752,0.962942,0.945366,0.741378,0.514332,0.70054,0.983589,SEKER
0.101158,0.121848,0.959252,0.961446,0.783601,0.500108,0.747484,0.990899,SEKER
0.1073,0.121863,0.927269,0.910849,0.713908,0.523541,0.670405,0.946009,SEKER
0.101725,0.121922,0.976454,0.957234,0.70831,0.525379,0.664304,0.989419,SEKER
0.154494,0.121922,0.741518,0.580266,0.658695,0.542947,0.610811,0.903524,SEKER
0.101639,0.121944,0.958547,0.958119,0.742213,0.513724,0.70146,0.983216,SEKER
0.103015,0.122011,0.959321,0.947115,0.764698,0.506074,0.726374,0.985054,SEKER
0.106085,0.122122,0.956761,0.922623,0.721357,0.520531,0.678546,0.99288,SEKER
0.099929,0.122321,0.968765,0.975405,0.779485,0.50067,0.742874,0.978849,SEKER
0.10332,0.122388,0.943871,0.947377,0.777198,0.501311,0.740316,0.971264,SEKER
0.104006,0.122469,0.94391,0.942289,0.852699,0.477038,0.825946,0.991654,SEKER
0.105886,0.122521,0.958051,0.927185,0.813473,0.489322,0.781155,0.988245,SEKER
0.100638,0.122594,0.974832,0.971449,0.801492,0.493051,0.767604,0.978637,SEKER
0.121325,0.122616,0.877922,0.807448,0.881904,0.467823,0.859721,0.976414,SEKER
0.10254,0.122646,0.961822,0.955817,0.813235,0.489192,0.780885,0.986978,SEKER
0.114669,0.122668,0.886409,0.8583,0.754308,0.508434,0.714834,0.94592,SEKER
0.104629,0.122757,0.952953,0.939262,0.748561,0.510212,0.708473,0.970535,SEKER
0.111689,0.122771,0.910041,0.88234,0.806803,0.491048,0.773603,0.963294,SEKER
0.110075,0.122771,0.92333,0.895155,0.826189,0.484863,0.795603,0.979269,SEKER
0.115711,0.122786,0.857528,0.851089,0.631114,0.551491,0.581527,0.982311,SEKER
0.105032,0.122801,0.924825,0.936262,0.721446,0.519343,0.678642,0.981981,SEKER
0.111927,0.122831,0.930387,0.880889,0.851743,0.476749,0.824847,0.98929,SEKER
0.110302,0.122831,0.935567,0.893769,0.774522,0.501452,0.737326,0.959141,SEKER
0.111723,0.122934,0.920099,0.883241,0.776491,0.500632,0.739526,0.990541,SEKER
0.112227,0.122941,0.922318,0.87932,0.790868,0.495919,0.75564,0.990602,SEKER
0.106536,0.122941,0.943769,0.924959,0.754263,0.50799,0.714785,0.976087,SEKER
