@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,7,1,8,3,14,13,4,17'

@attribute Perimeter numeric
@attribute ConvexArea numeric
@attribute Area numeric
@attribute EquivDiameter numeric
@attribute MajorAxisLength numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor1 numeric
@attribute MinorAxisLength numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.078131,0.045788,0.047439,0.095849,0.054361,0.85873,0.521607,0.194127,SEKER
0.102262,0.047461,0.047623,0.096184,0.060703,0.810305,0.534939,0.186373,SEKER
0.090355,0.046835,0.047896,0.096682,0.083057,0.659702,0.584255,0.156944,SEKER
0.090848,0.046686,0.048058,0.096977,0.095724,0.587822,0.612058,0.144211,SEKER
0.083515,0.046756,0.048088,0.097031,0.047626,0.920604,0.501984,0.206511,SEKER
0.090077,0.047032,0.048178,0.097194,0.057825,0.8367,0.524692,0.191775,SEKER
0.080164,0.046732,0.04837,0.097543,0.06515,0.782548,0.540132,0.182425,SEKER
0.086413,0.047362,0.048455,0.097699,0.067281,0.767738,0.544417,0.179988,SEKER
0.080346,0.046863,0.048639,0.098032,0.072729,0.73101,0.555586,0.172955,SEKER
0.085542,0.047342,0.048681,0.09811,0.054271,0.869072,0.513322,0.199761,SEKER
0.09434,0.047779,0.04869,0.098125,0.070726,0.745093,0.550686,0.17585,SEKER
0.090144,0.04763,0.04875,0.098233,0.0744,0.720494,0.558634,0.17154,SEKER
0.079405,0.047408,0.049083,0.098837,0.058926,0.834841,0.521298,0.194123,SEKER
0.078896,0.047663,0.049326,0.099278,0.054184,0.874773,0.508991,0.201762,SEKER
0.079145,0.047713,0.049412,0.099433,0.052743,0.887401,0.505187,0.204257,SEKER
0.088865,0.048261,0.04942,0.099448,0.051454,0.898331,0.502217,0.207026,SEKER
0.088277,0.048195,0.04951,0.099611,0.05282,0.887528,0.504738,0.205213,SEKER
0.088661,0.048088,0.049557,0.099696,0.085326,0.656186,0.577888,0.161153,SEKER
0.082395,0.047919,0.049608,0.099788,0.073625,0.731423,0.551108,0.175987,SEKER
0.087575,0.048277,0.049634,0.099835,0.058614,0.841407,0.517038,0.196804,SEKER
0.080339,0.04789,0.049689,0.099935,0.058202,0.845081,0.515751,0.19779,SEKER
0.098982,0.048632,0.049728,0.100004,0.095155,0.600452,0.598896,0.150194,SEKER
0.095059,0.048987,0.049911,0.100336,0.073607,0.733569,0.549049,0.177241,SEKER
0.084778,0.048269,0.049933,0.100375,0.070339,0.756285,0.541542,0.181578,SEKER
0.08911,0.048797,0.050159,0.100784,0.06188,0.819908,0.521023,0.194536,SEKER
0.091385,0.049061,0.050355,0.101138,0.06822,0.774253,0.534005,0.185921,SEKER
0.088221,0.048982,0.050377,0.101176,0.070516,0.758074,0.539024,0.183283,SEKER
0.096367,0.049576,0.050441,0.101292,0.067775,0.778061,0.532449,0.1868,SEKER
0.081687,0.048768,0.050518,0.101431,0.06732,0.781896,0.530929,0.188089,SEKER
0.089052,0.049172,0.050547,0.101484,0.067001,0.784425,0.53002,0.18883,SEKER
0.087416,0.04897,0.050564,0.101515,0.070413,0.760086,0.537563,0.183604,SEKER
0.083402,0.049217,0.050637,0.101646,0.062278,0.820343,0.518852,0.195568,SEKER
0.085479,0.049184,0.050825,0.101984,0.060819,0.832973,0.514386,0.198642,SEKER
0.088226,0.049419,0.050889,0.1021,0.068095,0.778871,0.530261,0.188411,SEKER
0.090666,0.049617,0.050962,0.10223,0.067857,0.781094,0.529261,0.189074,SEKER
0.103139,0.049972,0.051017,0.10233,0.068539,0.776555,0.530427,0.188529,SEKER
0.080974,0.049156,0.051051,0.102392,0.063986,0.810358,0.52003,0.194819,SEKER
0.088334,0.049844,0.051295,0.10283,0.065259,0.80255,0.52132,0.193957,SEKER
0.088396,0.049811,0.051431,0.103075,0.074922,0.734746,0.541989,0.181173,SEKER
0.085084,0.050124,0.051641,0.103451,0.068156,0.783654,0.525567,0.191367,SEKER
0.08689,0.049992,0.051658,0.103482,0.067827,0.786167,0.524726,0.191727,SEKER
0.089273,0.05012,0.051658,0.103482,0.067032,0.791986,0.522956,0.192939,SEKER
0.095286,0.050772,0.051687,0.103535,0.074698,0.737966,0.539822,0.18272,SEKER
0.090943,0.050363,0.051914,0.103941,0.078227,0.71581,0.546194,0.178656,SEKER
0.085475,0.050157,0.051927,0.103964,0.073521,0.747625,0.535657,0.184819,SEKER
0.095885,0.050837,0.052072,0.104225,0.062215,0.831261,0.509637,0.202821,SEKER
0.090559,0.050368,0.052102,0.104278,0.093055,0.625909,0.577861,0.161824,SEKER
0.087847,0.050747,0.052426,0.10486,0.074583,0.743644,0.534796,0.185471,SEKER
0.088809,0.050858,0.052456,0.104913,0.072533,0.758036,0.530068,0.188451,SEKER
0.092636,0.050854,0.05249,0.104974,0.057298,0.873441,0.496148,0.210177,SEKER
0.090333,0.051044,0.052559,0.105096,0.055226,0.891059,0.491147,0.214049,SEKER
0.093027,0.051266,0.052751,0.10544,0.070722,0.77283,0.524191,0.192388,SEKER
0.085628,0.051027,0.052755,0.105448,0.065598,0.810377,0.512851,0.199288,SEKER
0.086465,0.051147,0.05284,0.105601,0.074936,0.743968,0.532923,0.186823,SEKER
0.089063,0.051229,0.052845,0.105608,0.071218,0.769939,0.52469,0.19221,SEKER
0.088313,0.05113,0.052857,0.105631,0.065383,0.812724,0.511736,0.200185,SEKER
0.091306,0.051406,0.052986,0.10586,0.068434,0.790977,0.517662,0.196899,SEKER
0.098898,0.051699,0.053015,0.105913,0.062682,0.834499,0.5048,0.205061,SEKER
0.095417,0.051781,0.053071,0.106013,0.084863,0.680597,0.55332,0.175403,SEKER
0.089534,0.051588,0.053161,0.106173,0.066198,0.808748,0.511643,0.199914,SEKER
0.09242,0.051699,0.053225,0.106287,0.078281,0.723913,0.537833,0.183742,SEKER
0.100556,0.052322,0.053374,0.106554,0.06392,0.827541,0.505308,0.204183,SEKER
0.09031,0.05181,0.053395,0.106592,0.074789,0.748655,0.529064,0.189374,SEKER
0.098218,0.052425,0.053434,0.10666,0.06809,0.796614,0.514102,0.198673,SEKER
0.098242,0.052157,0.053489,0.10676,0.046991,0.970417,0.467415,0.230205,SEKER
0.111954,0.052932,0.053506,0.10679,0.077528,0.730767,0.534376,0.18659,SEKER
0.104106,0.052672,0.053664,0.107072,0.074111,0.755129,0.525875,0.191493,SEKER
0.099295,0.05266,0.053741,0.107209,0.071906,0.771126,0.520558,0.194649,SEKER
0.096611,0.052313,0.053758,0.107239,0.074506,0.753011,0.52615,0.190643,SEKER
0.087598,0.051963,0.053771,0.107262,0.072364,0.768085,0.521374,0.194016,SEKER
0.089664,0.052173,0.053797,0.107308,0.073568,0.759794,0.523852,0.192457,SEKER
0.094709,0.052515,0.053933,0.107551,0.063664,0.833528,0.501311,0.207179,SEKER
0.089533,0.052091,0.053963,0.107604,0.07356,0.760961,0.522789,0.193569,SEKER
0.09806,0.052581,0.05398,0.107635,0.069225,0.792074,0.513195,0.199205,SEKER
0.092234,0.052144,0.054049,0.107756,0.093576,0.634188,0.566043,0.167074,SEKER
0.087276,0.05212,0.054049,0.107756,0.068051,0.801183,0.510202,0.200903,SEKER
0.095287,0.052693,0.054096,0.10784,0.060755,0.857536,0.493957,0.212311,SEKER
0.088368,0.052223,0.0541,0.107847,0.080693,0.71362,0.537533,0.184124,SEKER
0.084654,0.052326,0.054326,0.10825,0.070103,0.788061,0.512972,0.199075,SEKER
0.088362,0.052482,0.054395,0.108371,0.069954,0.789607,0.512226,0.199794,SEKER
0.106724,0.053006,0.054433,0.10844,0.091335,0.649518,0.558635,0.171965,SEKER
0.08873,0.05254,0.054446,0.108463,0.069612,0.792458,0.511162,0.200923,SEKER
0.095795,0.052915,0.054544,0.108637,0.08772,0.671923,0.550034,0.176415,SEKER
0.093146,0.05329,0.054723,0.108956,0.049089,0.961368,0.46477,0.232212,SEKER
0.092653,0.052878,0.054775,0.109047,0.085309,0.68827,0.543305,0.180394,SEKER
0.091896,0.053101,0.054787,0.109069,0.060964,0.860949,0.490242,0.21461,SEKER
0.123068,0.054304,0.054894,0.109259,0.092186,0.647198,0.557498,0.172328,SEKER
0.099855,0.053653,0.055065,0.109562,0.082154,0.710195,0.534605,0.185873,SEKER
0.098495,0.053789,0.055078,0.109585,0.074589,0.761185,0.518093,0.196407,SEKER
0.102488,0.053661,0.055103,0.10963,0.072442,0.776503,0.513274,0.19907,SEKER
0.088345,0.053163,0.055125,0.109668,0.073405,0.769809,0.515233,0.198169,SEKER
0.105794,0.05421,0.055138,0.109691,0.06651,0.820338,0.500184,0.207898,SEKER
0.091992,0.053406,0.055159,0.109729,0.08764,0.676123,0.545919,0.178882,SEKER
0.093639,0.053624,0.055185,0.109774,0.075131,0.758117,0.518609,0.19591,SEKER
0.092219,0.053781,0.055347,0.110062,0.070722,0.790542,0.508049,0.202578,SEKER
0.095825,0.053872,0.055419,0.11019,0.068362,0.8084,0.502494,0.206041,SEKER
0.089049,0.05362,0.055513,0.110357,0.064732,0.836602,0.494064,0.211773,SEKER
0.091946,0.053686,0.055522,0.110372,0.073059,0.774921,0.512043,0.199796,SEKER
0.096447,0.054024,0.055539,0.110402,0.080363,0.724925,0.527749,0.189861,SEKER
0.091651,0.053711,0.055547,0.110417,0.082565,0.710555,0.532463,0.187113,SEKER
0.09729,0.05402,0.055556,0.110432,0.065386,0.831865,0.495225,0.210752,SEKER
0.090791,0.05369,0.055565,0.110447,0.074562,0.764597,0.515034,0.198567,SEKER
0.089921,0.053711,0.05562,0.110546,0.073178,0.774736,0.511699,0.200612,SEKER
0.095627,0.054032,0.055624,0.110553,0.076572,0.751041,0.519016,0.196123,SEKER
0.089467,0.053925,0.055676,0.110644,0.063986,0.843552,0.491479,0.213306,SEKER
0.092597,0.053855,0.055714,0.110712,0.073585,0.772476,0.512004,0.199717,SEKER
0.090911,0.053843,0.055842,0.110938,0.079849,0.730266,0.524753,0.191904,SEKER
0.090598,0.054041,0.055996,0.11121,0.063472,0.849874,0.488462,0.21523,SEKER
0.091432,0.054069,0.056013,0.11124,0.079094,0.736415,0.522066,0.193764,SEKER
0.094262,0.054544,0.056017,0.111248,0.072187,0.784495,0.507137,0.203408,SEKER
0.088164,0.054201,0.056051,0.111308,0.054304,0.925793,0.468356,0.229246,SEKER
0.098945,0.054469,0.056107,0.111406,0.079846,0.731977,0.523108,0.193505,SEKER
0.096946,0.054593,0.056175,0.111527,0.073817,0.77391,0.509693,0.201224,SEKER
0.091069,0.05435,0.056205,0.11158,0.068634,0.811821,0.498344,0.20859,SEKER
0.091818,0.054416,0.056209,0.111588,0.07228,0.785122,0.506173,0.203864,SEKER
0.113262,0.055562,0.056308,0.111761,0.056125,0.912173,0.470795,0.228057,SEKER
0.099606,0.054943,0.056363,0.111859,0.070553,0.798716,0.501525,0.206444,SEKER
0.092201,0.054556,0.056376,0.111882,0.06082,0.873786,0.480501,0.22083,SEKER
0.09882,0.054931,0.05641,0.111942,0.074359,0.77164,0.509432,0.202083,SEKER
0.094681,0.05456,0.056444,0.112002,0.073951,0.774755,0.508348,0.202379,SEKER
0.095593,0.054832,0.056777,0.11259,0.086485,0.693106,0.533235,0.18698,SEKER
0.100614,0.055195,0.056837,0.112695,0.085673,0.698598,0.531123,0.188382,SEKER
0.089682,0.054844,0.056858,0.112733,0.068057,0.820694,0.493203,0.2121,SEKER
0.096595,0.055417,0.057106,0.113169,0.063752,0.855666,0.482516,0.219331,SEKER
0.099002,0.055483,0.05717,0.113282,0.084008,0.711308,0.525498,0.191455,SEKER
0.0901,0.05522,0.057234,0.113395,0.066911,0.832029,0.488525,0.215493,SEKER
0.093311,0.055496,0.057294,0.1135,0.070908,0.802455,0.496722,0.210169,SEKER
0.1001,0.055549,0.057324,0.113553,0.077046,0.758856,0.509668,0.201397,SEKER
0.099159,0.055879,0.057341,0.113583,0.068453,0.821057,0.491195,0.213686,SEKER
0.09566,0.055479,0.057379,0.11365,0.09137,0.666604,0.539947,0.182497,SEKER
0.108569,0.056209,0.057388,0.113665,0.075521,0.769912,0.506023,0.204357,SEKER
0.09459,0.055582,0.057405,0.113695,0.067744,0.826873,0.489301,0.214847,SEKER
0.098372,0.055599,0.057413,0.11371,0.085239,0.704891,0.526635,0.190556,SEKER
0.097376,0.055764,0.057456,0.113785,0.080229,0.738001,0.51567,0.197379,SEKER
0.096861,0.055929,0.057687,0.114191,0.073029,0.789658,0.498916,0.208324,SEKER
0.097613,0.055908,0.057755,0.114311,0.086341,0.699963,0.526888,0.191054,SEKER
0.09847,0.056048,0.057755,0.114311,0.092126,0.664253,0.539221,0.182954,SEKER
0.113387,0.056456,0.057819,0.114423,0.098317,0.628499,0.552015,0.175138,SEKER
0.097739,0.056044,0.057819,0.114423,0.08917,0.682631,0.532525,0.187217,SEKER
0.09698,0.055966,0.057853,0.114483,0.069806,0.814444,0.491064,0.213975,SEKER
0.101378,0.056333,0.057866,0.114506,0.088944,0.68431,0.531754,0.187757,SEKER
0.098831,0.056127,0.057956,0.114663,0.065104,0.851116,0.48045,0.220855,SEKER
0.095169,0.056069,0.057969,0.114686,0.071129,0.805419,0.493202,0.212826,SEKER
0.092581,0.056036,0.058003,0.114746,0.081869,0.730508,0.515856,0.19738,SEKER
0.099562,0.056271,0.058101,0.114918,0.086548,0.700749,0.525213,0.19219,SEKER
0.09676,0.056415,0.058139,0.114986,0.07803,0.757348,0.506868,0.203141,SEKER
0.104431,0.056963,0.058203,0.115098,0.079278,0.749206,0.509138,0.201819,SEKER
0.100536,0.056386,0.058212,0.115113,0.08795,0.692578,0.527515,0.190351,SEKER
0.094076,0.056407,0.058242,0.115166,0.066342,0.843494,0.481425,0.220233,SEKER
0.09832,0.056394,0.058336,0.11533,0.084692,0.714083,0.51984,0.195089,SEKER
0.106706,0.056963,0.0584,0.115443,0.079635,0.748032,0.50872,0.202252,SEKER
0.097597,0.056629,0.05843,0.115495,0.082624,0.728188,0.514883,0.198502,SEKER
0.102132,0.056922,0.058468,0.115562,0.06779,0.833933,0.483186,0.219132,SEKER
0.097115,0.05651,0.058541,0.11569,0.093542,0.660345,0.537365,0.184388,SEKER
0.098146,0.056844,0.058545,0.115697,0.073366,0.792971,0.49456,0.211118,SEKER
0.102377,0.057285,0.05863,0.115847,0.086288,0.705621,0.521442,0.194035,SEKER
0.094064,0.056498,0.05863,0.115847,0.077304,0.765563,0.502404,0.206475,SEKER
0.104289,0.057268,0.05875,0.116056,0.074667,0.78497,0.496112,0.210492,SEKER
0.093567,0.056728,0.058801,0.116146,0.072722,0.799363,0.491696,0.213103,SEKER
0.098588,0.057017,0.058869,0.116265,0.080019,0.748417,0.506733,0.204044,SEKER
0.093385,0.056629,0.058869,0.116265,0.077932,0.762747,0.502317,0.206352,SEKER
0.104606,0.057273,0.058925,0.116363,0.089295,0.688449,0.526018,0.190847,SEKER
0.100818,0.057268,0.058934,0.116378,0.071493,0.809289,0.488323,0.215365,SEKER
0.097015,0.056996,0.059006,0.116505,0.0884,0.694522,0.523635,0.193113,SEKER
0.109259,0.057912,0.059036,0.116557,0.083398,0.726862,0.512883,0.199826,SEKER
0.101191,0.057186,0.059066,0.116609,0.079968,0.750013,0.505459,0.203905,SEKER
0.098565,0.057264,0.05907,0.116617,0.072701,0.801331,0.49008,0.214449,SEKER
0.103836,0.057462,0.059092,0.116654,0.079141,0.755833,0.503559,0.205384,SEKER
0.112889,0.057936,0.059164,0.116781,0.082768,0.731819,0.510788,0.201071,SEKER
0.100484,0.057446,0.059228,0.116893,0.084748,0.719213,0.514583,0.198739,SEKER
0.100715,0.057367,0.059322,0.117057,0.067235,0.844174,0.477088,0.223851,SEKER
0.099132,0.057582,0.059356,0.117117,0.079953,0.751967,0.503708,0.205264,SEKER
0.104458,0.057837,0.059382,0.117162,0.085648,0.714317,0.515562,0.197792,SEKER
0.096499,0.057334,0.059408,0.117206,0.082149,0.737467,0.508033,0.202434,SEKER
0.097936,0.057297,0.059425,0.117236,0.083214,0.730488,0.510178,0.201717,SEKER
0.102782,0.057553,0.059476,0.117326,0.098387,0.637359,0.541837,0.18127,SEKER
0.106463,0.058023,0.059651,0.117631,0.110603,0.572075,0.566465,0.167202,SEKER
0.09929,0.057903,0.059668,0.117661,0.085221,0.718835,0.512955,0.199572,SEKER
0.096136,0.057524,0.059672,0.117669,0.086655,0.709609,0.515945,0.197453,SEKER
0.105512,0.058093,0.059681,0.117684,0.083157,0.732465,0.508535,0.202611,SEKER
0.109367,0.0582,0.059736,0.11778,0.087989,0.701498,0.518368,0.196712,SEKER
0.097535,0.057685,0.059745,0.117795,0.090692,0.684653,0.524002,0.192148,SEKER
0.111637,0.058542,0.059775,0.117848,0.073015,0.803762,0.486655,0.216481,SEKER
0.104953,0.058035,0.059783,0.117862,0.087892,0.702397,0.517882,0.197335,SEKER
0.106643,0.058155,0.0598,0.117892,0.088327,0.699745,0.518695,0.195572,SEKER
0.111898,0.058637,0.059813,0.117915,0.083081,0.733793,0.507591,0.203936,SEKER
0.103343,0.058299,0.059869,0.118011,0.081217,0.746629,0.503348,0.205524,SEKER
0.109385,0.058497,0.059877,0.118026,0.09186,0.678262,0.525658,0.192664,SEKER
0.108293,0.05841,0.059894,0.118056,0.074715,0.792202,0.489538,0.215634,SEKER
0.103406,0.057742,0.059954,0.11816,0.113684,0.558023,0.571022,0.164784,SEKER
0.097285,0.057973,0.059988,0.11822,0.083847,0.729809,0.508165,0.202795,SEKER
0.101027,0.058085,0.06001,0.118257,0.075727,0.7857,0.490995,0.213624,SEKER
0.104708,0.058513,0.060014,0.118265,0.103451,0.61192,0.549163,0.177255,SEKER
0.11148,0.059227,0.060048,0.118324,0.090299,0.688876,0.521353,0.195671,SEKER
0.102641,0.058311,0.060082,0.118384,0.089295,0.695344,0.51904,0.195637,SEKER
0.105094,0.058542,0.060133,0.118473,0.095349,0.658762,0.531432,0.18769,SEKER
0.098311,0.058093,0.060159,0.118518,0.084156,0.728829,0.507804,0.202576,SEKER
0.09802,0.058316,0.06021,0.118607,0.074117,0.798629,0.486458,0.216682,SEKER
0.102182,0.058513,0.060219,0.118622,0.087015,0.710615,0.513445,0.199065,SEKER
0.112838,0.059251,0.060257,0.118689,0.06019,0.907578,0.457003,0.237506,SEKER
0.100066,0.058299,0.060304,0.118771,0.0926,0.676245,0.524637,0.191831,SEKER
0.09908,0.058303,0.060304,0.118771,0.078115,0.770742,0.494294,0.211617,SEKER
0.0995,0.05839,0.060522,0.11915,0.089759,0.69505,0.517389,0.196494,SEKER
0.101679,0.058682,0.060548,0.119194,0.086147,0.718208,0.50968,0.201208,SEKER
0.110103,0.059214,0.060552,0.119202,0.077294,0.778115,0.491141,0.213826,SEKER
0.108614,0.059058,0.060642,0.119358,0.09424,0.668284,0.526042,0.191126,SEKER
0.103022,0.058872,0.060646,0.119365,0.080311,0.757728,0.496904,0.210227,SEKER
0.097977,0.058658,0.060659,0.119388,0.086963,0.713609,0.510733,0.201239,SEKER
0.100135,0.058666,0.060671,0.11941,0.089202,0.69944,0.515334,0.198913,SEKER
0.099466,0.058823,0.06068,0.119425,0.082368,0.743969,0.501004,0.206964,SEKER
0.097836,0.058724,0.060697,0.119454,0.078273,0.772172,0.49235,0.212927,SEKER
0.10446,0.058971,0.06071,0.119477,0.09201,0.682214,0.520973,0.194936,SEKER
0.106994,0.059156,0.060829,0.119685,0.075985,0.789238,0.486809,0.21711,SEKER
0.10279,0.059078,0.060851,0.119722,0.093629,0.673172,0.523512,0.192893,SEKER
0.098374,0.058942,0.060872,0.119759,0.077165,0.781115,0.489025,0.215233,SEKER
0.099162,0.058773,0.060889,0.119789,0.085836,0.722309,0.507021,0.203528,SEKER
0.113427,0.059651,0.060975,0.119937,0.0901,0.695601,0.515413,0.198377,SEKER
0.103825,0.059119,0.060987,0.119959,0.084948,0.728722,0.504593,0.205072,SEKER
0.09972,0.059012,0.061069,0.1201,0.078627,0.772094,0.490945,0.213865,SEKER
0.100269,0.059194,0.061098,0.120152,0.08142,0.753014,0.496593,0.210684,SEKER
0.099839,0.059095,0.061115,0.120182,0.08055,0.759069,0.494682,0.211283,SEKER
0.10096,0.059194,0.061175,0.120286,0.09174,0.686598,0.51764,0.19608,SEKER
0.098951,0.059206,0.06118,0.120293,0.067517,0.854978,0.46717,0.230263,SEKER
0.103286,0.059391,0.061188,0.120308,0.071314,0.825928,0.475029,0.225107,SEKER
0.11094,0.059635,0.061218,0.12036,0.085777,0.7247,0.504974,0.204804,SEKER
0.111688,0.059721,0.061235,0.12039,0.083089,0.742596,0.499277,0.208404,SEKER
0.099093,0.059239,0.061256,0.120427,0.08748,0.713901,0.508294,0.202796,SEKER
0.108428,0.059688,0.061278,0.120464,0.084619,0.732678,0.502214,0.206325,SEKER
0.100786,0.059441,0.061282,0.120471,0.080046,0.763594,0.492673,0.212695,SEKER
0.104742,0.059589,0.061291,0.120486,0.080901,0.75777,0.494402,0.21158,SEKER
0.104483,0.059536,0.061346,0.120582,0.085105,0.729891,0.502828,0.207688,SEKER
0.114645,0.059969,0.061367,0.120619,0.080019,0.764325,0.492126,0.2127,SEKER
0.115567,0.059787,0.061376,0.120634,0.097053,0.655762,0.527502,0.190949,SEKER
0.100338,0.059231,0.061376,0.120634,0.095468,0.66514,0.524207,0.192222,SEKER
0.100682,0.059511,0.061402,0.120679,0.077504,0.782147,0.486699,0.216477,SEKER
0.103463,0.059581,0.061577,0.120982,0.087087,0.718372,0.505603,0.204624,SEKER
0.09959,0.059519,0.061577,0.120982,0.072257,0.821488,0.474802,0.225115,SEKER
0.11084,0.05996,0.061602,0.121027,0.095136,0.66842,0.522169,0.194115,SEKER
0.102393,0.059507,0.061615,0.121049,0.084343,0.736583,0.499682,0.208003,SEKER
0.106299,0.060072,0.061679,0.12116,0.074243,0.807478,0.478347,0.222588,SEKER
0.100508,0.059791,0.061735,0.121256,0.075302,0.800116,0.480233,0.22102,SEKER
0.1058,0.059911,0.061735,0.121256,0.082296,0.751059,0.494744,0.211549,SEKER
0.113127,0.060245,0.061739,0.121264,0.094716,0.671723,0.520486,0.195109,SEKER
0.103196,0.06008,0.061739,0.121264,0.072397,0.821539,0.47418,0.226116,SEKER
0.106344,0.059919,0.061752,0.121286,0.091709,0.690164,0.514172,0.198464,SEKER
0.101277,0.059767,0.061756,0.121293,0.087745,0.715209,0.505924,0.204201,SEKER
0.104724,0.059952,0.061807,0.121382,0.075224,0.801166,0.479659,0.221272,SEKER
0.104561,0.060055,0.061876,0.121501,0.093028,0.682763,0.516178,0.19772,SEKER
0.099494,0.059857,0.061876,0.121501,0.087875,0.715093,0.505498,0.20393,SEKER
0.103581,0.060026,0.06188,0.121508,0.084122,0.739692,0.497693,0.209074,SEKER
0.199846,0.071351,0.061931,0.121597,0.134565,0.471454,0.601918,0.175096,SEKER
0.111633,0.060851,0.061974,0.121671,0.083849,0.742094,0.496587,0.21086,SEKER
0.108059,0.060472,0.061982,0.121685,0.087207,0.720049,0.503492,0.20593,SEKER
0.102994,0.059969,0.062021,0.121752,0.092549,0.686544,0.514332,0.198532,SEKER
0.101158,0.060063,0.062076,0.121848,0.085835,0.729565,0.500108,0.207576,SEKER
0.1073,0.060426,0.062085,0.121863,0.09718,0.659009,0.523541,0.193785,SEKER
0.101725,0.059915,0.062119,0.121922,0.098166,0.653412,0.525379,0.191376,SEKER
0.154494,0.062553,0.062119,0.121922,0.106655,0.605701,0.542947,0.18306,SEKER
0.101639,0.060125,0.062132,0.121944,0.09257,0.687061,0.513724,0.198933,SEKER
0.103015,0.060154,0.06217,0.122011,0.088981,0.709779,0.506074,0.203829,SEKER
0.106085,0.060245,0.062234,0.122122,0.096153,0.665944,0.520531,0.19432,SEKER
0.099929,0.060224,0.062349,0.122321,0.086869,0.724464,0.50067,0.207563,SEKER
0.10332,0.060537,0.062388,0.122388,0.087287,0.721982,0.501311,0.207365,SEKER
0.104006,0.060583,0.062435,0.122469,0.075664,0.802099,0.477038,0.223235,SEKER
0.105886,0.060455,0.062465,0.122521,0.081695,0.759739,0.489322,0.214882,SEKER
0.100638,0.060311,0.062507,0.122594,0.083619,0.746944,0.493051,0.212651,SEKER
0.121325,0.061403,0.06252,0.122616,0.071431,0.834085,0.467823,0.230213,SEKER
0.10254,0.060484,0.062537,0.122646,0.081832,0.759259,0.489192,0.215008,SEKER
0.114669,0.061337,0.06255,0.122668,0.091193,0.698061,0.508434,0.203447,SEKER
0.104629,0.060645,0.062601,0.122757,0.092199,0.692094,0.510212,0.201568,SEKER
0.111689,0.061131,0.06261,0.122771,0.082932,0.752223,0.491048,0.214464,SEKER
0.110075,0.060983,0.06261,0.122771,0.079933,0.772841,0.484863,0.218195,SEKER
0.115711,0.061729,0.062618,0.122786,0.112261,0.57871,0.551491,0.175735,SEKER
0.105032,0.060983,0.062627,0.122801,0.096698,0.664919,0.519343,0.195388,SEKER
0.111927,0.060937,0.062644,0.122831,0.076092,0.800367,0.476749,0.223509,SEKER
0.110302,0.06088,0.062644,0.122831,0.088072,0.71845,0.501452,0.207632,SEKER
0.111723,0.06111,0.062704,0.122934,0.087841,0.7203,0.500632,0.20724,SEKER
0.112227,0.06109,0.062708,0.122941,0.085566,0.735198,0.495919,0.21037,SEKER
