@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2-4,7-11,13-14,16-17'

@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.086413,0.067281,0.179988,0.047362,0.097699,0.715259,0.903678,0.903045,0.544417,0.767738,0.980541,SEKER
0.080346,0.072729,0.172955,0.046863,0.098032,0.703045,0.97088,0.957919,0.555586,0.73101,0.995826,SEKER
0.085542,0.054271,0.199761,0.047342,0.09811,0.698146,0.927555,0.91357,0.513322,0.869072,0.963764,SEKER
0.09434,0.070726,0.17585,0.047779,0.098125,0.706167,0.885305,0.841048,0.550686,0.745093,0.995158,SEKER
0.090144,0.0744,0.17154,0.04763,0.098233,0.739613,0.905659,0.875969,0.558634,0.720494,0.982904,SEKER
0.079405,0.058926,0.194123,0.047408,0.098837,0.7152,0.959756,0.972581,0.521298,0.834841,0.982981,SEKER
0.078896,0.054184,0.201762,0.047663,0.099278,0.697877,0.957913,0.980607,0.508991,0.874773,0.99079,SEKER
0.079145,0.052743,0.204257,0.047713,0.099433,0.704123,0.961243,0.979605,0.505187,0.887401,0.99018,SEKER
0.088865,0.051454,0.207026,0.048261,0.099448,0.754074,0.908075,0.895758,0.502217,0.898331,0.962533,SEKER
0.088277,0.05282,0.205213,0.048195,0.099611,0.664457,0.923146,0.901916,0.504738,0.887528,0.967802,SEKER
0.088661,0.085326,0.161153,0.048088,0.099696,0.720967,0.938191,0.89934,0.577888,0.656186,0.962461,SEKER
0.082395,0.073625,0.175987,0.047919,0.099788,0.692229,0.959771,0.953685,0.551108,0.731423,0.981401,SEKER
0.087575,0.058614,0.196804,0.048277,0.099835,0.716529,0.92692,0.909531,0.517038,0.841407,0.983616,SEKER
0.080339,0.058202,0.19779,0.04789,0.099935,0.722112,0.970418,0.972944,0.515751,0.845081,0.977958,SEKER
0.098982,0.095155,0.150194,0.048632,0.100004,0.725566,0.901179,0.817997,0.598896,0.600452,0.94395,SEKER
0.095059,0.073607,0.177241,0.048987,0.100336,0.682934,0.884122,0.851587,0.549049,0.733569,0.980103,SEKER
0.084778,0.070339,0.181578,0.048269,0.100375,0.660564,0.956378,0.937546,0.541542,0.756285,0.985376,SEKER
0.08911,0.06188,0.194536,0.048797,0.100784,0.660314,0.926254,0.903827,0.521023,0.819908,0.97474,SEKER
0.091385,0.06822,0.185921,0.049061,0.101138,0.667758,0.919214,0.887546,0.534005,0.774253,0.993634,SEKER
0.088221,0.070516,0.183283,0.048982,0.101176,0.640494,0.928896,0.9143,0.539024,0.758074,0.97893,SEKER
0.096367,0.067775,0.1868,0.049576,0.101292,0.707314,0.877237,0.848121,0.532449,0.778061,0.996269,SEKER
0.081687,0.06732,0.188089,0.048768,0.101431,0.671468,0.963327,0.972768,0.530929,0.781896,0.983943,SEKER
0.089052,0.067001,0.18883,0.049172,0.101484,0.709248,0.926656,0.909638,0.53002,0.784425,0.977709,SEKER
0.087416,0.070413,0.183604,0.04897,0.101515,0.726965,0.948017,0.923717,0.537563,0.760086,0.998807,SEKER
0.083402,0.062278,0.195568,0.049217,0.101646,0.755497,0.930769,0.959368,0.518852,0.820343,0.986491,SEKER
0.085479,0.060819,0.198642,0.049184,0.101984,0.73832,0.951871,0.943936,0.514386,0.832973,0.978648,SEKER
0.088226,0.068095,0.188411,0.049419,0.1021,0.730752,0.935036,0.921304,0.530261,0.778871,0.987115,SEKER
0.090666,0.067857,0.189074,0.049617,0.10223,0.734943,0.922675,0.901756,0.529261,0.781094,0.985525,SEKER
0.103139,0.068539,0.188529,0.049972,0.10233,0.655509,0.893563,0.802468,0.530427,0.776555,0.979417,SEKER
0.080974,0.063986,0.194819,0.049156,0.102392,0.736579,0.976239,0.986675,0.52003,0.810358,0.986573,SEKER
0.088334,0.065259,0.193957,0.049844,0.10283,0.688386,0.932226,0.925961,0.52132,0.80255,0.98824,SEKER
0.088396,0.074922,0.181173,0.049811,0.103075,0.6746,0.948376,0.927314,0.541989,0.734746,0.990189,SEKER
0.085084,0.068156,0.191367,0.050124,0.103451,0.738769,0.93776,0.958731,0.525567,0.783654,0.985682,SEKER
0.08689,0.067827,0.191727,0.049992,0.103482,0.654917,0.952176,0.943319,0.524726,0.786167,0.99141,SEKER
0.089273,0.067032,0.192939,0.05012,0.103482,0.767877,0.939774,0.922971,0.522956,0.791986,0.987828,SEKER
0.095286,0.074698,0.18272,0.050772,0.103535,0.687543,0.879739,0.873428,0.539822,0.737966,0.981718,SEKER
0.090943,0.078227,0.178656,0.050363,0.103941,0.728922,0.940412,0.912376,0.546194,0.71581,0.990108,SEKER
0.085475,0.073521,0.184819,0.050157,0.103964,0.697205,0.961602,0.959311,0.535657,0.747625,0.996861,SEKER
0.095885,0.062215,0.202821,0.050837,0.104225,0.814617,0.909545,0.873667,0.509637,0.831261,0.940664,SEKER
0.090559,0.093055,0.161824,0.050368,0.104278,0.720527,0.957741,0.918166,0.577861,0.625909,0.938507,SEKER
0.087847,0.074583,0.185471,0.050747,0.10486,0.683126,0.951627,0.945691,0.534796,0.743644,0.99242,SEKER
0.088809,0.072533,0.188451,0.050858,0.104913,0.721035,0.943695,0.937854,0.530068,0.758036,0.989843,SEKER
0.092636,0.057298,0.210177,0.050854,0.104974,0.785517,0.947304,0.90602,0.496148,0.873441,0.991929,SEKER
0.090333,0.055226,0.214049,0.051044,0.105096,0.687849,0.935448,0.926294,0.491147,0.891059,0.974856,SEKER
0.093027,0.070722,0.192388,0.051266,0.10544,0.755401,0.932066,0.906272,0.524191,0.77283,0.980143,SEKER
0.085628,0.065598,0.199288,0.051027,0.105448,0.699036,0.955481,0.969499,0.512851,0.810377,0.99023,SEKER
0.086465,0.074936,0.186823,0.051147,0.105601,0.709849,0.951976,0.963375,0.532923,0.743968,0.985288,SEKER
0.089063,0.071218,0.19221,0.051229,0.105608,0.789712,0.94444,0.941013,0.52469,0.769939,0.975471,SEKER
0.088313,0.065383,0.200185,0.05113,0.105631,0.613945,0.955167,0.94762,0.511736,0.812724,0.984101,SEKER
0.091306,0.068434,0.196899,0.051406,0.10586,0.754215,0.940605,0.923868,0.517662,0.790977,0.966738,SEKER
0.098898,0.062682,0.205061,0.051699,0.105913,0.796449,0.915346,0.861779,0.5048,0.834499,0.971569,SEKER
0.095417,0.084863,0.175403,0.051781,0.106013,0.6152,0.912648,0.890788,0.55332,0.680597,0.9558,SEKER
0.089534,0.066198,0.199914,0.051588,0.106173,0.726737,0.939579,0.941307,0.511643,0.808748,0.995402,SEKER
0.09242,0.078281,0.183742,0.051699,0.106287,0.740978,0.934898,0.91773,0.537833,0.723913,0.988171,SEKER
0.100556,0.06392,0.204183,0.052322,0.106554,0.716225,0.889436,0.853211,0.505308,0.827541,0.990019,SEKER
0.09031,0.074789,0.189374,0.05181,0.106592,0.686337,0.940191,0.937886,0.529064,0.748655,0.979355,SEKER
0.098218,0.06809,0.198673,0.052425,0.10666,0.712153,0.885205,0.872754,0.514102,0.796614,0.983799,SEKER
0.098242,0.046991,0.230205,0.052157,0.10676,0.675517,0.915863,0.873296,0.467415,0.970417,0.986116,SEKER
0.111954,0.077528,0.18659,0.052932,0.10679,0.693152,0.843968,0.767375,0.534376,0.730767,0.96229,SEKER
0.104106,0.074111,0.191493,0.052672,0.107072,0.679955,0.883161,0.828996,0.525875,0.755129,0.974633,SEKER
0.099295,0.071906,0.194649,0.05266,0.107209,0.648815,0.891465,0.868106,0.520558,0.771126,0.980948,SEKER
0.096611,0.074506,0.190643,0.052313,0.107239,0.760014,0.92597,0.890117,0.52615,0.753011,0.998165,SEKER
0.087598,0.072364,0.194016,0.051963,0.107262,0.754214,0.960646,0.966387,0.521374,0.768085,0.985023,SEKER
0.089664,0.073568,0.192457,0.052173,0.107308,0.67233,0.942921,0.948881,0.523852,0.759794,0.985093,SEKER
0.094709,0.063664,0.207179,0.052515,0.107551,0.716071,0.923009,0.90814,0.501311,0.833528,0.977513,SEKER
0.089533,0.07356,0.193569,0.052091,0.107604,0.78474,0.966318,0.952286,0.522789,0.760961,0.969723,SEKER
0.09806,0.069225,0.199205,0.052581,0.107635,0.718437,0.921097,0.881228,0.513195,0.792074,0.985514,SEKER
0.092234,0.093576,0.167074,0.052144,0.107756,0.747577,0.969143,0.930424,0.566043,0.634188,0.99017,SEKER
0.087276,0.068051,0.200903,0.05212,0.107756,0.698349,0.971512,0.973021,0.510202,0.801183,0.993356,SEKER
0.095287,0.060755,0.212311,0.052693,0.10784,0.704759,0.921218,0.905512,0.493957,0.857536,0.969666,SEKER
0.088368,0.080693,0.184124,0.052223,0.107847,0.688501,0.966418,0.964222,0.537533,0.71362,0.98118,SEKER
0.084654,0.070103,0.199075,0.052326,0.10825,0.690507,0.977618,1,0.512972,0.788061,0.994863,SEKER
0.088362,0.069954,0.199794,0.052482,0.108371,0.748832,0.968995,0.968318,0.512226,0.789607,0.986653,SEKER
0.106724,0.091335,0.171965,0.053006,0.10844,0.662396,0.922742,0.818502,0.558635,0.649518,0.96766,SEKER
0.08873,0.069612,0.200923,0.05254,0.108463,0.75567,0.968245,0.965829,0.511162,0.792458,0.971579,SEKER
0.095795,0.08772,0.176415,0.052915,0.108637,0.702471,0.941629,0.907266,0.550034,0.671923,0.988729,SEKER
0.093146,0.049089,0.232212,0.05329,0.108956,0.685056,0.922651,0.931816,0.46477,0.961368,0.982575,SEKER
0.092653,0.085309,0.180394,0.052878,0.109047,0.747386,0.966517,0.936673,0.543305,0.68827,0.98974,SEKER
0.091896,0.060964,0.21461,0.053101,0.109069,0.651793,0.946541,0.943276,0.490242,0.860949,0.976548,SEKER
0.123068,0.092186,0.172328,0.054304,0.109259,0.657302,0.843064,0.704329,0.557498,0.647198,0.978335,SEKER
0.099855,0.082154,0.185873,0.053653,0.109562,0.731157,0.91989,0.880895,0.534605,0.710195,0.982459,SEKER
0.098495,0.074589,0.196407,0.053789,0.109585,0.774331,0.908247,0.892118,0.518093,0.761185,0.974209,SEKER
0.102488,0.072442,0.19907,0.053661,0.10963,0.783757,0.922652,0.860261,0.513274,0.776503,0.988409,SEKER
0.088345,0.073405,0.198169,0.053163,0.109668,0.755501,0.971863,0.9785,0.515233,0.769809,0.976303,SEKER
0.105794,0.06651,0.207898,0.05421,0.109691,0.697781,0.874255,0.834663,0.500184,0.820338,0.978389,SEKER
0.091992,0.08764,0.178882,0.053406,0.109729,0.712277,0.951937,0.947477,0.545919,0.676123,0.987914,SEKER
0.093639,0.075131,0.19591,0.053624,0.109774,0.66919,0.93363,0.933852,0.518609,0.758117,0.980042,SEKER
0.092219,0.070722,0.202578,0.053781,0.110062,0.728171,0.933784,0.948083,0.508049,0.790542,0.983856,SEKER
0.095825,0.068362,0.206041,0.053872,0.11019,0.663203,0.93191,0.918659,0.502494,0.8084,0.989565,SEKER
0.089049,0.064732,0.211773,0.05362,0.110357,0.669295,0.964318,0.977687,0.494064,0.836602,0.985208,SEKER
0.091946,0.073059,0.199796,0.053686,0.110372,0.700167,0.958863,0.952777,0.512043,0.774921,0.99061,SEKER
0.096447,0.080363,0.189861,0.054024,0.110402,0.640688,0.92853,0.915069,0.527749,0.724925,0.990807,SEKER
0.091651,0.082565,0.187113,0.053711,0.110417,0.760515,0.958882,0.955651,0.532463,0.710555,0.985037,SEKER
0.09729,0.065386,0.210752,0.05402,0.110432,0.750753,0.930488,0.908315,0.495225,0.831865,0.993366,SEKER
0.090791,0.074562,0.198567,0.05369,0.110447,0.712469,0.962406,0.963276,0.515034,0.764597,0.967023,SEKER
0.089921,0.073178,0.200612,0.053711,0.110546,0.683543,0.965567,0.971565,0.511699,0.774736,0.970363,SEKER
0.095627,0.076572,0.196123,0.054032,0.110553,0.691295,0.935601,0.923035,0.519016,0.751041,0.963841,SEKER
0.089467,0.063986,0.213306,0.053925,0.110644,0.743032,0.950417,0.976268,0.491479,0.843552,0.992115,SEKER
0.092597,0.073585,0.199717,0.053855,0.110712,0.7624,0.96057,0.94981,0.512004,0.772476,0.994162,SEKER
0.090911,0.079849,0.191904,0.053843,0.110938,0.727549,0.973524,0.96602,0.524753,0.730266,0.984671,SEKER
0.090598,0.063472,0.21523,0.054041,0.11121,0.734013,0.968954,0.970809,0.488462,0.849874,0.996091,SEKER
0.091432,0.079094,0.193764,0.054069,0.11124,0.660066,0.967799,0.963844,0.522066,0.736415,0.978684,SEKER
0.094262,0.072187,0.203408,0.054544,0.111248,0.672125,0.923586,0.939751,0.507137,0.784495,0.975827,SEKER
0.088164,0.054304,0.229246,0.054201,0.111308,0.734225,0.958883,0.992823,0.468356,0.925793,0.995443,SEKER
0.098945,0.079846,0.193505,0.054469,0.111406,0.593619,0.93876,0.901938,0.523108,0.731977,0.965026,SEKER
0.096946,0.073817,0.201224,0.054593,0.111527,0.664172,0.933406,0.919347,0.509693,0.77391,0.99366,SEKER
0.091069,0.068634,0.20859,0.05435,0.11158,0.707629,0.959002,0.969582,0.498344,0.811821,0.996141,SEKER
0.091818,0.07228,0.203864,0.054416,0.111588,0.619988,0.953186,0.96318,0.506173,0.785122,0.981688,SEKER
0.113262,0.056125,0.228057,0.055562,0.111761,0.693155,0.855185,0.792266,0.470795,0.912173,0.977742,SEKER
0.099606,0.070553,0.206444,0.054943,0.111859,0.733177,0.917768,0.899881,0.501525,0.798716,0.99749,SEKER
0.092201,0.06082,0.22083,0.054556,0.111882,0.765324,0.955258,0.962136,0.480501,0.873786,0.991534,SEKER
0.09882,0.074359,0.202083,0.054931,0.111942,0.667685,0.923212,0.906944,0.509432,0.77164,0.970162,SEKER
0.094681,0.073951,0.202379,0.05456,0.112002,0.74285,0.961124,0.941918,0.508348,0.774755,0.98403,SEKER
0.095593,0.086485,0.18698,0.054832,0.11259,0.678433,0.966018,0.938657,0.533235,0.693106,0.973134,SEKER
0.100614,0.085673,0.188382,0.055195,0.112695,0.797414,0.937496,0.897833,0.531123,0.698598,0.9696,SEKER
0.089682,0.068057,0.2121,0.054844,0.112733,0.744818,0.972268,0.990548,0.493203,0.820694,0.993605,SEKER
0.096595,0.063752,0.219331,0.055417,0.113169,0.715444,0.941203,0.934603,0.482516,0.855666,0.995033,SEKER
0.099002,0.084008,0.191455,0.055483,0.113282,0.735824,0.940875,0.915417,0.525498,0.711308,0.984114,SEKER
0.0901,0.066911,0.215493,0.05522,0.113395,0.749883,0.971363,0.992016,0.488525,0.832029,0.985928,SEKER
0.093311,0.070908,0.210169,0.055496,0.1135,0.729586,0.950981,0.964976,0.496722,0.802455,0.979376,SEKER
0.1001,0.077046,0.201397,0.055549,0.113553,0.671037,0.948698,0.908384,0.509668,0.758856,0.988321,SEKER
0.099159,0.068453,0.213686,0.055879,0.113583,0.742914,0.919556,0.916354,0.491195,0.821057,0.985843,SEKER
0.09566,0.09137,0.182497,0.055479,0.11365,0.726775,0.960286,0.946107,0.539947,0.666604,0.986911,SEKER
0.108569,0.075521,0.204357,0.056209,0.113665,0.707246,0.893254,0.84154,0.506023,0.769912,0.968291,SEKER
0.09459,0.067744,0.214847,0.055582,0.113695,0.695721,0.952994,0.955524,0.489301,0.826873,0.98988,SEKER
0.098372,0.085239,0.190556,0.055599,0.11371,0.786861,0.952232,0.92383,0.526635,0.704891,0.990682,SEKER
0.097376,0.080229,0.197379,0.055764,0.113785,0.749349,0.940745,0.932696,0.51567,0.738001,0.993774,SEKER
0.096861,0.073029,0.208324,0.055929,0.114191,0.667185,0.946316,0.940062,0.498916,0.789658,0.99231,SEKER
0.097613,0.086341,0.191054,0.055908,0.114311,0.758852,0.954427,0.934653,0.526888,0.699963,0.967968,SEKER
0.09847,0.092126,0.182954,0.056048,0.114311,0.663331,0.941393,0.927505,0.539221,0.664253,0.986283,SEKER
0.113387,0.098317,0.175138,0.056456,0.114423,0.691876,0.909373,0.809962,0.552015,0.628499,0.992615,SEKER
0.097739,0.08917,0.187217,0.056044,0.114423,0.694409,0.947577,0.934444,0.532525,0.682631,0.98006,SEKER
0.09698,0.069806,0.213975,0.055966,0.114483,0.673544,0.957957,0.941257,0.491064,0.814444,0.979174,SEKER
0.101378,0.088944,0.187757,0.056333,0.114506,0.740951,0.925057,0.90497,0.531754,0.68431,0.977786,SEKER
0.098831,0.065104,0.220855,0.056127,0.114663,0.71704,0.952287,0.927133,0.48045,0.851116,0.991866,SEKER
0.095169,0.071129,0.212826,0.056069,0.114686,0.673505,0.958812,0.95812,0.493202,0.805419,0.969421,SEKER
0.092581,0.081869,0.19738,0.056036,0.114746,0.729079,0.964974,0.980813,0.515856,0.730508,0.989681,SEKER
0.099562,0.086548,0.19219,0.056271,0.114918,0.717938,0.952022,0.922967,0.525213,0.700749,0.964867,SEKER
0.09676,0.07803,0.203141,0.056415,0.114986,0.6386,0.942113,0.9469,0.506868,0.757348,0.990812,SEKER
0.104431,0.079278,0.201819,0.056963,0.115098,0.651656,0.897268,0.884583,0.509138,0.749206,0.985641,SEKER
0.100536,0.08795,0.190351,0.056386,0.115113,0.606896,0.951347,0.916375,0.527515,0.692578,0.978827,SEKER
0.094076,0.066342,0.220233,0.056407,0.115166,0.751958,0.952135,0.971128,0.481425,0.843494,0.990151,SEKER
0.09832,0.084692,0.195089,0.056394,0.11533,0.792673,0.96177,0.936384,0.51984,0.714083,0.981455,SEKER
0.106706,0.079635,0.202252,0.056963,0.115443,0.665646,0.914943,0.868938,0.50872,0.748032,0.980139,SEKER
0.097597,0.082624,0.198502,0.056629,0.115495,0.782013,0.94847,0.94369,0.514883,0.728188,0.972554,SEKER
0.102132,0.06779,0.219132,0.056922,0.115562,0.705568,0.924891,0.906606,0.483186,0.833933,0.9864,SEKER
0.097115,0.093542,0.184388,0.05651,0.11569,0.772648,0.969568,0.949217,0.537365,0.660345,0.975472,SEKER
0.098146,0.073366,0.211118,0.056844,0.115697,0.692585,0.93904,0.940598,0.49456,0.792971,0.995985,SEKER
0.102377,0.086288,0.194035,0.057285,0.115847,0.627706,0.906093,0.906708,0.521442,0.705621,0.982894,SEKER
0.094064,0.077304,0.206475,0.056498,0.115847,0.716984,0.978811,0.976433,0.502404,0.765563,0.976945,SEKER
0.104289,0.074667,0.210492,0.057268,0.116056,0.716356,0.918344,0.892729,0.496112,0.78497,0.982181,SEKER
0.093567,0.072722,0.213103,0.056728,0.116146,0.696942,0.972802,0.983018,0.491696,0.799363,0.993987,SEKER
0.098588,0.080019,0.204044,0.057017,0.116265,0.651107,0.952259,0.941156,0.506733,0.748417,0.963218,SEKER
0.093385,0.077932,0.206352,0.056629,0.116265,0.704403,0.98814,0.985507,0.502317,0.762747,0.983025,SEKER
0.104606,0.089295,0.190847,0.057273,0.116363,0.702645,0.933684,0.892415,0.526018,0.688449,0.993931,SEKER
0.100818,0.071493,0.215365,0.057268,0.116378,0.736676,0.934831,0.923439,0.488323,0.809289,0.994745,SEKER
0.097015,0.0884,0.193113,0.056996,0.116505,0.689139,0.966456,0.956216,0.523635,0.694522,0.967119,SEKER
0.109259,0.083398,0.199826,0.057912,0.116557,0.721319,0.885056,0.856853,0.512883,0.726862,0.971173,SEKER
0.101191,0.079968,0.203905,0.057186,0.116609,0.764214,0.954318,0.922079,0.505459,0.750013,0.996081,SEKER
0.098565,0.072701,0.214449,0.057264,0.116617,0.707825,0.94748,0.943982,0.49008,0.801331,0.985548,SEKER
0.103836,0.079141,0.205384,0.057462,0.116654,0.690974,0.931186,0.900777,0.503559,0.755833,0.988114,SEKER
0.112889,0.082768,0.201071,0.057936,0.116781,0.668421,0.894247,0.830343,0.510788,0.731819,0.974759,SEKER
0.100484,0.084748,0.198739,0.057446,0.116893,0.72931,0.944956,0.930035,0.514583,0.719213,0.971036,SEKER
0.100715,0.067235,0.223851,0.057367,0.117057,0.777346,0.960596,0.929344,0.477088,0.844174,0.970369,SEKER
0.099132,0.079953,0.205264,0.057582,0.117117,0.746762,0.943928,0.942987,0.503708,0.751967,0.988893,SEKER
0.104458,0.085648,0.197792,0.057837,0.117162,0.766474,0.922768,0.899457,0.515562,0.714317,0.981977,SEKER
0.096499,0.082149,0.202434,0.057334,0.117206,0.719703,0.971301,0.965912,0.508033,0.737467,0.989093,SEKER
0.097936,0.083214,0.201717,0.057297,0.117236,0.818586,0.976259,0.953941,0.510178,0.730488,0.966218,SEKER
0.102782,0.098387,0.18127,0.057553,0.117326,0.733565,0.957295,0.914307,0.541837,0.637359,0.989987,SEKER
0.106463,0.110603,0.167202,0.058023,0.117631,0.767558,0.929824,0.886745,0.566465,0.572075,0.976802,SEKER
0.09929,0.085221,0.199572,0.057903,0.117661,0.72815,0.942303,0.945744,0.512955,0.718835,0.978264,SEKER
0.096136,0.086655,0.197453,0.057524,0.117669,0.75888,0.977557,0.972524,0.515945,0.709609,0.985218,SEKER
0.105512,0.083157,0.202611,0.058093,0.117684,0.697659,0.926081,0.894767,0.508535,0.732465,0.972016,SEKER
0.109367,0.087989,0.196712,0.0582,0.11778,0.789319,0.921237,0.86479,0.518368,0.701498,0.957742,SEKER
0.097535,0.090692,0.192148,0.057685,0.117795,0.746736,0.969251,0.96156,0.524002,0.684653,0.99252,SEKER
0.111637,0.073015,0.216481,0.058542,0.117848,0.707308,0.89347,0.84755,0.486655,0.803762,0.995417,SEKER
0.104953,0.087892,0.197335,0.058035,0.117862,0.644601,0.940515,0.900585,0.517882,0.702397,0.947022,SEKER
0.106643,0.088327,0.195572,0.058155,0.117892,0.65496,0.931097,0.887201,0.518695,0.699745,0.989768,SEKER
0.111898,0.083081,0.203936,0.058637,0.117915,0.715567,0.88827,0.846006,0.507591,0.733793,0.947933,SEKER
0.103343,0.081217,0.205524,0.058299,0.118011,0.757719,0.924004,0.914773,0.503348,0.746629,0.988089,SEKER
0.109385,0.09186,0.192664,0.058497,0.118026,0.737698,0.906719,0.866417,0.525658,0.678262,0.938893,SEKER
0.108293,0.074715,0.215634,0.05841,0.118056,0.612677,0.91613,0.875254,0.489538,0.792202,0.958441,SEKER
0.103406,0.113684,0.164784,0.057742,0.11816,0.691157,0.982667,0.915356,0.571022,0.558023,0.970629,SEKER
0.097285,0.083847,0.202795,0.057973,0.11822,0.753838,0.964495,0.966898,0.508165,0.729809,0.973921,SEKER
0.101027,0.075727,0.213624,0.058085,0.118257,0.765548,0.95619,0.935692,0.490995,0.7857,0.99242,SEKER
0.104708,0.103451,0.177255,0.058513,0.118265,0.711365,0.917381,0.905518,0.549163,0.61192,0.97721,SEKER
0.11148,0.090299,0.195671,0.059227,0.118324,0.596253,0.85573,0.852166,0.521353,0.688876,0.928622,SEKER
0.102641,0.089295,0.195637,0.058311,0.118384,0.741561,0.941907,0.923287,0.51904,0.695344,0.980029,SEKER
0.105094,0.095349,0.18769,0.058542,0.118473,0.61892,0.925392,0.903915,0.531432,0.658762,0.987069,SEKER
0.098311,0.084156,0.202576,0.058093,0.118518,0.734494,0.968777,0.960439,0.507804,0.728829,0.989312,SEKER
0.09802,0.074117,0.216682,0.058316,0.118607,0.741398,0.952948,0.963574,0.486458,0.798629,0.993218,SEKER
0.102182,0.087015,0.199065,0.058513,0.118622,0.741602,0.935626,0.928834,0.513445,0.710615,0.984817,SEKER
0.112838,0.06019,0.237506,0.059251,0.118689,0.685214,0.872028,0.844239,0.457003,0.907578,0.993737,SEKER
0.100066,0.0926,0.191831,0.058299,0.118771,0.687983,0.962832,0.947551,0.524637,0.676245,0.98974,SEKER
0.09908,0.078115,0.211617,0.058303,0.118771,0.744564,0.962455,0.95584,0.494294,0.770742,0.985285,SEKER
