@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1-2,9-14,16-17'

@attribute Area numeric
@attribute Perimeter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.049412,0.079145,0.704123,0.961243,0.979605,0.886756,0.505187,0.887401,0.99018,SEKER
0.04942,0.088865,0.754074,0.908075,0.895758,0.896068,0.502217,0.898331,0.962533,SEKER
0.04951,0.088277,0.664457,0.923146,0.901916,0.887191,0.504738,0.887528,0.967802,SEKER
0.049557,0.088661,0.720967,0.938191,0.89934,0.673931,0.577888,0.656186,0.962461,SEKER
0.049608,0.082395,0.692229,0.959771,0.953685,0.74739,0.551108,0.731423,0.981401,SEKER
0.049634,0.087575,0.716529,0.92692,0.909531,0.847707,0.517038,0.841407,0.983616,SEKER
0.049689,0.080339,0.722112,0.970418,0.972944,0.851111,0.515751,0.845081,0.977958,SEKER
0.049728,0.098982,0.725566,0.901179,0.817997,0.617267,0.598896,0.600452,0.94395,SEKER
0.049911,0.095059,0.682934,0.884122,0.851587,0.750379,0.549049,0.733569,0.980103,SEKER
0.049933,0.084778,0.660564,0.956378,0.937546,0.771758,0.541542,0.756285,0.985376,SEKER
0.050159,0.08911,0.660314,0.926254,0.903827,0.830409,0.521023,0.819908,0.97474,SEKER
0.050355,0.091385,0.667758,0.919214,0.887546,0.789725,0.534005,0.774253,0.993634,SEKER
0.050377,0.088221,0.640494,0.928896,0.9143,0.774834,0.539024,0.758074,0.97893,SEKER
0.050441,0.096367,0.707314,0.877237,0.848121,0.793494,0.532449,0.778061,0.996269,SEKER
0.050518,0.081687,0.671468,0.963327,0.972768,0.797253,0.530929,0.781896,0.983943,SEKER
0.050547,0.089052,0.709248,0.926656,0.909638,0.799659,0.53002,0.784425,0.977709,SEKER
0.050564,0.087416,0.726965,0.948017,0.923717,0.777301,0.537563,0.760086,0.998807,SEKER
0.050637,0.083402,0.755497,0.930769,0.959368,0.832349,0.518852,0.820343,0.986491,SEKER
0.050825,0.085479,0.73832,0.951871,0.943936,0.844169,0.514386,0.832973,0.978648,SEKER
0.050889,0.088226,0.730752,0.935036,0.921304,0.79567,0.530261,0.778871,0.987115,SEKER
0.050962,0.090666,0.734943,0.922675,0.901756,0.797938,0.529261,0.781094,0.985525,SEKER
0.051017,0.103139,0.655509,0.893563,0.802468,0.793952,0.530427,0.776555,0.979417,SEKER
0.051051,0.080974,0.736579,0.976239,0.986675,0.824756,0.52003,0.810358,0.986573,SEKER
0.051295,0.088334,0.688386,0.932226,0.925961,0.81851,0.52132,0.80255,0.98824,SEKER
0.051431,0.088396,0.6746,0.948376,0.927314,0.756272,0.541989,0.734746,0.990189,SEKER
0.051641,0.085084,0.738769,0.93776,0.958731,0.802444,0.525567,0.783654,0.985682,SEKER
0.051658,0.08689,0.654917,0.952176,0.943319,0.804795,0.524726,0.786167,0.99141,SEKER
0.051658,0.089273,0.767877,0.939774,0.922971,0.810099,0.522956,0.791986,0.987828,SEKER
0.051687,0.095286,0.687543,0.879739,0.873428,0.76012,0.539822,0.737966,0.981718,SEKER
0.051914,0.090943,0.728922,0.940412,0.912376,0.739717,0.546194,0.71581,0.990108,SEKER
0.051927,0.085475,0.697205,0.961602,0.959311,0.769965,0.535657,0.747625,0.996861,SEKER
0.052072,0.095885,0.814617,0.909545,0.873667,0.84669,0.509637,0.831261,0.940664,SEKER
0.052102,0.090559,0.720527,0.957741,0.918166,0.650863,0.577861,0.625909,0.938507,SEKER
0.052426,0.087847,0.683126,0.951627,0.945691,0.767785,0.534796,0.743644,0.99242,SEKER
0.052456,0.088809,0.721035,0.943695,0.937854,0.781364,0.530068,0.758036,0.989843,SEKER
0.05249,0.092636,0.785517,0.947304,0.90602,0.884936,0.496148,0.873441,0.991929,SEKER
0.052559,0.090333,0.687849,0.935448,0.926294,0.90028,0.491147,0.891059,0.974856,SEKER
0.052751,0.093027,0.755401,0.932066,0.906272,0.796012,0.524191,0.77283,0.980143,SEKER
0.052755,0.085628,0.699036,0.955481,0.969499,0.830234,0.512851,0.810377,0.99023,SEKER
0.05284,0.086465,0.709849,0.951976,0.963375,0.769381,0.532923,0.743968,0.985288,SEKER
0.052845,0.089063,0.789712,0.94444,0.941013,0.793637,0.52469,0.769939,0.975471,SEKER
0.052857,0.088313,0.613945,0.955167,0.94762,0.832671,0.511736,0.812724,0.984101,SEKER
0.052986,0.091306,0.754215,0.940605,0.923868,0.813399,0.517662,0.790977,0.966738,SEKER
0.053015,0.098898,0.796449,0.915346,0.861779,0.852594,0.5048,0.834499,0.971569,SEKER
0.053071,0.095417,0.6152,0.912648,0.890788,0.708965,0.55332,0.680597,0.9558,SEKER
0.053161,0.089534,0.726737,0.939579,0.941307,0.830059,0.511643,0.808748,0.995402,SEKER
0.053225,0.09242,0.740978,0.934898,0.91773,0.751537,0.537833,0.723913,0.988171,SEKER
0.053374,0.100556,0.716225,0.889436,0.853211,0.847567,0.505308,0.827541,0.990019,SEKER
0.053395,0.09031,0.686337,0.940191,0.937886,0.775519,0.529064,0.748655,0.979355,SEKER
0.053434,0.098218,0.712153,0.885205,0.872754,0.819947,0.514102,0.796614,0.983799,SEKER
0.053489,0.098242,0.675517,0.915863,0.873296,0.969532,0.467415,0.970417,0.986116,SEKER
0.053506,0.111954,0.693152,0.843968,0.767375,0.758946,0.534376,0.730767,0.96229,SEKER
0.053664,0.104106,0.679955,0.883161,0.828996,0.782425,0.525875,0.755129,0.974633,SEKER
0.053741,0.099295,0.648815,0.891465,0.868106,0.797547,0.520558,0.771126,0.980948,SEKER
0.053758,0.096611,0.760014,0.92597,0.890117,0.780734,0.52615,0.753011,0.998165,SEKER
0.053771,0.087598,0.754214,0.960646,0.966387,0.794823,0.521374,0.768085,0.985023,SEKER
0.053797,0.089664,0.67233,0.942921,0.948881,0.787195,0.523852,0.759794,0.985093,SEKER
0.053933,0.094709,0.716071,0.923009,0.90814,0.854672,0.501311,0.833528,0.977513,SEKER
0.053963,0.089533,0.78474,0.966318,0.952286,0.788801,0.522789,0.760961,0.969723,SEKER
0.05398,0.09806,0.718437,0.921097,0.881228,0.817538,0.513195,0.792074,0.985514,SEKER
0.054049,0.092234,0.747577,0.969143,0.930424,0.665175,0.566043,0.634188,0.99017,SEKER
0.054049,0.087276,0.698349,0.971512,0.973021,0.826036,0.510202,0.801183,0.993356,SEKER
0.054096,0.095287,0.704759,0.921218,0.905512,0.876323,0.493957,0.857536,0.969666,SEKER
0.0541,0.088368,0.688501,0.966418,0.964222,0.744339,0.537533,0.71362,0.98118,SEKER
0.054326,0.084654,0.690507,0.977618,1,0.814959,0.512972,0.788061,0.994863,SEKER
0.054395,0.088362,0.748832,0.968995,0.968318,0.816586,0.512226,0.789607,0.986653,SEKER
0.054433,0.106724,0.662396,0.922742,0.818502,0.681955,0.558635,0.649518,0.96766,SEKER
0.054446,0.08873,0.75567,0.968245,0.965829,0.819351,0.511162,0.792458,0.971579,SEKER
0.054544,0.095795,0.702471,0.941629,0.907266,0.704807,0.550034,0.671923,0.988729,SEKER
0.054723,0.093146,0.685056,0.922651,0.931816,0.966231,0.46477,0.961368,0.982575,SEKER
0.054775,0.092653,0.747386,0.966517,0.936673,0.721688,0.543305,0.68827,0.98974,SEKER
0.054787,0.091896,0.651793,0.946541,0.943276,0.881522,0.490242,0.860949,0.976548,SEKER
0.054894,0.123068,0.657302,0.843064,0.704329,0.68097,0.557498,0.647198,0.978335,SEKER
0.055065,0.099855,0.731157,0.91989,0.880895,0.743968,0.534605,0.710195,0.982459,SEKER
0.055078,0.098495,0.774331,0.908247,0.892118,0.792467,0.518093,0.761185,0.974209,SEKER
0.055103,0.102488,0.783757,0.922652,0.860261,0.806763,0.513274,0.776503,0.988409,SEKER
0.055125,0.088345,0.755501,0.971863,0.9785,0.800636,0.515233,0.769809,0.976303,SEKER
0.055138,0.105794,0.697781,0.874255,0.834663,0.846734,0.500184,0.820338,0.978389,SEKER
0.055159,0.091992,0.712277,0.951937,0.947477,0.71083,0.545919,0.676123,0.987914,SEKER
0.055185,0.093639,0.66919,0.93363,0.933852,0.789932,0.518609,0.758117,0.980042,SEKER
0.055347,0.092219,0.728171,0.933784,0.948083,0.820419,0.508049,0.790542,0.983856,SEKER
0.055419,0.095825,0.663203,0.93191,0.918659,0.836879,0.502494,0.8084,0.989565,SEKER
0.055513,0.089049,0.669295,0.964318,0.977687,0.862419,0.494064,0.836602,0.985208,SEKER
0.055522,0.091946,0.700167,0.958863,0.952777,0.8066,0.512043,0.774921,0.99061,SEKER
0.055539,0.096447,0.640688,0.92853,0.915069,0.759598,0.527749,0.724925,0.990807,SEKER
0.055547,0.091651,0.760515,0.958882,0.955651,0.74578,0.532463,0.710555,0.985037,SEKER
0.055556,0.09729,0.750753,0.930488,0.908315,0.858347,0.495225,0.831865,0.993366,SEKER
0.055565,0.090791,0.712469,0.962406,0.963276,0.797153,0.515034,0.764597,0.967023,SEKER
0.05562,0.089921,0.683543,0.965567,0.971565,0.806733,0.511699,0.774736,0.970363,SEKER
0.055624,0.095627,0.691295,0.935601,0.923035,0.78465,0.519016,0.751041,0.963841,SEKER
0.055676,0.089467,0.743032,0.950417,0.976268,0.869084,0.491479,0.843552,0.992115,SEKER
0.055714,0.092597,0.7624,0.96057,0.94981,0.804933,0.512004,0.772476,0.994162,SEKER
0.055842,0.090911,0.727549,0.973524,0.96602,0.765629,0.524753,0.730266,0.984671,SEKER
0.055996,0.090598,0.734013,0.968954,0.970809,0.875671,0.488462,0.849874,0.996091,SEKER
0.056013,0.091432,0.660066,0.967799,0.963844,0.772009,0.522066,0.736415,0.978684,SEKER
0.056017,0.094262,0.672125,0.923586,0.939751,0.816961,0.507137,0.784495,0.975827,SEKER
0.056051,0.088164,0.734225,0.958883,0.992823,0.941065,0.468356,0.925793,0.995443,SEKER
0.056107,0.098945,0.593619,0.93876,0.901938,0.768068,0.523108,0.731977,0.965026,SEKER
0.056175,0.096946,0.664172,0.933406,0.919347,0.807686,0.509693,0.77391,0.99366,SEKER
0.056205,0.091069,0.707629,0.959002,0.969582,0.842429,0.498344,0.811821,0.996141,SEKER
0.056209,0.091818,0.619988,0.953186,0.96318,0.818132,0.506173,0.785122,0.981688,SEKER
0.056308,0.113262,0.693155,0.855185,0.792266,0.930416,0.470795,0.912173,0.977742,SEKER
0.056363,0.099606,0.733177,0.917768,0.899881,0.831043,0.501525,0.798716,0.99749,SEKER
0.056376,0.092201,0.765324,0.955258,0.962136,0.897759,0.480501,0.873786,0.991534,SEKER
0.05641,0.09882,0.667685,0.923212,0.906944,0.806306,0.509432,0.77164,0.970162,SEKER
0.056444,0.094681,0.74285,0.961124,0.941918,0.809298,0.508348,0.774755,0.98403,SEKER
0.056777,0.095593,0.678433,0.966018,0.938657,0.732454,0.533235,0.693106,0.973134,SEKER
0.056837,0.100614,0.797414,0.937496,0.897833,0.738019,0.531123,0.698598,0.9696,SEKER
0.056858,0.089682,0.744818,0.972268,0.990548,0.852456,0.493203,0.820694,0.993605,SEKER
0.057106,0.096595,0.715444,0.941203,0.934603,0.884271,0.482516,0.855666,0.995033,SEKER
0.05717,0.099002,0.735824,0.940875,0.915417,0.7514,0.525498,0.711308,0.984114,SEKER
0.057234,0.0901,0.749883,0.971363,0.992016,0.863768,0.488525,0.832029,0.985928,SEKER
0.057294,0.093311,0.729586,0.950981,0.964976,0.837334,0.496722,0.802455,0.979376,SEKER
0.057324,0.1001,0.671037,0.948698,0.908384,0.797188,0.509668,0.758856,0.988321,SEKER
0.057341,0.099159,0.742914,0.919556,0.916354,0.854286,0.491195,0.821057,0.985843,SEKER
0.057379,0.09566,0.726775,0.960286,0.946107,0.707917,0.539947,0.666604,0.986911,SEKER
0.057388,0.108569,0.707246,0.893254,0.84154,0.807704,0.506023,0.769912,0.968291,SEKER
0.057405,0.09459,0.695721,0.952994,0.955524,0.859699,0.489301,0.826873,0.98988,SEKER
0.057413,0.098372,0.786861,0.952232,0.92383,0.74589,0.526635,0.704891,0.990682,SEKER
0.057456,0.097376,0.749349,0.940745,0.932696,0.7779,0.51567,0.738001,0.993774,SEKER
0.057687,0.096861,0.667185,0.946316,0.940062,0.826859,0.498916,0.789658,0.99231,SEKER
0.057755,0.097613,0.758852,0.954427,0.934653,0.742095,0.526888,0.699963,0.967968,SEKER
0.057755,0.09847,0.663331,0.941393,0.927505,0.70666,0.539221,0.664253,0.986283,SEKER
0.057819,0.113387,0.691876,0.909373,0.809962,0.670354,0.552015,0.628499,0.992615,SEKER
0.057819,0.097739,0.694409,0.947577,0.934444,0.725208,0.532525,0.682631,0.98006,SEKER
0.057853,0.09698,0.673544,0.957957,0.941257,0.849926,0.491064,0.814444,0.979174,SEKER
0.057866,0.101378,0.740951,0.925057,0.90497,0.727012,0.531754,0.68431,0.977786,SEKER
0.057956,0.098831,0.71704,0.952287,0.927133,0.882943,0.48045,0.851116,0.991866,SEKER
0.057969,0.095169,0.673505,0.958812,0.95812,0.842113,0.493202,0.805419,0.969421,SEKER
0.058003,0.092581,0.729079,0.964974,0.980813,0.772399,0.515856,0.730508,0.989681,SEKER
0.058101,0.099562,0.717938,0.952022,0.922967,0.743894,0.525213,0.700749,0.964867,SEKER
0.058139,0.09676,0.6386,0.942113,0.9469,0.798254,0.506868,0.757348,0.990812,SEKER
0.058203,0.104431,0.651656,0.897268,0.884583,0.790781,0.509138,0.749206,0.985641,SEKER
0.058212,0.100536,0.606896,0.951347,0.916375,0.736202,0.527515,0.692578,0.978827,SEKER
0.058242,0.094076,0.751958,0.952135,0.971128,0.877104,0.481425,0.843494,0.990151,SEKER
0.058336,0.09832,0.792673,0.96177,0.936384,0.757579,0.51984,0.714083,0.981455,SEKER
0.0584,0.106706,0.665646,0.914943,0.868938,0.790266,0.50872,0.748032,0.980139,SEKER
0.05843,0.097597,0.782013,0.94847,0.94369,0.771458,0.514883,0.728188,0.972554,SEKER
0.058468,0.102132,0.705568,0.924891,0.906606,0.869315,0.483186,0.833933,0.9864,SEKER
0.058541,0.097115,0.772648,0.969568,0.949217,0.705021,0.537365,0.660345,0.975472,SEKER
0.058545,0.098146,0.692585,0.93904,0.940598,0.832532,0.49456,0.792971,0.995985,SEKER
0.05863,0.102377,0.627706,0.906093,0.906708,0.750227,0.521442,0.705621,0.982894,SEKER
0.05863,0.094064,0.716984,0.978811,0.976433,0.807437,0.502404,0.765563,0.976945,SEKER
0.05875,0.104289,0.716356,0.918344,0.892729,0.825806,0.496112,0.78497,0.982181,SEKER
0.058801,0.093567,0.696942,0.972802,0.983018,0.839163,0.491696,0.799363,0.993987,SEKER
0.058869,0.098588,0.651107,0.952259,0.941156,0.792045,0.506733,0.748417,0.963218,SEKER
0.058869,0.093385,0.704403,0.98814,0.985507,0.805529,0.502317,0.762747,0.983025,SEKER
0.058925,0.104606,0.702645,0.933684,0.892415,0.734234,0.526018,0.688449,0.993931,SEKER
0.058934,0.100818,0.736676,0.934831,0.923439,0.848598,0.488323,0.809289,0.994745,SEKER
0.059006,0.097015,0.689139,0.966456,0.956216,0.740463,0.523635,0.694522,0.967119,SEKER
0.059036,0.109259,0.721319,0.885056,0.856853,0.771999,0.512883,0.726862,0.971173,SEKER
0.059066,0.101191,0.764214,0.954318,0.922079,0.794146,0.505459,0.750013,0.996081,SEKER
0.05907,0.098565,0.707825,0.94748,0.943982,0.841782,0.49008,0.801331,0.985548,SEKER
0.059092,0.103836,0.690974,0.931186,0.900777,0.799711,0.503559,0.755833,0.988114,SEKER
0.059164,0.112889,0.668421,0.894247,0.830343,0.777136,0.510788,0.731819,0.974759,SEKER
0.059228,0.100484,0.72931,0.944956,0.930035,0.765201,0.514583,0.719213,0.971036,SEKER
0.059322,0.100715,0.777346,0.960596,0.929344,0.881071,0.477088,0.844174,0.970369,SEKER
0.059356,0.099132,0.746762,0.943928,0.942987,0.796865,0.503708,0.751967,0.988893,SEKER
0.059382,0.104458,0.766474,0.922768,0.899457,0.760917,0.515562,0.714317,0.981977,SEKER
0.059408,0.096499,0.719703,0.971301,0.965912,0.783261,0.508033,0.737467,0.989093,SEKER
0.059425,0.097936,0.818586,0.976259,0.953941,0.776638,0.510178,0.730488,0.966218,SEKER
0.059476,0.102782,0.733565,0.957295,0.914307,0.684284,0.541837,0.637359,0.989987,SEKER
0.059651,0.106463,0.767558,0.929824,0.886745,0.615658,0.566465,0.572075,0.976802,SEKER
0.059668,0.09929,0.72815,0.942303,0.945744,0.766141,0.512955,0.718835,0.978264,SEKER
0.059672,0.096136,0.75888,0.977557,0.972524,0.757201,0.515945,0.709609,0.985218,SEKER
0.059681,0.105512,0.697659,0.926081,0.894767,0.779296,0.508535,0.732465,0.972016,SEKER
0.059736,0.109367,0.789319,0.921237,0.86479,0.749466,0.518368,0.701498,0.957742,SEKER
0.059745,0.097535,0.746736,0.969251,0.96156,0.732879,0.524002,0.684653,0.99252,SEKER
0.059775,0.111637,0.707308,0.89347,0.84755,0.846154,0.486655,0.803762,0.995417,SEKER
0.059783,0.104953,0.644601,0.940515,0.900585,0.750485,0.517882,0.702397,0.947022,SEKER
0.0598,0.106643,0.65496,0.931097,0.887201,0.747936,0.518695,0.699745,0.989768,SEKER
0.059813,0.111898,0.715567,0.88827,0.846006,0.780963,0.507591,0.733793,0.947933,SEKER
0.059869,0.103343,0.757719,0.924004,0.914773,0.793353,0.503348,0.746629,0.988089,SEKER
0.059877,0.109385,0.737698,0.906719,0.866417,0.726907,0.525658,0.678262,0.938893,SEKER
0.059894,0.108293,0.612677,0.91613,0.875254,0.835946,0.489538,0.792202,0.958441,SEKER
0.059954,0.103406,0.691157,0.982667,0.915356,0.601103,0.571022,0.558023,0.970629,SEKER
0.059988,0.097285,0.753838,0.964495,0.966898,0.777665,0.508165,0.729809,0.973921,SEKER
0.06001,0.101027,0.765548,0.95619,0.935692,0.830311,0.490995,0.7857,0.99242,SEKER
0.060014,0.104708,0.711365,0.917381,0.905518,0.659334,0.549163,0.61192,0.97721,SEKER
0.060048,0.11148,0.596253,0.85573,0.852166,0.737952,0.521353,0.688876,0.928622,SEKER
0.060082,0.102641,0.741561,0.941907,0.923287,0.744438,0.51904,0.695344,0.980029,SEKER
0.060133,0.105094,0.61892,0.925392,0.903915,0.708046,0.531432,0.658762,0.987069,SEKER
0.060159,0.098311,0.734494,0.968777,0.960439,0.777232,0.507804,0.728829,0.989312,SEKER
0.06021,0.09802,0.741398,0.952948,0.963574,0.842796,0.486458,0.798629,0.993218,SEKER
0.060219,0.102182,0.741602,0.935626,0.928834,0.759794,0.513445,0.710615,0.984817,SEKER
0.060257,0.112838,0.685214,0.872028,0.844239,0.939104,0.457003,0.907578,0.993737,SEKER
0.060304,0.100066,0.687983,0.962832,0.947551,0.726137,0.524637,0.676245,0.98974,SEKER
0.060304,0.09908,0.744564,0.962455,0.95584,0.81733,0.494294,0.770742,0.985285,SEKER
0.060522,0.0995,0.727346,0.973933,0.955154,0.745436,0.517389,0.69505,0.986576,SEKER
0.060548,0.101679,0.715632,0.949452,0.937258,0.768137,0.50968,0.718208,0.994459,SEKER
0.060552,0.110103,0.724735,0.901481,0.86921,0.824934,0.491141,0.778115,0.982382,SEKER
0.060642,0.108614,0.670392,0.923639,0.882104,0.719131,0.526042,0.668284,0.983757,SEKER
0.060646,0.103022,0.657043,0.94089,0.927419,0.806163,0.496904,0.757728,0.973378,SEKER
0.060659,0.097977,0.664351,0.961582,0.969844,0.764002,0.510733,0.713609,0.970251,SEKER
0.060671,0.100135,0.612782,0.961968,0.951762,0.750193,0.515334,0.69944,0.948659,SEKER
0.06068,0.099466,0.660614,0.948432,0.957504,0.793249,0.501004,0.743969,0.991571,SEKER
0.060697,0.097836,0.671315,0.958975,0.971558,0.819845,0.49235,0.772172,0.985163,SEKER
0.06071,0.10446,0.651577,0.937569,0.916442,0.73327,0.520973,0.682214,0.962069,SEKER
0.060829,0.106994,0.779996,0.931307,0.89743,0.836054,0.486809,0.789238,0.971092,SEKER
0.060851,0.10279,0.676966,0.940318,0.931976,0.724646,0.523512,0.673172,0.977401,SEKER
0.060872,0.098374,0.716009,0.954596,0.969279,0.82868,0.489025,0.781115,0.983277,SEKER
0.060889,0.099162,0.70969,0.971534,0.962817,0.773112,0.507021,0.722309,0.974321,SEKER
0.060975,0.113427,0.619411,0.899351,0.848538,0.747302,0.515413,0.695601,0.965246,SEKER
0.060987,0.103825,0.700994,0.948683,0.925199,0.779583,0.504593,0.728722,0.975742,SEKER
0.061069,0.09972,0.756115,0.965637,0.960441,0.820888,0.490945,0.772094,0.985509,SEKER
0.061098,0.100269,0.713552,0.951772,0.956203,0.803068,0.496593,0.753014,0.965021,SEKER
0.061115,0.099839,0.715688,0.96229,0.960055,0.808828,0.494682,0.759069,0.987734,SEKER
0.061175,0.10096,0.73607,0.958581,0.951402,0.738981,0.51764,0.686598,0.995322,SEKER
0.06118,0.098951,0.692071,0.957834,0.96841,0.896368,0.46717,0.854978,0.989918,SEKER
0.061188,0.103286,0.803379,0.941734,0.932222,0.870527,0.475029,0.825928,0.976438,SEKER
0.061218,0.11094,0.743361,0.922338,0.870935,0.77639,0.504974,0.7247,0.976391,SEKER
0.061235,0.111688,0.712501,0.916019,0.865279,0.793592,0.499277,0.742596,0.981579,SEKER
0.061256,0.099093,0.633007,0.961642,0.968209,0.766043,0.508294,0.713901,0.971056,SEKER
0.061278,0.108428,0.735536,0.92277,0.891599,0.78424,0.502214,0.732678,0.986241,SEKER
0.061282,0.100786,0.668635,0.945555,0.954255,0.813578,0.492673,0.763594,0.985658,SEKER
0.061291,0.104742,0.724545,0.932855,0.921566,0.808128,0.494402,0.75777,0.98407,SEKER
0.061346,0.104483,0.551722,0.942617,0.924397,0.781766,0.502828,0.729891,0.926765,SEKER
0.061367,0.114645,0.738596,0.905369,0.843986,0.814518,0.492126,0.764325,0.997771,SEKER
0.061376,0.115567,0.617225,0.922494,0.837023,0.708579,0.527502,0.655762,0.958388,SEKER
0.061376,0.100338,0.738742,0.972982,0.959244,0.718081,0.524207,0.66514,0.985529,SEKER
0.061402,0.100682,0.73764,0.949767,0.956679,0.831229,0.486699,0.782147,0.994549,SEKER
0.061577,0.103463,0.751944,0.958881,0.935761,0.771324,0.505603,0.718372,0.968553,SEKER
0.061577,0.09959,0.747125,0.964495,0.968184,0.867714,0.474802,0.821488,0.981405,SEKER
0.061602,0.11084,0.66168,0.92681,0.876509,0.72204,0.522169,0.66842,0.96436,SEKER
0.061615,0.102393,0.698629,0.969016,0.94513,0.788977,0.499682,0.736583,0.986028,SEKER
0.061679,0.106299,0.765134,0.923536,0.913824,0.855328,0.478347,0.807478,0.982919,SEKER
0.061735,0.100508,0.675146,0.953768,0.962486,0.848775,0.480233,0.800116,0.991406,SEKER
0.061735,0.1058,0.737152,0.942948,0.918592,0.80311,0.494744,0.751059,0.977457,SEKER
0.061739,0.113127,0.689884,0.913194,0.860292,0.725757,0.520486,0.671723,0.966697,SEKER
0.061739,0.103196,0.762506,0.928056,0.940059,0.868253,0.47418,0.821539,0.963045,SEKER
0.061752,0.106344,0.764289,0.943708,0.914384,0.744191,0.514172,0.690164,0.989437,SEKER
0.061756,0.101277,0.786233,0.957893,0.956292,0.768779,0.505924,0.715209,0.975765,SEKER
0.061807,0.104724,0.668161,0.945618,0.928319,0.849955,0.479659,0.801166,0.996209,SEKER
0.061876,0.104561,0.666497,0.942322,0.930533,0.737196,0.516178,0.682763,0.971003,SEKER
