@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2-5,7,9,11-14,16-17'

@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute ConvexArea numeric
@attribute Extent numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.099855,0.082154,0.185873,0.151042,0.053653,0.731157,0.880895,0.743968,0.534605,0.710195,0.982459,SEKER
0.098495,0.074589,0.196407,0.118632,0.053789,0.774331,0.892118,0.792467,0.518093,0.761185,0.974209,SEKER
0.102488,0.072442,0.19907,0.110145,0.053661,0.783757,0.860261,0.806763,0.513274,0.776503,0.988409,SEKER
0.088345,0.073405,0.198169,0.113502,0.053163,0.755501,0.9785,0.800636,0.515233,0.769809,0.976303,SEKER
0.105794,0.06651,0.207898,0.084999,0.05421,0.697781,0.834663,0.846734,0.500184,0.820338,0.978389,SEKER
0.091992,0.08764,0.178882,0.174251,0.053406,0.712277,0.947477,0.71083,0.545919,0.676123,0.987914,SEKER
0.093639,0.075131,0.19591,0.120522,0.053624,0.66919,0.933852,0.789932,0.518609,0.758117,0.980042,SEKER
0.092219,0.070722,0.202578,0.101377,0.053781,0.728171,0.948083,0.820419,0.508049,0.790542,0.983856,SEKER
0.095825,0.068362,0.206041,0.091466,0.053872,0.663203,0.918659,0.836879,0.502494,0.8084,0.989565,SEKER
0.089049,0.064732,0.211773,0.075887,0.05362,0.669295,0.977687,0.862419,0.494064,0.836602,0.985208,SEKER
0.091946,0.073059,0.199796,0.110344,0.053686,0.700167,0.952777,0.8066,0.512043,0.774921,0.99061,SEKER
0.096447,0.080363,0.189861,0.140898,0.054024,0.640688,0.915069,0.759598,0.527749,0.724925,0.990807,SEKER
0.091651,0.082565,0.187113,0.149931,0.053711,0.760515,0.955651,0.74578,0.532463,0.710555,0.985037,SEKER
0.09729,0.065386,0.210752,0.078656,0.05402,0.750753,0.908315,0.858347,0.495225,0.831865,0.993366,SEKER
0.090791,0.074562,0.198567,0.115314,0.05369,0.712469,0.963276,0.797153,0.515034,0.764597,0.967023,SEKER
0.089921,0.073178,0.200612,0.109375,0.053711,0.683543,0.971565,0.806733,0.511699,0.774736,0.970363,SEKER
0.095627,0.076572,0.196123,0.123215,0.054032,0.691295,0.923035,0.78465,0.519016,0.751041,0.963841,SEKER
0.089467,0.063986,0.213306,0.07223,0.053925,0.743032,0.976268,0.869084,0.491479,0.843552,0.992115,SEKER
0.092597,0.073585,0.199717,0.111555,0.053855,0.7624,0.94981,0.804933,0.512004,0.772476,0.994162,SEKER
0.090911,0.079849,0.191904,0.136609,0.053843,0.727549,0.96602,0.765629,0.524753,0.730266,0.984671,SEKER
0.090598,0.063472,0.21523,0.068523,0.054041,0.734013,0.970809,0.875671,0.488462,0.849874,0.996091,SEKER
0.091432,0.079094,0.193764,0.132128,0.054069,0.660066,0.963844,0.772009,0.522066,0.736415,0.978684,SEKER
0.094262,0.072187,0.203408,0.103186,0.054544,0.672125,0.939751,0.816961,0.507137,0.784495,0.975827,SEKER
0.088164,0.054304,0.229246,0.03152,0.054201,0.734225,0.992823,0.941065,0.468356,0.925793,0.995443,SEKER
0.098945,0.079846,0.193505,0.134111,0.054469,0.593619,0.901938,0.768068,0.523108,0.731977,0.965026,SEKER
0.096946,0.073817,0.201224,0.109791,0.054593,0.664172,0.919347,0.807686,0.509693,0.77391,0.99366,SEKER
0.091069,0.068634,0.20859,0.088364,0.05435,0.707629,0.969582,0.842429,0.498344,0.811821,0.996141,SEKER
0.091818,0.07228,0.203864,0.102709,0.054416,0.619988,0.96318,0.818132,0.506173,0.785122,0.981688,SEKER
0.113262,0.056125,0.228057,0.036658,0.055562,0.693155,0.792266,0.930416,0.470795,0.912173,0.977742,SEKER
0.099606,0.070553,0.206444,0.095387,0.054943,0.733177,0.899881,0.831043,0.501525,0.798716,0.99749,SEKER
0.092201,0.06082,0.22083,0.055551,0.054556,0.765324,0.962136,0.897759,0.480501,0.873786,0.991534,SEKER
0.09882,0.074359,0.202083,0.109636,0.054931,0.667685,0.906944,0.806306,0.509432,0.77164,0.970162,SEKER
0.094681,0.073951,0.202379,0.108353,0.05456,0.74285,0.941918,0.809298,0.508348,0.774755,0.98403,SEKER
0.095593,0.086485,0.18698,0.158485,0.054832,0.678433,0.938657,0.732454,0.533235,0.693106,0.973134,SEKER
0.100614,0.085673,0.188382,0.154506,0.055195,0.797414,0.897833,0.738019,0.531123,0.698598,0.9696,SEKER
0.089682,0.068057,0.2121,0.082195,0.054844,0.744818,0.990548,0.852456,0.493203,0.820694,0.993605,SEKER
0.096595,0.063752,0.219331,0.063464,0.055417,0.715444,0.934603,0.884271,0.482516,0.855666,0.995033,SEKER
0.099002,0.084008,0.191455,0.146091,0.055483,0.735824,0.915417,0.7514,0.525498,0.711308,0.984114,SEKER
0.0901,0.066911,0.215493,0.075116,0.05522,0.749883,0.992016,0.863768,0.488525,0.832029,0.985928,SEKER
0.093311,0.070908,0.210169,0.090753,0.055496,0.729586,0.964976,0.837334,0.496722,0.802455,0.979376,SEKER
0.1001,0.077046,0.201397,0.11623,0.055549,0.671037,0.908384,0.797188,0.509668,0.758856,0.988321,SEKER
0.099159,0.068453,0.213686,0.080768,0.055879,0.742914,0.916354,0.854286,0.491195,0.821057,0.985843,SEKER
0.09566,0.09137,0.182497,0.176264,0.055479,0.726775,0.946107,0.707917,0.539947,0.666604,0.986911,SEKER
0.108569,0.075521,0.204357,0.108671,0.056209,0.707246,0.84154,0.807704,0.506023,0.769912,0.968291,SEKER
0.09459,0.067744,0.214847,0.077703,0.055582,0.695721,0.955524,0.859699,0.489301,0.826873,0.98988,SEKER
0.098372,0.085239,0.190556,0.150115,0.055599,0.786861,0.92383,0.74589,0.526635,0.704891,0.990682,SEKER
0.097376,0.080229,0.197379,0.128941,0.055764,0.749349,0.932696,0.7779,0.51567,0.738001,0.993774,SEKER
0.096861,0.073029,0.208324,0.097746,0.055929,0.667185,0.940062,0.826859,0.498916,0.789658,0.99231,SEKER
0.097613,0.086341,0.191054,0.151651,0.055908,0.758852,0.934653,0.742095,0.526888,0.699963,0.967968,SEKER
0.09847,0.092126,0.182954,0.177126,0.056048,0.663331,0.927505,0.70666,0.539221,0.664253,0.986283,SEKER
0.113387,0.098317,0.175138,0.203761,0.056456,0.691876,0.809962,0.670354,0.552015,0.628499,0.992615,SEKER
0.097739,0.08917,0.187217,0.163815,0.056044,0.694409,0.934444,0.725208,0.532525,0.682631,0.98006,SEKER
0.09698,0.069806,0.213975,0.083107,0.055966,0.673544,0.941257,0.849926,0.491064,0.814444,0.979174,SEKER
0.101378,0.088944,0.187757,0.162459,0.056333,0.740951,0.90497,0.727012,0.531754,0.68431,0.977786,SEKER
0.098831,0.065104,0.220855,0.064105,0.056127,0.71704,0.927133,0.882943,0.48045,0.851116,0.991866,SEKER
0.095169,0.071129,0.212826,0.087418,0.056069,0.673505,0.95812,0.842113,0.493202,0.805419,0.969421,SEKER
0.092581,0.081869,0.19738,0.132365,0.056036,0.729079,0.980813,0.772399,0.515856,0.730508,0.989681,SEKER
0.099562,0.086548,0.19219,0.150286,0.056271,0.717938,0.922967,0.743894,0.525213,0.700749,0.964867,SEKER
0.09676,0.07803,0.203141,0.115658,0.056415,0.6386,0.9469,0.798254,0.506868,0.757348,0.990812,SEKER
0.104431,0.079278,0.201819,0.120222,0.056963,0.651656,0.884583,0.790781,0.509138,0.749206,0.985641,SEKER
0.100536,0.08795,0.190351,0.156175,0.056386,0.606896,0.916375,0.736202,0.527515,0.692578,0.978827,SEKER
0.094076,0.066342,0.220233,0.067437,0.056407,0.751958,0.971128,0.877104,0.481425,0.843494,0.990151,SEKER
0.09832,0.084692,0.195089,0.141823,0.056394,0.792673,0.936384,0.757579,0.51984,0.714083,0.981455,SEKER
0.106706,0.079635,0.202252,0.120311,0.056963,0.665646,0.868938,0.790266,0.50872,0.748032,0.980139,SEKER
0.097597,0.082624,0.198502,0.132215,0.056629,0.782013,0.94369,0.771458,0.514883,0.728188,0.972554,SEKER
0.102132,0.06779,0.219132,0.071855,0.056922,0.705568,0.906606,0.869315,0.483186,0.833933,0.9864,SEKER
0.097115,0.093542,0.184388,0.17778,0.05651,0.772648,0.949217,0.705021,0.537365,0.660345,0.975472,SEKER
0.098146,0.073366,0.211118,0.094406,0.056844,0.692585,0.940598,0.832532,0.49456,0.792971,0.995985,SEKER
0.102377,0.086288,0.194035,0.146826,0.057285,0.627706,0.906708,0.750227,0.521442,0.705621,0.982894,SEKER
0.094064,0.077304,0.206475,0.109218,0.056498,0.716984,0.976433,0.807437,0.502404,0.765563,0.976945,SEKER
0.104289,0.074667,0.210492,0.097961,0.057268,0.716356,0.892729,0.825806,0.496112,0.78497,0.982181,SEKER
0.093567,0.072722,0.213103,0.09026,0.056728,0.696942,0.983018,0.839163,0.491696,0.799363,0.993987,SEKER
0.098588,0.080019,0.204044,0.118417,0.057017,0.651107,0.941156,0.792045,0.506733,0.748417,0.963218,SEKER
0.093385,0.077932,0.206352,0.11069,0.056629,0.704403,0.985507,0.805529,0.502317,0.762747,0.983025,SEKER
0.104606,0.089295,0.190847,0.158223,0.057273,0.702645,0.892415,0.734234,0.526018,0.688449,0.993931,SEKER
0.100818,0.071493,0.215365,0.084567,0.057268,0.736676,0.923439,0.848598,0.488323,0.809289,0.994745,SEKER
0.097015,0.0884,0.193113,0.152723,0.056996,0.689139,0.956216,0.740463,0.523635,0.694522,0.967119,SEKER
0.109259,0.083398,0.199826,0.131798,0.057912,0.721319,0.856853,0.771999,0.512883,0.726862,0.971173,SEKER
0.101191,0.079968,0.203905,0.11852,0.057186,0.764214,0.922079,0.794146,0.505459,0.750013,0.996081,SEKER
0.098565,0.072701,0.214449,0.088305,0.057264,0.707825,0.943982,0.841782,0.49008,0.801331,0.985548,SEKER
0.103836,0.079141,0.205384,0.11461,0.057462,0.690974,0.900777,0.799711,0.503559,0.755833,0.988114,SEKER
0.112889,0.082768,0.201071,0.128591,0.057936,0.668421,0.830343,0.777136,0.510788,0.731819,0.974759,SEKER
0.100484,0.084748,0.198739,0.136278,0.057446,0.72931,0.930035,0.765201,0.514583,0.719213,0.971036,SEKER
0.100715,0.067235,0.223851,0.064304,0.057367,0.777346,0.929344,0.881071,0.477088,0.844174,0.970369,SEKER
0.099132,0.079953,0.205264,0.116462,0.057582,0.746762,0.942987,0.796865,0.503708,0.751967,0.988893,SEKER
0.104458,0.085648,0.197792,0.139618,0.057837,0.766474,0.899457,0.760917,0.515562,0.714317,0.981977,SEKER
0.096499,0.082149,0.202434,0.125239,0.057334,0.719703,0.965912,0.783261,0.508033,0.737467,0.989093,SEKER
0.097936,0.083214,0.201717,0.128534,0.057297,0.818586,0.953941,0.776638,0.510178,0.730488,0.966218,SEKER
0.102782,0.098387,0.18127,0.193396,0.057553,0.733565,0.914307,0.684284,0.541837,0.637359,0.989987,SEKER
0.106463,0.110603,0.167202,0.244852,0.058023,0.767558,0.886745,0.615658,0.566465,0.572075,0.976802,SEKER
0.09929,0.085221,0.199572,0.135981,0.057903,0.72815,0.945744,0.766141,0.512955,0.718835,0.978264,SEKER
0.096136,0.086655,0.197453,0.142247,0.057524,0.75888,0.972524,0.757201,0.515945,0.709609,0.985218,SEKER
0.105512,0.083157,0.202611,0.127058,0.058093,0.697659,0.894767,0.779296,0.508535,0.732465,0.972016,SEKER
0.109367,0.087989,0.196712,0.14619,0.0582,0.789319,0.86479,0.749466,0.518368,0.701498,0.957742,SEKER
0.097535,0.090692,0.192148,0.15909,0.057685,0.746736,0.96156,0.732879,0.524002,0.684653,0.99252,SEKER
0.111637,0.073015,0.216481,0.086073,0.058542,0.707308,0.84755,0.846154,0.486655,0.803762,0.995417,SEKER
0.104953,0.087892,0.197335,0.145015,0.058035,0.644601,0.900585,0.750485,0.517882,0.702397,0.947022,SEKER
0.106643,0.088327,0.195572,0.148687,0.058155,0.65496,0.887201,0.747936,0.518695,0.699745,0.989768,SEKER
0.111898,0.083081,0.203936,0.124899,0.058637,0.715567,0.846006,0.780963,0.507591,0.733793,0.947933,SEKER
0.103343,0.081217,0.205524,0.118677,0.058299,0.757719,0.914773,0.793353,0.503348,0.746629,0.988089,SEKER
0.109385,0.09186,0.192664,0.160723,0.058497,0.737698,0.866417,0.726907,0.525658,0.678262,0.938893,SEKER
0.108293,0.074715,0.215634,0.090706,0.05841,0.612677,0.875254,0.835946,0.489538,0.792202,0.958441,SEKER
0.103406,0.113684,0.164784,0.25615,0.057742,0.691157,0.915356,0.601103,0.571022,0.558023,0.970629,SEKER
0.097285,0.083847,0.202795,0.128208,0.057973,0.753838,0.966898,0.777665,0.508165,0.729809,0.973921,SEKER
0.101027,0.075727,0.213624,0.09562,0.058085,0.765548,0.935692,0.830311,0.490995,0.7857,0.99242,SEKER
0.104708,0.103451,0.177255,0.211226,0.058513,0.711365,0.905518,0.659334,0.549163,0.61192,0.97721,SEKER
0.11148,0.090299,0.195671,0.152663,0.059227,0.596253,0.852166,0.737952,0.521353,0.688876,0.928622,SEKER
0.102641,0.089295,0.195637,0.150612,0.058311,0.741561,0.923287,0.744438,0.51904,0.695344,0.980029,SEKER
0.105094,0.095349,0.18769,0.176181,0.058542,0.61892,0.903915,0.708046,0.531432,0.658762,0.987069,SEKER
0.098311,0.084156,0.202576,0.129179,0.058093,0.734494,0.960439,0.777232,0.507804,0.728829,0.989312,SEKER
0.09802,0.074117,0.216682,0.088016,0.058316,0.741398,0.963574,0.842796,0.486458,0.798629,0.993218,SEKER
0.102182,0.087015,0.199065,0.140496,0.058513,0.741602,0.928834,0.759794,0.513445,0.710615,0.984817,SEKER
0.112838,0.06019,0.237506,0.032524,0.059251,0.685214,0.844239,0.939104,0.457003,0.907578,0.993737,SEKER
0.100066,0.0926,0.191831,0.163621,0.058299,0.687983,0.947551,0.726137,0.524637,0.676245,0.98974,SEKER
0.09908,0.078115,0.211617,0.103366,0.058303,0.744564,0.95584,0.81733,0.494294,0.770742,0.985285,SEKER
