@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,4,10-12,16-17'

@attribute Perimeter numeric
@attribute MinorAxisLength numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.083402,0.195568,0.930769,0.959368,0.832349,0.986491,SEKER
0.085479,0.198642,0.951871,0.943936,0.844169,0.978648,SEKER
0.088226,0.188411,0.935036,0.921304,0.79567,0.987115,SEKER
0.090666,0.189074,0.922675,0.901756,0.797938,0.985525,SEKER
0.103139,0.188529,0.893563,0.802468,0.793952,0.979417,SEKER
0.080974,0.194819,0.976239,0.986675,0.824756,0.986573,SEKER
0.088334,0.193957,0.932226,0.925961,0.81851,0.98824,SEKER
0.088396,0.181173,0.948376,0.927314,0.756272,0.990189,SEKER
0.085084,0.191367,0.93776,0.958731,0.802444,0.985682,SEKER
0.08689,0.191727,0.952176,0.943319,0.804795,0.99141,SEKER
0.089273,0.192939,0.939774,0.922971,0.810099,0.987828,SEKER
0.095286,0.18272,0.879739,0.873428,0.76012,0.981718,SEKER
0.090943,0.178656,0.940412,0.912376,0.739717,0.990108,SEKER
0.085475,0.184819,0.961602,0.959311,0.769965,0.996861,SEKER
0.095885,0.202821,0.909545,0.873667,0.84669,0.940664,SEKER
0.090559,0.161824,0.957741,0.918166,0.650863,0.938507,SEKER
0.087847,0.185471,0.951627,0.945691,0.767785,0.99242,SEKER
0.088809,0.188451,0.943695,0.937854,0.781364,0.989843,SEKER
0.092636,0.210177,0.947304,0.90602,0.884936,0.991929,SEKER
0.090333,0.214049,0.935448,0.926294,0.90028,0.974856,SEKER
0.093027,0.192388,0.932066,0.906272,0.796012,0.980143,SEKER
0.085628,0.199288,0.955481,0.969499,0.830234,0.99023,SEKER
0.086465,0.186823,0.951976,0.963375,0.769381,0.985288,SEKER
0.089063,0.19221,0.94444,0.941013,0.793637,0.975471,SEKER
0.088313,0.200185,0.955167,0.94762,0.832671,0.984101,SEKER
0.091306,0.196899,0.940605,0.923868,0.813399,0.966738,SEKER
0.098898,0.205061,0.915346,0.861779,0.852594,0.971569,SEKER
0.095417,0.175403,0.912648,0.890788,0.708965,0.9558,SEKER
0.089534,0.199914,0.939579,0.941307,0.830059,0.995402,SEKER
0.09242,0.183742,0.934898,0.91773,0.751537,0.988171,SEKER
0.100556,0.204183,0.889436,0.853211,0.847567,0.990019,SEKER
0.09031,0.189374,0.940191,0.937886,0.775519,0.979355,SEKER
0.098218,0.198673,0.885205,0.872754,0.819947,0.983799,SEKER
0.098242,0.230205,0.915863,0.873296,0.969532,0.986116,SEKER
0.111954,0.18659,0.843968,0.767375,0.758946,0.96229,SEKER
0.104106,0.191493,0.883161,0.828996,0.782425,0.974633,SEKER
0.099295,0.194649,0.891465,0.868106,0.797547,0.980948,SEKER
0.096611,0.190643,0.92597,0.890117,0.780734,0.998165,SEKER
0.087598,0.194016,0.960646,0.966387,0.794823,0.985023,SEKER
0.089664,0.192457,0.942921,0.948881,0.787195,0.985093,SEKER
0.094709,0.207179,0.923009,0.90814,0.854672,0.977513,SEKER
0.089533,0.193569,0.966318,0.952286,0.788801,0.969723,SEKER
0.09806,0.199205,0.921097,0.881228,0.817538,0.985514,SEKER
0.092234,0.167074,0.969143,0.930424,0.665175,0.99017,SEKER
0.087276,0.200903,0.971512,0.973021,0.826036,0.993356,SEKER
0.095287,0.212311,0.921218,0.905512,0.876323,0.969666,SEKER
0.088368,0.184124,0.966418,0.964222,0.744339,0.98118,SEKER
0.084654,0.199075,0.977618,1,0.814959,0.994863,SEKER
0.088362,0.199794,0.968995,0.968318,0.816586,0.986653,SEKER
0.106724,0.171965,0.922742,0.818502,0.681955,0.96766,SEKER
0.08873,0.200923,0.968245,0.965829,0.819351,0.971579,SEKER
0.095795,0.176415,0.941629,0.907266,0.704807,0.988729,SEKER
0.093146,0.232212,0.922651,0.931816,0.966231,0.982575,SEKER
0.092653,0.180394,0.966517,0.936673,0.721688,0.98974,SEKER
0.091896,0.21461,0.946541,0.943276,0.881522,0.976548,SEKER
0.123068,0.172328,0.843064,0.704329,0.68097,0.978335,SEKER
0.099855,0.185873,0.91989,0.880895,0.743968,0.982459,SEKER
0.098495,0.196407,0.908247,0.892118,0.792467,0.974209,SEKER
0.102488,0.19907,0.922652,0.860261,0.806763,0.988409,SEKER
0.088345,0.198169,0.971863,0.9785,0.800636,0.976303,SEKER
0.105794,0.207898,0.874255,0.834663,0.846734,0.978389,SEKER
0.091992,0.178882,0.951937,0.947477,0.71083,0.987914,SEKER
0.093639,0.19591,0.93363,0.933852,0.789932,0.980042,SEKER
0.092219,0.202578,0.933784,0.948083,0.820419,0.983856,SEKER
0.095825,0.206041,0.93191,0.918659,0.836879,0.989565,SEKER
0.089049,0.211773,0.964318,0.977687,0.862419,0.985208,SEKER
0.091946,0.199796,0.958863,0.952777,0.8066,0.99061,SEKER
0.096447,0.189861,0.92853,0.915069,0.759598,0.990807,SEKER
0.091651,0.187113,0.958882,0.955651,0.74578,0.985037,SEKER
0.09729,0.210752,0.930488,0.908315,0.858347,0.993366,SEKER
0.090791,0.198567,0.962406,0.963276,0.797153,0.967023,SEKER
0.089921,0.200612,0.965567,0.971565,0.806733,0.970363,SEKER
0.095627,0.196123,0.935601,0.923035,0.78465,0.963841,SEKER
0.089467,0.213306,0.950417,0.976268,0.869084,0.992115,SEKER
0.092597,0.199717,0.96057,0.94981,0.804933,0.994162,SEKER
0.090911,0.191904,0.973524,0.96602,0.765629,0.984671,SEKER
0.090598,0.21523,0.968954,0.970809,0.875671,0.996091,SEKER
0.091432,0.193764,0.967799,0.963844,0.772009,0.978684,SEKER
0.094262,0.203408,0.923586,0.939751,0.816961,0.975827,SEKER
0.088164,0.229246,0.958883,0.992823,0.941065,0.995443,SEKER
0.098945,0.193505,0.93876,0.901938,0.768068,0.965026,SEKER
0.096946,0.201224,0.933406,0.919347,0.807686,0.99366,SEKER
0.091069,0.20859,0.959002,0.969582,0.842429,0.996141,SEKER
0.091818,0.203864,0.953186,0.96318,0.818132,0.981688,SEKER
0.113262,0.228057,0.855185,0.792266,0.930416,0.977742,SEKER
0.099606,0.206444,0.917768,0.899881,0.831043,0.99749,SEKER
0.092201,0.22083,0.955258,0.962136,0.897759,0.991534,SEKER
0.09882,0.202083,0.923212,0.906944,0.806306,0.970162,SEKER
0.094681,0.202379,0.961124,0.941918,0.809298,0.98403,SEKER
0.095593,0.18698,0.966018,0.938657,0.732454,0.973134,SEKER
0.100614,0.188382,0.937496,0.897833,0.738019,0.9696,SEKER
0.089682,0.2121,0.972268,0.990548,0.852456,0.993605,SEKER
0.096595,0.219331,0.941203,0.934603,0.884271,0.995033,SEKER
0.099002,0.191455,0.940875,0.915417,0.7514,0.984114,SEKER
0.0901,0.215493,0.971363,0.992016,0.863768,0.985928,SEKER
0.093311,0.210169,0.950981,0.964976,0.837334,0.979376,SEKER
0.1001,0.201397,0.948698,0.908384,0.797188,0.988321,SEKER
0.099159,0.213686,0.919556,0.916354,0.854286,0.985843,SEKER
0.09566,0.182497,0.960286,0.946107,0.707917,0.986911,SEKER
0.108569,0.204357,0.893254,0.84154,0.807704,0.968291,SEKER
0.09459,0.214847,0.952994,0.955524,0.859699,0.98988,SEKER
0.098372,0.190556,0.952232,0.92383,0.74589,0.990682,SEKER
0.097376,0.197379,0.940745,0.932696,0.7779,0.993774,SEKER
0.096861,0.208324,0.946316,0.940062,0.826859,0.99231,SEKER
0.097613,0.191054,0.954427,0.934653,0.742095,0.967968,SEKER
0.09847,0.182954,0.941393,0.927505,0.70666,0.986283,SEKER
0.113387,0.175138,0.909373,0.809962,0.670354,0.992615,SEKER
0.097739,0.187217,0.947577,0.934444,0.725208,0.98006,SEKER
0.09698,0.213975,0.957957,0.941257,0.849926,0.979174,SEKER
0.101378,0.187757,0.925057,0.90497,0.727012,0.977786,SEKER
0.098831,0.220855,0.952287,0.927133,0.882943,0.991866,SEKER
0.095169,0.212826,0.958812,0.95812,0.842113,0.969421,SEKER
0.092581,0.19738,0.964974,0.980813,0.772399,0.989681,SEKER
0.099562,0.19219,0.952022,0.922967,0.743894,0.964867,SEKER
0.09676,0.203141,0.942113,0.9469,0.798254,0.990812,SEKER
0.104431,0.201819,0.897268,0.884583,0.790781,0.985641,SEKER
0.100536,0.190351,0.951347,0.916375,0.736202,0.978827,SEKER
0.094076,0.220233,0.952135,0.971128,0.877104,0.990151,SEKER
0.09832,0.195089,0.96177,0.936384,0.757579,0.981455,SEKER
0.106706,0.202252,0.914943,0.868938,0.790266,0.980139,SEKER
0.097597,0.198502,0.94847,0.94369,0.771458,0.972554,SEKER
0.102132,0.219132,0.924891,0.906606,0.869315,0.9864,SEKER
0.097115,0.184388,0.969568,0.949217,0.705021,0.975472,SEKER
0.098146,0.211118,0.93904,0.940598,0.832532,0.995985,SEKER
0.102377,0.194035,0.906093,0.906708,0.750227,0.982894,SEKER
0.094064,0.206475,0.978811,0.976433,0.807437,0.976945,SEKER
0.104289,0.210492,0.918344,0.892729,0.825806,0.982181,SEKER
0.093567,0.213103,0.972802,0.983018,0.839163,0.993987,SEKER
0.098588,0.204044,0.952259,0.941156,0.792045,0.963218,SEKER
0.093385,0.206352,0.98814,0.985507,0.805529,0.983025,SEKER
0.104606,0.190847,0.933684,0.892415,0.734234,0.993931,SEKER
0.100818,0.215365,0.934831,0.923439,0.848598,0.994745,SEKER
0.097015,0.193113,0.966456,0.956216,0.740463,0.967119,SEKER
0.109259,0.199826,0.885056,0.856853,0.771999,0.971173,SEKER
0.101191,0.203905,0.954318,0.922079,0.794146,0.996081,SEKER
0.098565,0.214449,0.94748,0.943982,0.841782,0.985548,SEKER
0.103836,0.205384,0.931186,0.900777,0.799711,0.988114,SEKER
0.112889,0.201071,0.894247,0.830343,0.777136,0.974759,SEKER
0.100484,0.198739,0.944956,0.930035,0.765201,0.971036,SEKER
0.100715,0.223851,0.960596,0.929344,0.881071,0.970369,SEKER
0.099132,0.205264,0.943928,0.942987,0.796865,0.988893,SEKER
0.104458,0.197792,0.922768,0.899457,0.760917,0.981977,SEKER
0.096499,0.202434,0.971301,0.965912,0.783261,0.989093,SEKER
0.097936,0.201717,0.976259,0.953941,0.776638,0.966218,SEKER
0.102782,0.18127,0.957295,0.914307,0.684284,0.989987,SEKER
0.106463,0.167202,0.929824,0.886745,0.615658,0.976802,SEKER
0.09929,0.199572,0.942303,0.945744,0.766141,0.978264,SEKER
0.096136,0.197453,0.977557,0.972524,0.757201,0.985218,SEKER
0.105512,0.202611,0.926081,0.894767,0.779296,0.972016,SEKER
0.109367,0.196712,0.921237,0.86479,0.749466,0.957742,SEKER
0.097535,0.192148,0.969251,0.96156,0.732879,0.99252,SEKER
0.111637,0.216481,0.89347,0.84755,0.846154,0.995417,SEKER
0.104953,0.197335,0.940515,0.900585,0.750485,0.947022,SEKER
0.106643,0.195572,0.931097,0.887201,0.747936,0.989768,SEKER
0.111898,0.203936,0.88827,0.846006,0.780963,0.947933,SEKER
0.103343,0.205524,0.924004,0.914773,0.793353,0.988089,SEKER
0.109385,0.192664,0.906719,0.866417,0.726907,0.938893,SEKER
0.108293,0.215634,0.91613,0.875254,0.835946,0.958441,SEKER
0.103406,0.164784,0.982667,0.915356,0.601103,0.970629,SEKER
0.097285,0.202795,0.964495,0.966898,0.777665,0.973921,SEKER
0.101027,0.213624,0.95619,0.935692,0.830311,0.99242,SEKER
0.104708,0.177255,0.917381,0.905518,0.659334,0.97721,SEKER
0.11148,0.195671,0.85573,0.852166,0.737952,0.928622,SEKER
0.102641,0.195637,0.941907,0.923287,0.744438,0.980029,SEKER
0.105094,0.18769,0.925392,0.903915,0.708046,0.987069,SEKER
0.098311,0.202576,0.968777,0.960439,0.777232,0.989312,SEKER
0.09802,0.216682,0.952948,0.963574,0.842796,0.993218,SEKER
0.102182,0.199065,0.935626,0.928834,0.759794,0.984817,SEKER
0.112838,0.237506,0.872028,0.844239,0.939104,0.993737,SEKER
0.100066,0.191831,0.962832,0.947551,0.726137,0.98974,SEKER
0.09908,0.211617,0.962455,0.95584,0.81733,0.985285,SEKER
0.0995,0.196494,0.973933,0.955154,0.745436,0.986576,SEKER
0.101679,0.201208,0.949452,0.937258,0.768137,0.994459,SEKER
0.110103,0.213826,0.901481,0.86921,0.824934,0.982382,SEKER
0.108614,0.191126,0.923639,0.882104,0.719131,0.983757,SEKER
0.103022,0.210227,0.94089,0.927419,0.806163,0.973378,SEKER
0.097977,0.201239,0.961582,0.969844,0.764002,0.970251,SEKER
0.100135,0.198913,0.961968,0.951762,0.750193,0.948659,SEKER
0.099466,0.206964,0.948432,0.957504,0.793249,0.991571,SEKER
0.097836,0.212927,0.958975,0.971558,0.819845,0.985163,SEKER
0.10446,0.194936,0.937569,0.916442,0.73327,0.962069,SEKER
0.106994,0.21711,0.931307,0.89743,0.836054,0.971092,SEKER
0.10279,0.192893,0.940318,0.931976,0.724646,0.977401,SEKER
0.098374,0.215233,0.954596,0.969279,0.82868,0.983277,SEKER
0.099162,0.203528,0.971534,0.962817,0.773112,0.974321,SEKER
0.113427,0.198377,0.899351,0.848538,0.747302,0.965246,SEKER
0.103825,0.205072,0.948683,0.925199,0.779583,0.975742,SEKER
0.09972,0.213865,0.965637,0.960441,0.820888,0.985509,SEKER
0.100269,0.210684,0.951772,0.956203,0.803068,0.965021,SEKER
0.099839,0.211283,0.96229,0.960055,0.808828,0.987734,SEKER
0.10096,0.19608,0.958581,0.951402,0.738981,0.995322,SEKER
0.098951,0.230263,0.957834,0.96841,0.896368,0.989918,SEKER
0.103286,0.225107,0.941734,0.932222,0.870527,0.976438,SEKER
0.11094,0.204804,0.922338,0.870935,0.77639,0.976391,SEKER
0.111688,0.208404,0.916019,0.865279,0.793592,0.981579,SEKER
0.099093,0.202796,0.961642,0.968209,0.766043,0.971056,SEKER
0.108428,0.206325,0.92277,0.891599,0.78424,0.986241,SEKER
0.100786,0.212695,0.945555,0.954255,0.813578,0.985658,SEKER
0.104742,0.21158,0.932855,0.921566,0.808128,0.98407,SEKER
0.104483,0.207688,0.942617,0.924397,0.781766,0.926765,SEKER
0.114645,0.2127,0.905369,0.843986,0.814518,0.997771,SEKER
0.115567,0.190949,0.922494,0.837023,0.708579,0.958388,SEKER
0.100338,0.192222,0.972982,0.959244,0.718081,0.985529,SEKER
0.100682,0.216477,0.949767,0.956679,0.831229,0.994549,SEKER
0.103463,0.204624,0.958881,0.935761,0.771324,0.968553,SEKER
0.09959,0.225115,0.964495,0.968184,0.867714,0.981405,SEKER
0.11084,0.194115,0.92681,0.876509,0.72204,0.96436,SEKER
0.102393,0.208003,0.969016,0.94513,0.788977,0.986028,SEKER
0.106299,0.222588,0.923536,0.913824,0.855328,0.982919,SEKER
0.100508,0.22102,0.953768,0.962486,0.848775,0.991406,SEKER
0.1058,0.211549,0.942948,0.918592,0.80311,0.977457,SEKER
0.113127,0.195109,0.913194,0.860292,0.725757,0.966697,SEKER
0.103196,0.226116,0.928056,0.940059,0.868253,0.963045,SEKER
0.106344,0.198464,0.943708,0.914384,0.744191,0.989437,SEKER
0.101277,0.204201,0.957893,0.956292,0.768779,0.975765,SEKER
0.104724,0.221272,0.945618,0.928319,0.849955,0.996209,SEKER
0.104561,0.19772,0.942322,0.930533,0.737196,0.971003,SEKER
0.099494,0.20393,0.960223,0.972907,0.769016,0.994383,SEKER
0.103581,0.209074,0.945306,0.938678,0.79273,0.9944,SEKER
0.199846,0.175096,0,0.336194,0.506859,0,SEKER
0.111633,0.21086,0.879437,0.874884,0.795299,0.959266,SEKER
0.108059,0.20593,0.914189,0.903427,0.774139,0.971183,SEKER
0.102994,0.198532,0.962942,0.945366,0.741378,0.983589,SEKER
0.101158,0.207576,0.959252,0.961446,0.783601,0.990899,SEKER
0.1073,0.193785,0.927269,0.910849,0.713908,0.946009,SEKER
0.101725,0.191376,0.976454,0.957234,0.70831,0.989419,SEKER
0.154494,0.18306,0.741518,0.580266,0.658695,0.903524,SEKER
0.101639,0.198933,0.958547,0.958119,0.742213,0.983216,SEKER
0.103015,0.203829,0.959321,0.947115,0.764698,0.985054,SEKER
0.106085,0.19432,0.956761,0.922623,0.721357,0.99288,SEKER
0.099929,0.207563,0.968765,0.975405,0.779485,0.978849,SEKER
0.10332,0.207365,0.943871,0.947377,0.777198,0.971264,SEKER
0.104006,0.223235,0.94391,0.942289,0.852699,0.991654,SEKER
0.105886,0.214882,0.958051,0.927185,0.813473,0.988245,SEKER
0.100638,0.212651,0.974832,0.971449,0.801492,0.978637,SEKER
0.121325,0.230213,0.877922,0.807448,0.881904,0.976414,SEKER
0.10254,0.215008,0.961822,0.955817,0.813235,0.986978,SEKER
0.114669,0.203447,0.886409,0.8583,0.754308,0.94592,SEKER
0.104629,0.201568,0.952953,0.939262,0.748561,0.970535,SEKER
0.111689,0.214464,0.910041,0.88234,0.806803,0.963294,SEKER
0.110075,0.218195,0.92333,0.895155,0.826189,0.979269,SEKER
0.115711,0.175735,0.857528,0.851089,0.631114,0.982311,SEKER
0.105032,0.195388,0.924825,0.936262,0.721446,0.981981,SEKER
0.111927,0.223509,0.930387,0.880889,0.851743,0.98929,SEKER
0.110302,0.207632,0.935567,0.893769,0.774522,0.959141,SEKER
0.111723,0.20724,0.920099,0.883241,0.776491,0.990541,SEKER
0.112227,0.21037,0.922318,0.87932,0.790868,0.990602,SEKER
0.106536,0.202845,0.943769,0.924959,0.754263,0.976087,SEKER
0.106174,0.209161,0.936424,0.928783,0.783686,0.983176,SEKER
0.109878,0.205788,0.945681,0.898865,0.767606,0.979323,SEKER
0.099222,0.217522,0.977623,0.987361,0.823011,0.990993,SEKER
0.104941,0.191443,0.942374,0.939364,0.702715,0.989413,SEKER
0.109154,0.20259,0.945339,0.905095,0.753427,0.98539,SEKER
0.098689,0.223412,0.985829,0.99227,0.848451,0.980796,SEKER
0.107041,0.181215,0.958726,0.922953,0.655319,0.990919,SEKER
0.107924,0.192219,0.936157,0.915991,0.706116,0.993307,SEKER
0.101827,0.2136,0.962859,0.967106,0.803092,0.986734,SEKER
0.10361,0.206915,0.95916,0.952322,0.773005,0.992345,SEKER
0.124473,0.222593,0.873043,0.789979,0.84371,0.985046,SEKER
0.106598,0.199924,0.949937,0.928242,0.741093,0.997188,SEKER
0.105292,0.210109,0.948567,0.940716,0.781356,0.957873,SEKER
0.102659,0.197276,0.972302,0.96336,0.726486,0.991362,SEKER
0.102388,0.212633,0.953423,0.96575,0.793474,0.965832,SEKER
0.10361,0.205843,0.971605,0.956267,0.763978,0.9819,SEKER
0.108546,0.190926,0.939103,0.916168,0.69727,0.997941,SEKER
0.108061,0.203511,0.937264,0.920157,0.752534,0.979221,SEKER
0.111122,0.228554,0.913747,0.89591,0.867484,0.980929,SEKER
0.104812,0.203694,0.952064,0.947469,0.754094,0.987789,SEKER
0.108145,0.210506,0.94141,0.920819,0.785505,0.992254,SEKER
0.108258,0.215906,0.93478,0.919896,0.808954,0.982508,SEKER
0.104148,0.196222,0.977272,0.953974,0.714801,0.955436,SEKER
0.107239,0.231943,0.956574,0.928791,0.881802,0.980086,SEKER
0.104895,0.232715,0.944044,0.94831,0.886279,0.987723,SEKER
0.104227,0.209885,0.951423,0.95392,0.780542,0.981209,SEKER
0.110132,0.196321,0.94409,0.906274,0.719246,0.991543,SEKER
0.105625,0.202045,0.943361,0.943079,0.744156,0.981957,SEKER
0.110686,0.20591,0.909934,0.90205,0.758792,0.959748,SEKER
0.113987,0.209083,0.911074,0.8764,0.775436,0.977552,SEKER
0.108292,0.197607,0.951148,0.92199,0.724583,0.991685,SEKER
0.108287,0.209954,0.940852,0.922303,0.778124,0.970191,SEKER
0.108135,0.205823,0.949721,0.924018,0.759488,0.974842,SEKER
0.104392,0.219495,0.94643,0.95522,0.824153,0.990995,SEKER
0.106871,0.223676,0.947538,0.934774,0.84199,0.981663,SEKER
0.104867,0.220458,0.948646,0.951375,0.825534,0.969759,SEKER
0.116445,0.206818,0.899141,0.858901,0.76304,0.971233,SEKER
0.109114,0.213636,0.919305,0.917257,0.795403,0.981519,SEKER
0.111599,0.205267,0.93252,0.897423,0.756203,0.975959,SEKER
0.107138,0.199526,0.95459,0.93345,0.731247,0.986039,SEKER
0.108586,0.237997,0.923388,0.922179,0.905584,0.974241,SEKER
0.107274,0.201371,0.952821,0.933528,0.739499,0.990466,SEKER
0.11161,0.198347,0.946201,0.898556,0.725745,0.991563,SEKER
0.106064,0.203781,0.953951,0.943916,0.749105,0.98197,SEKER
0.107336,0.215684,0.961373,0.934428,0.803162,0.983279,SEKER
0.105213,0.208379,0.955485,0.951998,0.769462,0.981865,SEKER
0.109182,0.190053,0.938231,0.919709,0.683794,0.97032,SEKER
0.12321,0.221866,0.854379,0.811107,0.831971,0.988874,SEKER
0.102964,0.223374,0.966192,0.971306,0.838477,0.98655,SEKER
0.106969,0.200942,0.953681,0.938087,0.735086,0.982605,SEKER
0.107234,0.209384,0.950065,0.936884,0.773271,0.983879,SEKER
0.110172,0.224233,0.934672,0.913264,0.839027,0.969128,SEKER
0.105212,0.210841,0.963691,0.95391,0.779812,0.984562,SEKER
0.104528,0.207594,0.964059,0.95961,0.765806,0.990931,SEKER
0.119227,0.202823,0.84842,0.842647,0.739057,0.955745,SEKER
0.107097,0.222319,0.94129,0.938549,0.830784,0.9742,SEKER
0.106979,0.204548,0.961519,0.93995,0.751102,0.988622,SEKER
0.104375,0.205341,0.963003,0.961767,0.754158,0.985479,SEKER
0.108706,0.227278,0.93076,0.926741,0.853069,0.978026,SEKER
0.111252,0.192878,0.922373,0.906504,0.695287,0.977041,SEKER
0.105676,0.200103,0.969336,0.952395,0.729227,0.985745,SEKER
0.112108,0.223538,0.927229,0.901046,0.835698,0.984848,SEKER
0.107766,0.197235,0.949218,0.936569,0.715835,0.990785,SEKER
0.104228,0.227461,0.963538,0.966057,0.852277,0.978059,SEKER
0.121361,0.241759,0.661715,0.830034,0.888565,0.776337,SEKER
0.105497,0.212387,0.936072,0.955838,0.784812,0.990771,SEKER
0.103684,0.217266,0.963971,0.97183,0.806892,0.993027,SEKER
0.109254,0.21773,0.927734,0.925875,0.806984,0.978874,SEKER
0.113687,0.182209,0.954455,0.890629,0.635714,0.912062,SEKER
0.108593,0.214746,0.921207,0.931796,0.794449,0.989628,SEKER
0.118216,0.200606,0.899055,0.856185,0.728267,0.981415,SEKER
0.108217,0.227641,0.938809,0.935991,0.852654,0.989731,SEKER
0.111723,0.20872,0.927588,0.908885,0.764302,0.982816,SEKER
0.116226,0.186078,0.906158,0.873806,0.654635,0.937828,SEKER
0.112035,0.195678,0.945518,0.907081,0.704082,0.981667,SEKER
0.116388,0.184289,0.936766,0.872902,0.653283,0.99195,SEKER
0.112669,0.196535,0.927299,0.902339,0.707122,0.976709,SEKER
0.111072,0.220999,0.925846,0.915179,0.820591,0.989462,SEKER
0.105197,0.211183,0.967867,0.963403,0.772153,0.963572,SEKER
0.114882,0.215324,0.927327,0.885203,0.788359,0.94532,SEKER
0.110314,0.209382,0.933594,0.922625,0.765296,0.980036,SEKER
0.108728,0.212903,0.943121,0.936219,0.782764,0.99367,SEKER
0.106131,0.206787,0.967241,0.957637,0.754329,0.990035,SEKER
0.106598,0.228902,0.94168,0.954026,0.853801,0.980388,SEKER
0.113676,0.194673,0.921374,0.897706,0.698118,0.990176,SEKER
0.112957,0.207929,0.907967,0.903682,0.757444,0.982644,SEKER
0.110453,0.220689,0.956006,0.923947,0.814686,0.976251,SEKER
