@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-9,11,14,16-17'

@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute AspectRation numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute roundness numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.090791,0.074562,0.115314,0.461731,0.05369,0.110447,0.712469,0.963276,0.764597,0.967023,SEKER
0.089921,0.073178,0.109375,0.448085,0.053711,0.110546,0.683543,0.971565,0.774736,0.970363,SEKER
0.095627,0.076572,0.123215,0.479092,0.054032,0.110553,0.691295,0.923035,0.751041,0.963841,SEKER
0.089467,0.063986,0.07223,0.348436,0.053925,0.110644,0.743032,0.976268,0.843552,0.992115,SEKER
0.092597,0.073585,0.111555,0.453157,0.053855,0.110712,0.7624,0.94981,0.772476,0.994162,SEKER
0.090911,0.079849,0.136609,0.506658,0.053843,0.110938,0.727549,0.96602,0.730266,0.984671,SEKER
0.090598,0.063472,0.068523,0.336814,0.054041,0.11121,0.734013,0.970809,0.849874,0.996091,SEKER
0.091432,0.079094,0.132128,0.497683,0.054069,0.11124,0.660066,0.963844,0.736415,0.978684,SEKER
0.094262,0.072187,0.103186,0.433283,0.054544,0.111248,0.672125,0.939751,0.784495,0.975827,SEKER
0.088164,0.054304,0.03152,0.194789,0.054201,0.111308,0.734225,0.992823,0.925793,0.995443,SEKER
0.098945,0.079846,0.134111,0.501683,0.054469,0.111406,0.593619,0.901938,0.731977,0.965026,SEKER
0.096946,0.073817,0.109791,0.44906,0.054593,0.111527,0.664172,0.919347,0.77391,0.99366,SEKER
0.091069,0.068634,0.088364,0.395118,0.05435,0.11158,0.707629,0.969582,0.811821,0.996141,SEKER
0.091818,0.07228,0.102709,0.432115,0.054416,0.111588,0.619988,0.96318,0.785122,0.981688,SEKER
0.113262,0.056125,0.036658,0.218124,0.055562,0.111761,0.693155,0.792266,0.912173,0.977742,SEKER
0.099606,0.070553,0.095387,0.413707,0.054943,0.111859,0.733177,0.899881,0.798716,0.99749,SEKER
0.092201,0.06082,0.055551,0.293004,0.054556,0.111882,0.765324,0.962136,0.873786,0.991534,SEKER
0.09882,0.074359,0.109636,0.448696,0.054931,0.111942,0.667685,0.906944,0.77164,0.970162,SEKER
0.094681,0.073951,0.108353,0.445684,0.05456,0.112002,0.74285,0.941918,0.774755,0.98403,SEKER
0.095593,0.086485,0.158485,0.547314,0.054832,0.11259,0.678433,0.938657,0.693106,0.973134,SEKER
0.100614,0.085673,0.154506,0.540282,0.055195,0.112695,0.797414,0.897833,0.698598,0.9696,SEKER
0.089682,0.068057,0.082195,0.377967,0.054844,0.112733,0.744818,0.990548,0.820694,0.993605,SEKER
0.096595,0.063752,0.063464,0.320342,0.055417,0.113169,0.715444,0.934603,0.855666,0.995033,SEKER
0.099002,0.084008,0.146091,0.524896,0.055483,0.113282,0.735824,0.915417,0.711308,0.984114,SEKER
0.0901,0.066911,0.075116,0.357237,0.05522,0.113395,0.749883,0.992016,0.832029,0.985928,SEKER
0.093311,0.070908,0.090753,0.401551,0.055496,0.1135,0.729586,0.964976,0.802455,0.979376,SEKER
0.1001,0.077046,0.11623,0.463787,0.055549,0.113553,0.671037,0.908384,0.758856,0.988321,SEKER
0.099159,0.068453,0.080768,0.373882,0.055879,0.113583,0.742914,0.916354,0.821057,0.985843,SEKER
0.09566,0.09137,0.176264,0.57697,0.055479,0.11365,0.726775,0.946107,0.666604,0.986911,SEKER
0.108569,0.075521,0.108671,0.446434,0.056209,0.113665,0.707246,0.84154,0.769912,0.968291,SEKER
0.09459,0.067744,0.077703,0.364947,0.055582,0.113695,0.695721,0.955524,0.826873,0.98988,SEKER
0.098372,0.085239,0.150115,0.532344,0.055599,0.11371,0.786861,0.92383,0.704891,0.990682,SEKER
0.097376,0.080229,0.128941,0.491151,0.055764,0.113785,0.749349,0.932696,0.738001,0.993774,SEKER
0.096861,0.073029,0.097746,0.419743,0.055929,0.114191,0.667185,0.940062,0.789658,0.99231,SEKER
0.097613,0.086341,0.151651,0.535142,0.055908,0.114311,0.758852,0.934653,0.699963,0.967968,SEKER
0.09847,0.092126,0.177126,0.57834,0.056048,0.114311,0.663331,0.927505,0.664253,0.986283,SEKER
0.113387,0.098317,0.203761,0.617897,0.056456,0.114423,0.691876,0.809962,0.628499,0.992615,SEKER
0.097739,0.08917,0.163815,0.556497,0.056044,0.114423,0.694409,0.934444,0.682631,0.98006,SEKER
0.09698,0.069806,0.083107,0.380554,0.055966,0.114483,0.673544,0.941257,0.814444,0.979174,SEKER
0.101378,0.088944,0.162459,0.554185,0.056333,0.114506,0.740951,0.90497,0.68431,0.977786,SEKER
0.098831,0.065104,0.064105,0.322469,0.056127,0.114663,0.71704,0.927133,0.851116,0.991866,SEKER
0.095169,0.071129,0.087418,0.392541,0.056069,0.114686,0.673505,0.95812,0.805419,0.969421,SEKER
0.092581,0.081869,0.132365,0.498163,0.056036,0.114746,0.729079,0.980813,0.730508,0.989681,SEKER
0.099562,0.086548,0.150286,0.532657,0.056271,0.114918,0.717938,0.922967,0.700749,0.964867,SEKER
0.09676,0.07803,0.115658,0.462504,0.056415,0.114986,0.6386,0.9469,0.757348,0.990812,SEKER
0.104431,0.079278,0.120222,0.472617,0.056963,0.115098,0.651656,0.884583,0.749206,0.985641,SEKER
0.100536,0.08795,0.156175,0.54325,0.056386,0.115113,0.606896,0.916375,0.692578,0.978827,SEKER
0.094076,0.066342,0.067437,0.33334,0.056407,0.115166,0.751958,0.971128,0.843494,0.990151,SEKER
0.09832,0.084692,0.141823,0.51681,0.056394,0.11533,0.792673,0.936384,0.714083,0.981455,SEKER
0.106706,0.079635,0.120311,0.47281,0.056963,0.115443,0.665646,0.868938,0.748032,0.980139,SEKER
0.097597,0.082624,0.132215,0.497859,0.056629,0.115495,0.782013,0.94369,0.728188,0.972554,SEKER
0.102132,0.06779,0.071855,0.347278,0.056922,0.115562,0.705568,0.906606,0.833933,0.9864,SEKER
0.097115,0.093542,0.17778,0.579374,0.05651,0.11569,0.772648,0.949217,0.660345,0.975472,SEKER
0.098146,0.073366,0.094406,0.411169,0.056844,0.115697,0.692585,0.940598,0.792971,0.995985,SEKER
0.102377,0.086288,0.146826,0.526269,0.057285,0.115847,0.627706,0.906708,0.705621,0.982894,SEKER
0.094064,0.077304,0.109218,0.447717,0.056498,0.115847,0.716984,0.976433,0.765563,0.976945,SEKER
0.104289,0.074667,0.097961,0.420287,0.057268,0.116056,0.716356,0.892729,0.78497,0.982181,SEKER
0.093567,0.072722,0.09026,0.400233,0.056728,0.116146,0.696942,0.983018,0.799363,0.993987,SEKER
0.098588,0.080019,0.118417,0.468653,0.057017,0.116265,0.651107,0.941156,0.748417,0.963218,SEKER
0.093385,0.077932,0.11069,0.451153,0.056629,0.116265,0.704403,0.985507,0.762747,0.983025,SEKER
0.104606,0.089295,0.158223,0.546855,0.057273,0.116363,0.702645,0.892415,0.688449,0.993931,SEKER
0.100818,0.071493,0.084567,0.384658,0.057268,0.116378,0.736676,0.923439,0.809289,0.994745,SEKER
0.097015,0.0884,0.152723,0.537082,0.056996,0.116505,0.689139,0.956216,0.694522,0.967119,SEKER
0.109259,0.083398,0.131798,0.497011,0.057912,0.116557,0.721319,0.856853,0.726862,0.971173,SEKER
0.101191,0.079968,0.11852,0.468881,0.057186,0.116609,0.764214,0.922079,0.750013,0.996081,SEKER
0.098565,0.072701,0.088305,0.39496,0.057264,0.116617,0.707825,0.943982,0.801331,0.985548,SEKER
0.103836,0.079141,0.11461,0.46014,0.057462,0.116654,0.690974,0.900777,0.755833,0.988114,SEKER
0.112889,0.082768,0.128591,0.490424,0.057936,0.116781,0.668421,0.830343,0.731819,0.974759,SEKER
0.100484,0.084748,0.136278,0.506002,0.057446,0.116893,0.72931,0.930035,0.719213,0.971036,SEKER
0.100715,0.067235,0.064304,0.323129,0.057367,0.117057,0.777346,0.929344,0.844174,0.970369,SEKER
0.099132,0.079953,0.116462,0.464306,0.057582,0.117117,0.746762,0.942987,0.751967,0.988893,SEKER
0.104458,0.085648,0.139618,0.512555,0.057837,0.117162,0.766474,0.899457,0.714317,0.981977,SEKER
0.096499,0.082149,0.125239,0.483403,0.057334,0.117206,0.719703,0.965912,0.737467,0.989093,SEKER
0.097936,0.083214,0.128534,0.490307,0.057297,0.117236,0.818586,0.953941,0.730488,0.966218,SEKER
0.102782,0.098387,0.193396,0.60311,0.057553,0.117326,0.733565,0.914307,0.637359,0.989987,SEKER
0.106463,0.110603,0.244852,0.670063,0.058023,0.117631,0.767558,0.886745,0.572075,0.976802,SEKER
0.09929,0.085221,0.135981,0.505414,0.057903,0.117661,0.72815,0.945744,0.718835,0.978264,SEKER
0.096136,0.086655,0.142247,0.517622,0.057524,0.117669,0.75888,0.972524,0.709609,0.985218,SEKER
0.105512,0.083157,0.127058,0.487231,0.058093,0.117684,0.697659,0.894767,0.732465,0.972016,SEKER
0.109367,0.087989,0.14619,0.525082,0.0582,0.11778,0.789319,0.86479,0.701498,0.957742,SEKER
0.097535,0.090692,0.15909,0.548368,0.057685,0.117795,0.746736,0.96156,0.684653,0.99252,SEKER
0.111637,0.073015,0.086073,0.388843,0.058542,0.117848,0.707308,0.84755,0.803762,0.995417,SEKER
0.104953,0.087892,0.145015,0.522876,0.058035,0.117862,0.644601,0.900585,0.702397,0.947022,SEKER
0.106643,0.088327,0.148687,0.529721,0.058155,0.117892,0.65496,0.887201,0.699745,0.989768,SEKER
0.111898,0.083081,0.124899,0.482682,0.058637,0.117915,0.715567,0.846006,0.733793,0.947933,SEKER
0.103343,0.081217,0.118677,0.469226,0.058299,0.118011,0.757719,0.914773,0.746629,0.988089,SEKER
0.109385,0.09186,0.160723,0.551202,0.058497,0.118026,0.737698,0.866417,0.678262,0.938893,SEKER
0.108293,0.074715,0.090706,0.401425,0.05841,0.118056,0.612677,0.875254,0.792202,0.958441,SEKER
0.103406,0.113684,0.25615,0.682842,0.057742,0.11816,0.691157,0.915356,0.558023,0.970629,SEKER
0.097285,0.083847,0.128208,0.489629,0.057973,0.11822,0.753838,0.966898,0.729809,0.973921,SEKER
0.101027,0.075727,0.09562,0.414308,0.058085,0.118257,0.765548,0.935692,0.7857,0.99242,SEKER
0.104708,0.103451,0.211226,0.628108,0.058513,0.118265,0.711365,0.905518,0.61192,0.97721,SEKER
0.11148,0.090299,0.152663,0.536974,0.059227,0.118324,0.596253,0.852166,0.688876,0.928622,SEKER
0.102641,0.089295,0.150612,0.533252,0.058311,0.118384,0.741561,0.923287,0.695344,0.980029,SEKER
0.105094,0.095349,0.176181,0.576837,0.058542,0.118473,0.61892,0.903915,0.658762,0.987069,SEKER
0.098311,0.084156,0.129179,0.491642,0.058093,0.118518,0.734494,0.960439,0.728829,0.989312,SEKER
0.09802,0.074117,0.088016,0.394173,0.058316,0.118607,0.741398,0.963574,0.798629,0.993218,SEKER
0.102182,0.087015,0.140496,0.514255,0.058513,0.118622,0.741602,0.928834,0.710615,0.984817,SEKER
0.112838,0.06019,0.032524,0.199468,0.059251,0.118689,0.685214,0.844239,0.907578,0.993737,SEKER
0.100066,0.0926,0.163621,0.556168,0.058299,0.118771,0.687983,0.947551,0.676245,0.98974,SEKER
0.09908,0.078115,0.103366,0.433722,0.058303,0.118771,0.744564,0.95584,0.770742,0.985285,SEKER
0.0995,0.089759,0.150235,0.532563,0.05839,0.11915,0.727346,0.955154,0.69505,0.986576,SEKER
0.101679,0.086147,0.13539,0.50424,0.058682,0.119194,0.715632,0.937258,0.718208,0.994459,SEKER
0.110103,0.077294,0.098509,0.421674,0.059214,0.119202,0.724735,0.86921,0.778115,0.982382,SEKER
0.108614,0.09424,0.168222,0.563897,0.059058,0.119358,0.670392,0.882104,0.668284,0.983757,SEKER
0.103022,0.080311,0.109867,0.449237,0.058872,0.119365,0.657043,0.927419,0.757728,0.973378,SEKER
0.097977,0.086963,0.137037,0.507503,0.058658,0.119388,0.664351,0.969844,0.713609,0.970251,SEKER
0.100135,0.089202,0.145286,0.523386,0.058666,0.11941,0.612782,0.951762,0.69944,0.948659,SEKER
0.099466,0.082368,0.118897,0.469711,0.058823,0.119425,0.660614,0.957504,0.743969,0.991571,SEKER
0.097836,0.078273,0.101791,0.429861,0.058724,0.119454,0.671315,0.971558,0.772172,0.985163,SEKER
0.10446,0.09201,0.157412,0.545433,0.058971,0.119477,0.651577,0.916442,0.682214,0.962069,SEKER
0.106994,0.075985,0.091181,0.40269,0.059156,0.119685,0.779996,0.89743,0.789238,0.971092,SEKER
0.10279,0.093629,0.164082,0.55695,0.059078,0.119722,0.676966,0.931976,0.673172,0.977401,SEKER
0.098374,0.077165,0.096232,0.415882,0.058942,0.119759,0.716009,0.969279,0.781115,0.983277,SEKER
0.099162,0.085836,0.131207,0.495808,0.058773,0.119789,0.70969,0.962817,0.722309,0.974321,SEKER
0.113427,0.0901,0.147995,0.52844,0.059651,0.119937,0.619411,0.848538,0.695601,0.965246,SEKER
0.103825,0.084948,0.127038,0.487188,0.059119,0.119959,0.700994,0.925199,0.728722,0.975742,SEKER
0.09972,0.078627,0.101157,0.428292,0.059012,0.1201,0.756115,0.960441,0.772094,0.985509,SEKER
0.100269,0.08142,0.111461,0.452939,0.059194,0.120152,0.713552,0.956203,0.753014,0.965021,SEKER
0.099839,0.08055,0.108811,0.446762,0.059095,0.120182,0.715688,0.960055,0.759069,0.987734,SEKER
0.10096,0.09174,0.155033,0.541222,0.059194,0.120286,0.73607,0.951402,0.686598,0.995322,SEKER
0.098951,0.067517,0.056281,0.295611,0.059206,0.120293,0.692071,0.96841,0.854978,0.989918,SEKER
