@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,9,12,16-17'

@attribute Area numeric
@attribute Perimeter numeric
@attribute ConvexArea numeric
@attribute Extent numeric
@attribute Compactness numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.060257,0.112838,0.059251,0.685214,0.939104,0.993737,SEKER
0.060304,0.100066,0.058299,0.687983,0.726137,0.98974,SEKER
0.060304,0.09908,0.058303,0.744564,0.81733,0.985285,SEKER
0.060522,0.0995,0.05839,0.727346,0.745436,0.986576,SEKER
0.060548,0.101679,0.058682,0.715632,0.768137,0.994459,SEKER
0.060552,0.110103,0.059214,0.724735,0.824934,0.982382,SEKER
0.060642,0.108614,0.059058,0.670392,0.719131,0.983757,SEKER
0.060646,0.103022,0.058872,0.657043,0.806163,0.973378,SEKER
0.060659,0.097977,0.058658,0.664351,0.764002,0.970251,SEKER
0.060671,0.100135,0.058666,0.612782,0.750193,0.948659,SEKER
0.06068,0.099466,0.058823,0.660614,0.793249,0.991571,SEKER
0.060697,0.097836,0.058724,0.671315,0.819845,0.985163,SEKER
0.06071,0.10446,0.058971,0.651577,0.73327,0.962069,SEKER
0.060829,0.106994,0.059156,0.779996,0.836054,0.971092,SEKER
0.060851,0.10279,0.059078,0.676966,0.724646,0.977401,SEKER
0.060872,0.098374,0.058942,0.716009,0.82868,0.983277,SEKER
0.060889,0.099162,0.058773,0.70969,0.773112,0.974321,SEKER
0.060975,0.113427,0.059651,0.619411,0.747302,0.965246,SEKER
0.060987,0.103825,0.059119,0.700994,0.779583,0.975742,SEKER
0.061069,0.09972,0.059012,0.756115,0.820888,0.985509,SEKER
0.061098,0.100269,0.059194,0.713552,0.803068,0.965021,SEKER
0.061115,0.099839,0.059095,0.715688,0.808828,0.987734,SEKER
0.061175,0.10096,0.059194,0.73607,0.738981,0.995322,SEKER
0.06118,0.098951,0.059206,0.692071,0.896368,0.989918,SEKER
0.061188,0.103286,0.059391,0.803379,0.870527,0.976438,SEKER
0.061218,0.11094,0.059635,0.743361,0.77639,0.976391,SEKER
0.061235,0.111688,0.059721,0.712501,0.793592,0.981579,SEKER
0.061256,0.099093,0.059239,0.633007,0.766043,0.971056,SEKER
0.061278,0.108428,0.059688,0.735536,0.78424,0.986241,SEKER
0.061282,0.100786,0.059441,0.668635,0.813578,0.985658,SEKER
0.061291,0.104742,0.059589,0.724545,0.808128,0.98407,SEKER
0.061346,0.104483,0.059536,0.551722,0.781766,0.926765,SEKER
0.061367,0.114645,0.059969,0.738596,0.814518,0.997771,SEKER
0.061376,0.115567,0.059787,0.617225,0.708579,0.958388,SEKER
0.061376,0.100338,0.059231,0.738742,0.718081,0.985529,SEKER
0.061402,0.100682,0.059511,0.73764,0.831229,0.994549,SEKER
0.061577,0.103463,0.059581,0.751944,0.771324,0.968553,SEKER
0.061577,0.09959,0.059519,0.747125,0.867714,0.981405,SEKER
0.061602,0.11084,0.05996,0.66168,0.72204,0.96436,SEKER
0.061615,0.102393,0.059507,0.698629,0.788977,0.986028,SEKER
0.061679,0.106299,0.060072,0.765134,0.855328,0.982919,SEKER
0.061735,0.100508,0.059791,0.675146,0.848775,0.991406,SEKER
0.061735,0.1058,0.059911,0.737152,0.80311,0.977457,SEKER
0.061739,0.113127,0.060245,0.689884,0.725757,0.966697,SEKER
0.061739,0.103196,0.06008,0.762506,0.868253,0.963045,SEKER
0.061752,0.106344,0.059919,0.764289,0.744191,0.989437,SEKER
0.061756,0.101277,0.059767,0.786233,0.768779,0.975765,SEKER
0.061807,0.104724,0.059952,0.668161,0.849955,0.996209,SEKER
0.061876,0.104561,0.060055,0.666497,0.737196,0.971003,SEKER
0.061876,0.099494,0.059857,0.694017,0.769016,0.994383,SEKER
0.06188,0.103581,0.060026,0.704651,0.79273,0.9944,SEKER
0.061931,0.199846,0.071351,0.504312,0.506859,0,SEKER
0.061974,0.111633,0.060851,0.648965,0.795299,0.959266,SEKER
0.061982,0.108059,0.060472,0.744764,0.774139,0.971183,SEKER
0.062021,0.102994,0.059969,0.65842,0.741378,0.983589,SEKER
0.062076,0.101158,0.060063,0.780407,0.783601,0.990899,SEKER
0.062085,0.1073,0.060426,0.798311,0.713908,0.946009,SEKER
0.062119,0.101725,0.059915,0.643962,0.70831,0.989419,SEKER
0.062119,0.154494,0.062553,0.604904,0.658695,0.903524,SEKER
0.062132,0.101639,0.060125,0.730634,0.742213,0.983216,SEKER
0.06217,0.103015,0.060154,0.739759,0.764698,0.985054,SEKER
0.062234,0.106085,0.060245,0.651949,0.721357,0.99288,SEKER
0.062349,0.099929,0.060224,0.760631,0.779485,0.978849,SEKER
0.062388,0.10332,0.060537,0.78383,0.777198,0.971264,SEKER
0.062435,0.104006,0.060583,0.78722,0.852699,0.991654,SEKER
0.062465,0.105886,0.060455,0.714648,0.813473,0.988245,SEKER
0.062507,0.100638,0.060311,0.715362,0.801492,0.978637,SEKER
0.06252,0.121325,0.061403,0.718687,0.881904,0.976414,SEKER
0.062537,0.10254,0.060484,0.750754,0.813235,0.986978,SEKER
0.06255,0.114669,0.061337,0.634869,0.754308,0.94592,SEKER
0.062601,0.104629,0.060645,0.685567,0.748561,0.970535,SEKER
0.06261,0.111689,0.061131,0.682896,0.806803,0.963294,SEKER
0.06261,0.110075,0.060983,0.731428,0.826189,0.979269,SEKER
0.062618,0.115711,0.061729,0.579461,0.631114,0.982311,SEKER
0.062627,0.105032,0.060983,0.687182,0.721446,0.981981,SEKER
0.062644,0.111927,0.060937,0.723547,0.851743,0.98929,SEKER
0.062644,0.110302,0.06088,0.666021,0.774522,0.959141,SEKER
0.062704,0.111723,0.06111,0.73149,0.776491,0.990541,SEKER
0.062708,0.112227,0.06109,0.74664,0.790868,0.990602,SEKER
0.062708,0.106536,0.060851,0.820488,0.754263,0.976087,SEKER
0.062776,0.106174,0.060999,0.736872,0.783686,0.983176,SEKER
0.062781,0.109878,0.0609,0.761065,0.767606,0.979323,SEKER
0.062802,0.099222,0.060566,0.74052,0.823011,0.990993,SEKER
0.062811,0.104941,0.060966,0.723211,0.702715,0.989413,SEKER
0.062815,0.109154,0.060937,0.626205,0.753427,0.98539,SEKER
0.062828,0.098689,0.0605,0.779275,0.848451,0.980796,SEKER
0.062875,0.107041,0.060847,0.731776,0.655319,0.990919,SEKER
0.062892,0.107924,0.061115,0.730941,0.706116,0.993307,SEKER
0.062947,0.101827,0.060871,0.742965,0.803092,0.986734,SEKER
0.06296,0.10361,0.060925,0.741542,0.773005,0.992345,SEKER
0.063003,0.124473,0.061931,0.702002,0.84371,0.985046,SEKER
0.063007,0.106598,0.061073,0.772178,0.741093,0.997188,SEKER
0.063144,0.105292,0.061222,0.683049,0.781356,0.957873,SEKER
0.063199,0.102659,0.061012,0.66727,0.726486,0.991362,SEKER
0.063208,0.102388,0.06123,0.680229,0.793474,0.965832,SEKER
0.063268,0.10361,0.061086,0.717178,0.763978,0.9819,SEKER
0.063306,0.108546,0.061486,0.726865,0.69727,0.997941,SEKER
0.06331,0.108061,0.06151,0.655228,0.752534,0.979221,SEKER
0.06334,0.111122,0.061803,0.689946,0.867484,0.980929,SEKER
0.063361,0.104812,0.061395,0.633445,0.754094,0.987789,SEKER
0.063417,0.108145,0.061568,0.722491,0.785505,0.992254,SEKER
0.063417,0.108258,0.061642,0.706944,0.808954,0.982508,SEKER
0.063438,0.104148,0.061189,0.747045,0.714801,0.955436,SEKER
0.063464,0.107239,0.061444,0.719782,0.881802,0.980086,SEKER
0.063481,0.104895,0.061601,0.752922,0.886279,0.987723,SEKER
0.063485,0.104227,0.061523,0.770841,0.780542,0.981209,SEKER
0.063537,0.110132,0.061655,0.681645,0.719246,0.991543,SEKER
0.063545,0.105625,0.061671,0.728127,0.744156,0.981957,SEKER
0.063554,0.110686,0.062055,0.7546,0.758792,0.959748,SEKER
0.063592,0.113987,0.062079,0.703114,0.775436,0.977552,SEKER
0.063605,0.108292,0.061642,0.660218,0.724583,0.991685,SEKER
0.063626,0.108287,0.061778,0.663202,0.778124,0.970191,SEKER
0.063665,0.108135,0.061716,0.616175,0.759488,0.974842,SEKER
0.063695,0.104392,0.061782,0.675351,0.824153,0.990995,SEKER
0.063699,0.106871,0.061774,0.747466,0.84199,0.981663,SEKER
0.063703,0.104867,0.061766,0.673359,0.825534,0.969759,SEKER
0.063724,0.116445,0.062343,0.666595,0.76304,0.971233,SEKER
0.063759,0.109114,0.062149,0.64356,0.795403,0.981519,SEKER
0.063767,0.111599,0.062009,0.640275,0.756203,0.975959,SEKER
0.063767,0.107138,0.061762,0.685958,0.731247,0.986039,SEKER
0.06381,0.108586,0.062153,0.761883,0.905584,0.974241,SEKER
0.063861,0.107274,0.061873,0.692832,0.739499,0.990466,SEKER
0.063865,0.11161,0.061951,0.729125,0.725745,0.991563,SEKER
0.063895,0.106064,0.061894,0.619746,0.749105,0.98197,SEKER
0.063972,0.107336,0.061886,0.709552,0.803162,0.983279,SEKER
0.063976,0.105213,0.061956,0.692725,0.769462,0.981865,SEKER
0.063998,0.109182,0.06217,0.578291,0.683794,0.97032,SEKER
0.064006,0.12321,0.063126,0.677555,0.831971,0.988874,SEKER
0.064015,0.102964,0.061873,0.773944,0.838477,0.98655,SEKER
0.064023,0.106969,0.062022,0.673682,0.735086,0.982605,SEKER
0.0641,0.107234,0.062137,0.756984,0.773271,0.983879,SEKER
0.064122,0.110172,0.062331,0.727723,0.839027,0.969128,SEKER
0.064126,0.105212,0.062009,0.766472,0.779812,0.984562,SEKER
0.064126,0.104528,0.062005,0.682386,0.765806,0.990931,SEKER
0.064143,0.119227,0.063328,0.560586,0.739057,0.955745,SEKER
0.064143,0.107097,0.062277,0.759917,0.830784,0.9742,SEKER
0.064177,0.106979,0.062083,0.708125,0.751102,0.988622,SEKER
0.064194,0.104375,0.062083,0.728208,0.754158,0.985479,SEKER
0.06425,0.108706,0.0625,0.680027,0.853069,0.978026,SEKER
0.064275,0.111252,0.062619,0.759245,0.695287,0.977041,SEKER
0.064309,0.105676,0.062125,0.751723,0.729227,0.985745,SEKER
0.064386,0.112108,0.062673,0.695881,0.835698,0.984848,SEKER
0.06442,0.107766,0.062459,0.728917,0.715835,0.990785,SEKER
0.064433,0.104228,0.06231,0.696867,0.852277,0.978059,SEKER
0.064437,0.121361,0.065781,0.655428,0.888565,0.776337,SEKER
0.064463,0.105497,0.062648,0.695791,0.784812,0.990771,SEKER
0.064527,0.103684,0.062397,0.760184,0.806892,0.993027,SEKER
0.064536,0.109254,0.062813,0.715075,0.806984,0.978874,SEKER
0.064557,0.113687,0.062533,0.871042,0.635714,0.912062,SEKER
0.064578,0.108593,0.062928,0.737094,0.794449,0.989628,SEKER
0.064625,0.118216,0.063225,0.64582,0.728267,0.981415,SEKER
0.064668,0.108217,0.062817,0.791669,0.852654,0.989731,SEKER
0.064771,0.111723,0.063044,0.722736,0.764302,0.982816,SEKER
0.064809,0.116226,0.063324,0.637936,0.654635,0.937828,SEKER
0.064826,0.112035,0.062895,0.725689,0.704082,0.981667,SEKER
0.064839,0.116388,0.063007,0.602506,0.653283,0.99195,SEKER
0.064852,0.112669,0.063126,0.736071,0.707122,0.976709,SEKER
0.064856,0.111072,0.063147,0.752748,0.820591,0.989462,SEKER
0.06486,0.105197,0.062677,0.648133,0.772153,0.963572,SEKER
0.064882,0.114882,0.063155,0.604823,0.788359,0.94532,SEKER
0.064963,0.110314,0.063163,0.736524,0.765296,0.980036,SEKER
0.065018,0.108728,0.06311,0.694796,0.782764,0.99367,SEKER
0.065018,0.106131,0.062838,0.674774,0.754329,0.990035,SEKER
0.06504,0.106598,0.063147,0.783786,0.853801,0.980388,SEKER
0.065125,0.113676,0.06346,0.72073,0.698118,0.990176,SEKER
0.065146,0.112957,0.063633,0.685546,0.757444,0.982644,SEKER
0.065159,0.110453,0.063102,0.800005,0.814686,0.976251,SEKER
