@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1,7-8,10-12,14,16-17'

@attribute Area numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.047896,0.046835,0.096682,0.90177,0.862607,0.672315,0.659702,0.987673,SEKER
0.048058,0.046686,0.096977,0.932229,0.860784,0.598925,0.587822,0.908113,SEKER
0.048088,0.046756,0.097031,0.928163,0.922582,0.910288,0.920604,0.985072,SEKER
0.048178,0.047032,0.097194,0.909458,0.868726,0.838775,0.8367,0.990479,SEKER
0.04837,0.046732,0.097543,0.957946,0.955688,0.790928,0.782548,0.985496,SEKER
0.048455,0.047362,0.097699,0.903678,0.903045,0.777629,0.767738,0.980541,SEKER
0.048639,0.046863,0.098032,0.97088,0.957919,0.743925,0.73101,0.995826,SEKER
0.048681,0.047342,0.09811,0.927555,0.91357,0.868616,0.869072,0.963764,SEKER
0.04869,0.047779,0.098125,0.885305,0.841048,0.757346,0.745093,0.995158,SEKER
0.04875,0.04763,0.098233,0.905659,0.875969,0.734289,0.720494,0.982904,SEKER
0.049083,0.047408,0.098837,0.959756,0.972581,0.840123,0.834841,0.982981,SEKER
0.049326,0.047663,0.099278,0.957913,0.980607,0.875666,0.874773,0.99079,SEKER
0.049412,0.047713,0.099433,0.961243,0.979605,0.886756,0.887401,0.99018,SEKER
0.04942,0.048261,0.099448,0.908075,0.895758,0.896068,0.898331,0.962533,SEKER
0.04951,0.048195,0.099611,0.923146,0.901916,0.887191,0.887528,0.967802,SEKER
0.049557,0.048088,0.099696,0.938191,0.89934,0.673931,0.656186,0.962461,SEKER
0.049608,0.047919,0.099788,0.959771,0.953685,0.74739,0.731423,0.981401,SEKER
0.049634,0.048277,0.099835,0.92692,0.909531,0.847707,0.841407,0.983616,SEKER
0.049689,0.04789,0.099935,0.970418,0.972944,0.851111,0.845081,0.977958,SEKER
0.049728,0.048632,0.100004,0.901179,0.817997,0.617267,0.600452,0.94395,SEKER
0.049911,0.048987,0.100336,0.884122,0.851587,0.750379,0.733569,0.980103,SEKER
0.049933,0.048269,0.100375,0.956378,0.937546,0.771758,0.756285,0.985376,SEKER
0.050159,0.048797,0.100784,0.926254,0.903827,0.830409,0.819908,0.97474,SEKER
0.050355,0.049061,0.101138,0.919214,0.887546,0.789725,0.774253,0.993634,SEKER
0.050377,0.048982,0.101176,0.928896,0.9143,0.774834,0.758074,0.97893,SEKER
0.050441,0.049576,0.101292,0.877237,0.848121,0.793494,0.778061,0.996269,SEKER
0.050518,0.048768,0.101431,0.963327,0.972768,0.797253,0.781896,0.983943,SEKER
0.050547,0.049172,0.101484,0.926656,0.909638,0.799659,0.784425,0.977709,SEKER
0.050564,0.04897,0.101515,0.948017,0.923717,0.777301,0.760086,0.998807,SEKER
0.050637,0.049217,0.101646,0.930769,0.959368,0.832349,0.820343,0.986491,SEKER
0.050825,0.049184,0.101984,0.951871,0.943936,0.844169,0.832973,0.978648,SEKER
0.050889,0.049419,0.1021,0.935036,0.921304,0.79567,0.778871,0.987115,SEKER
0.050962,0.049617,0.10223,0.922675,0.901756,0.797938,0.781094,0.985525,SEKER
0.051017,0.049972,0.10233,0.893563,0.802468,0.793952,0.776555,0.979417,SEKER
0.051051,0.049156,0.102392,0.976239,0.986675,0.824756,0.810358,0.986573,SEKER
0.051295,0.049844,0.10283,0.932226,0.925961,0.81851,0.80255,0.98824,SEKER
0.051431,0.049811,0.103075,0.948376,0.927314,0.756272,0.734746,0.990189,SEKER
0.051641,0.050124,0.103451,0.93776,0.958731,0.802444,0.783654,0.985682,SEKER
0.051658,0.049992,0.103482,0.952176,0.943319,0.804795,0.786167,0.99141,SEKER
0.051658,0.05012,0.103482,0.939774,0.922971,0.810099,0.791986,0.987828,SEKER
0.051687,0.050772,0.103535,0.879739,0.873428,0.76012,0.737966,0.981718,SEKER
0.051914,0.050363,0.103941,0.940412,0.912376,0.739717,0.71581,0.990108,SEKER
0.051927,0.050157,0.103964,0.961602,0.959311,0.769965,0.747625,0.996861,SEKER
0.052072,0.050837,0.104225,0.909545,0.873667,0.84669,0.831261,0.940664,SEKER
0.052102,0.050368,0.104278,0.957741,0.918166,0.650863,0.625909,0.938507,SEKER
0.052426,0.050747,0.10486,0.951627,0.945691,0.767785,0.743644,0.99242,SEKER
0.052456,0.050858,0.104913,0.943695,0.937854,0.781364,0.758036,0.989843,SEKER
0.05249,0.050854,0.104974,0.947304,0.90602,0.884936,0.873441,0.991929,SEKER
0.052559,0.051044,0.105096,0.935448,0.926294,0.90028,0.891059,0.974856,SEKER
0.052751,0.051266,0.10544,0.932066,0.906272,0.796012,0.77283,0.980143,SEKER
0.052755,0.051027,0.105448,0.955481,0.969499,0.830234,0.810377,0.99023,SEKER
0.05284,0.051147,0.105601,0.951976,0.963375,0.769381,0.743968,0.985288,SEKER
0.052845,0.051229,0.105608,0.94444,0.941013,0.793637,0.769939,0.975471,SEKER
0.052857,0.05113,0.105631,0.955167,0.94762,0.832671,0.812724,0.984101,SEKER
0.052986,0.051406,0.10586,0.940605,0.923868,0.813399,0.790977,0.966738,SEKER
0.053015,0.051699,0.105913,0.915346,0.861779,0.852594,0.834499,0.971569,SEKER
0.053071,0.051781,0.106013,0.912648,0.890788,0.708965,0.680597,0.9558,SEKER
0.053161,0.051588,0.106173,0.939579,0.941307,0.830059,0.808748,0.995402,SEKER
0.053225,0.051699,0.106287,0.934898,0.91773,0.751537,0.723913,0.988171,SEKER
0.053374,0.052322,0.106554,0.889436,0.853211,0.847567,0.827541,0.990019,SEKER
0.053395,0.05181,0.106592,0.940191,0.937886,0.775519,0.748655,0.979355,SEKER
0.053434,0.052425,0.10666,0.885205,0.872754,0.819947,0.796614,0.983799,SEKER
0.053489,0.052157,0.10676,0.915863,0.873296,0.969532,0.970417,0.986116,SEKER
0.053506,0.052932,0.10679,0.843968,0.767375,0.758946,0.730767,0.96229,SEKER
0.053664,0.052672,0.107072,0.883161,0.828996,0.782425,0.755129,0.974633,SEKER
0.053741,0.05266,0.107209,0.891465,0.868106,0.797547,0.771126,0.980948,SEKER
0.053758,0.052313,0.107239,0.92597,0.890117,0.780734,0.753011,0.998165,SEKER
0.053771,0.051963,0.107262,0.960646,0.966387,0.794823,0.768085,0.985023,SEKER
0.053797,0.052173,0.107308,0.942921,0.948881,0.787195,0.759794,0.985093,SEKER
0.053933,0.052515,0.107551,0.923009,0.90814,0.854672,0.833528,0.977513,SEKER
0.053963,0.052091,0.107604,0.966318,0.952286,0.788801,0.760961,0.969723,SEKER
0.05398,0.052581,0.107635,0.921097,0.881228,0.817538,0.792074,0.985514,SEKER
0.054049,0.052144,0.107756,0.969143,0.930424,0.665175,0.634188,0.99017,SEKER
0.054049,0.05212,0.107756,0.971512,0.973021,0.826036,0.801183,0.993356,SEKER
0.054096,0.052693,0.10784,0.921218,0.905512,0.876323,0.857536,0.969666,SEKER
0.0541,0.052223,0.107847,0.966418,0.964222,0.744339,0.71362,0.98118,SEKER
0.054326,0.052326,0.10825,0.977618,1,0.814959,0.788061,0.994863,SEKER
0.054395,0.052482,0.108371,0.968995,0.968318,0.816586,0.789607,0.986653,SEKER
0.054433,0.053006,0.10844,0.922742,0.818502,0.681955,0.649518,0.96766,SEKER
0.054446,0.05254,0.108463,0.968245,0.965829,0.819351,0.792458,0.971579,SEKER
0.054544,0.052915,0.108637,0.941629,0.907266,0.704807,0.671923,0.988729,SEKER
0.054723,0.05329,0.108956,0.922651,0.931816,0.966231,0.961368,0.982575,SEKER
0.054775,0.052878,0.109047,0.966517,0.936673,0.721688,0.68827,0.98974,SEKER
0.054787,0.053101,0.109069,0.946541,0.943276,0.881522,0.860949,0.976548,SEKER
0.054894,0.054304,0.109259,0.843064,0.704329,0.68097,0.647198,0.978335,SEKER
0.055065,0.053653,0.109562,0.91989,0.880895,0.743968,0.710195,0.982459,SEKER
0.055078,0.053789,0.109585,0.908247,0.892118,0.792467,0.761185,0.974209,SEKER
0.055103,0.053661,0.10963,0.922652,0.860261,0.806763,0.776503,0.988409,SEKER
0.055125,0.053163,0.109668,0.971863,0.9785,0.800636,0.769809,0.976303,SEKER
0.055138,0.05421,0.109691,0.874255,0.834663,0.846734,0.820338,0.978389,SEKER
0.055159,0.053406,0.109729,0.951937,0.947477,0.71083,0.676123,0.987914,SEKER
0.055185,0.053624,0.109774,0.93363,0.933852,0.789932,0.758117,0.980042,SEKER
0.055347,0.053781,0.110062,0.933784,0.948083,0.820419,0.790542,0.983856,SEKER
0.055419,0.053872,0.11019,0.93191,0.918659,0.836879,0.8084,0.989565,SEKER
0.055513,0.05362,0.110357,0.964318,0.977687,0.862419,0.836602,0.985208,SEKER
0.055522,0.053686,0.110372,0.958863,0.952777,0.8066,0.774921,0.99061,SEKER
0.055539,0.054024,0.110402,0.92853,0.915069,0.759598,0.724925,0.990807,SEKER
0.055547,0.053711,0.110417,0.958882,0.955651,0.74578,0.710555,0.985037,SEKER
0.055556,0.05402,0.110432,0.930488,0.908315,0.858347,0.831865,0.993366,SEKER
0.055565,0.05369,0.110447,0.962406,0.963276,0.797153,0.764597,0.967023,SEKER
0.05562,0.053711,0.110546,0.965567,0.971565,0.806733,0.774736,0.970363,SEKER
0.055624,0.054032,0.110553,0.935601,0.923035,0.78465,0.751041,0.963841,SEKER
0.055676,0.053925,0.110644,0.950417,0.976268,0.869084,0.843552,0.992115,SEKER
0.055714,0.053855,0.110712,0.96057,0.94981,0.804933,0.772476,0.994162,SEKER
0.055842,0.053843,0.110938,0.973524,0.96602,0.765629,0.730266,0.984671,SEKER
0.055996,0.054041,0.11121,0.968954,0.970809,0.875671,0.849874,0.996091,SEKER
0.056013,0.054069,0.11124,0.967799,0.963844,0.772009,0.736415,0.978684,SEKER
0.056017,0.054544,0.111248,0.923586,0.939751,0.816961,0.784495,0.975827,SEKER
0.056051,0.054201,0.111308,0.958883,0.992823,0.941065,0.925793,0.995443,SEKER
0.056107,0.054469,0.111406,0.93876,0.901938,0.768068,0.731977,0.965026,SEKER
0.056175,0.054593,0.111527,0.933406,0.919347,0.807686,0.77391,0.99366,SEKER
0.056205,0.05435,0.11158,0.959002,0.969582,0.842429,0.811821,0.996141,SEKER
0.056209,0.054416,0.111588,0.953186,0.96318,0.818132,0.785122,0.981688,SEKER
0.056308,0.055562,0.111761,0.855185,0.792266,0.930416,0.912173,0.977742,SEKER
0.056363,0.054943,0.111859,0.917768,0.899881,0.831043,0.798716,0.99749,SEKER
0.056376,0.054556,0.111882,0.955258,0.962136,0.897759,0.873786,0.991534,SEKER
0.05641,0.054931,0.111942,0.923212,0.906944,0.806306,0.77164,0.970162,SEKER
0.056444,0.05456,0.112002,0.961124,0.941918,0.809298,0.774755,0.98403,SEKER
0.056777,0.054832,0.11259,0.966018,0.938657,0.732454,0.693106,0.973134,SEKER
0.056837,0.055195,0.112695,0.937496,0.897833,0.738019,0.698598,0.9696,SEKER
0.056858,0.054844,0.112733,0.972268,0.990548,0.852456,0.820694,0.993605,SEKER
0.057106,0.055417,0.113169,0.941203,0.934603,0.884271,0.855666,0.995033,SEKER
0.05717,0.055483,0.113282,0.940875,0.915417,0.7514,0.711308,0.984114,SEKER
0.057234,0.05522,0.113395,0.971363,0.992016,0.863768,0.832029,0.985928,SEKER
0.057294,0.055496,0.1135,0.950981,0.964976,0.837334,0.802455,0.979376,SEKER
0.057324,0.055549,0.113553,0.948698,0.908384,0.797188,0.758856,0.988321,SEKER
0.057341,0.055879,0.113583,0.919556,0.916354,0.854286,0.821057,0.985843,SEKER
0.057379,0.055479,0.11365,0.960286,0.946107,0.707917,0.666604,0.986911,SEKER
0.057388,0.056209,0.113665,0.893254,0.84154,0.807704,0.769912,0.968291,SEKER
0.057405,0.055582,0.113695,0.952994,0.955524,0.859699,0.826873,0.98988,SEKER
0.057413,0.055599,0.11371,0.952232,0.92383,0.74589,0.704891,0.990682,SEKER
0.057456,0.055764,0.113785,0.940745,0.932696,0.7779,0.738001,0.993774,SEKER
0.057687,0.055929,0.114191,0.946316,0.940062,0.826859,0.789658,0.99231,SEKER
0.057755,0.055908,0.114311,0.954427,0.934653,0.742095,0.699963,0.967968,SEKER
0.057755,0.056048,0.114311,0.941393,0.927505,0.70666,0.664253,0.986283,SEKER
0.057819,0.056456,0.114423,0.909373,0.809962,0.670354,0.628499,0.992615,SEKER
0.057819,0.056044,0.114423,0.947577,0.934444,0.725208,0.682631,0.98006,SEKER
0.057853,0.055966,0.114483,0.957957,0.941257,0.849926,0.814444,0.979174,SEKER
0.057866,0.056333,0.114506,0.925057,0.90497,0.727012,0.68431,0.977786,SEKER
0.057956,0.056127,0.114663,0.952287,0.927133,0.882943,0.851116,0.991866,SEKER
0.057969,0.056069,0.114686,0.958812,0.95812,0.842113,0.805419,0.969421,SEKER
0.058003,0.056036,0.114746,0.964974,0.980813,0.772399,0.730508,0.989681,SEKER
0.058101,0.056271,0.114918,0.952022,0.922967,0.743894,0.700749,0.964867,SEKER
0.058139,0.056415,0.114986,0.942113,0.9469,0.798254,0.757348,0.990812,SEKER
0.058203,0.056963,0.115098,0.897268,0.884583,0.790781,0.749206,0.985641,SEKER
0.058212,0.056386,0.115113,0.951347,0.916375,0.736202,0.692578,0.978827,SEKER
0.058242,0.056407,0.115166,0.952135,0.971128,0.877104,0.843494,0.990151,SEKER
0.058336,0.056394,0.11533,0.96177,0.936384,0.757579,0.714083,0.981455,SEKER
0.0584,0.056963,0.115443,0.914943,0.868938,0.790266,0.748032,0.980139,SEKER
0.05843,0.056629,0.115495,0.94847,0.94369,0.771458,0.728188,0.972554,SEKER
0.058468,0.056922,0.115562,0.924891,0.906606,0.869315,0.833933,0.9864,SEKER
0.058541,0.05651,0.11569,0.969568,0.949217,0.705021,0.660345,0.975472,SEKER
0.058545,0.056844,0.115697,0.93904,0.940598,0.832532,0.792971,0.995985,SEKER
0.05863,0.057285,0.115847,0.906093,0.906708,0.750227,0.705621,0.982894,SEKER
0.05863,0.056498,0.115847,0.978811,0.976433,0.807437,0.765563,0.976945,SEKER
0.05875,0.057268,0.116056,0.918344,0.892729,0.825806,0.78497,0.982181,SEKER
0.058801,0.056728,0.116146,0.972802,0.983018,0.839163,0.799363,0.993987,SEKER
0.058869,0.057017,0.116265,0.952259,0.941156,0.792045,0.748417,0.963218,SEKER
0.058869,0.056629,0.116265,0.98814,0.985507,0.805529,0.762747,0.983025,SEKER
0.058925,0.057273,0.116363,0.933684,0.892415,0.734234,0.688449,0.993931,SEKER
0.058934,0.057268,0.116378,0.934831,0.923439,0.848598,0.809289,0.994745,SEKER
0.059006,0.056996,0.116505,0.966456,0.956216,0.740463,0.694522,0.967119,SEKER
0.059036,0.057912,0.116557,0.885056,0.856853,0.771999,0.726862,0.971173,SEKER
0.059066,0.057186,0.116609,0.954318,0.922079,0.794146,0.750013,0.996081,SEKER
0.05907,0.057264,0.116617,0.94748,0.943982,0.841782,0.801331,0.985548,SEKER
0.059092,0.057462,0.116654,0.931186,0.900777,0.799711,0.755833,0.988114,SEKER
0.059164,0.057936,0.116781,0.894247,0.830343,0.777136,0.731819,0.974759,SEKER
0.059228,0.057446,0.116893,0.944956,0.930035,0.765201,0.719213,0.971036,SEKER
0.059322,0.057367,0.117057,0.960596,0.929344,0.881071,0.844174,0.970369,SEKER
0.059356,0.057582,0.117117,0.943928,0.942987,0.796865,0.751967,0.988893,SEKER
0.059382,0.057837,0.117162,0.922768,0.899457,0.760917,0.714317,0.981977,SEKER
0.059408,0.057334,0.117206,0.971301,0.965912,0.783261,0.737467,0.989093,SEKER
0.059425,0.057297,0.117236,0.976259,0.953941,0.776638,0.730488,0.966218,SEKER
0.059476,0.057553,0.117326,0.957295,0.914307,0.684284,0.637359,0.989987,SEKER
0.059651,0.058023,0.117631,0.929824,0.886745,0.615658,0.572075,0.976802,SEKER
0.059668,0.057903,0.117661,0.942303,0.945744,0.766141,0.718835,0.978264,SEKER
0.059672,0.057524,0.117669,0.977557,0.972524,0.757201,0.709609,0.985218,SEKER
0.059681,0.058093,0.117684,0.926081,0.894767,0.779296,0.732465,0.972016,SEKER
0.059736,0.0582,0.11778,0.921237,0.86479,0.749466,0.701498,0.957742,SEKER
0.059745,0.057685,0.117795,0.969251,0.96156,0.732879,0.684653,0.99252,SEKER
0.059775,0.058542,0.117848,0.89347,0.84755,0.846154,0.803762,0.995417,SEKER
0.059783,0.058035,0.117862,0.940515,0.900585,0.750485,0.702397,0.947022,SEKER
0.0598,0.058155,0.117892,0.931097,0.887201,0.747936,0.699745,0.989768,SEKER
0.059813,0.058637,0.117915,0.88827,0.846006,0.780963,0.733793,0.947933,SEKER
0.059869,0.058299,0.118011,0.924004,0.914773,0.793353,0.746629,0.988089,SEKER
0.059877,0.058497,0.118026,0.906719,0.866417,0.726907,0.678262,0.938893,SEKER
0.059894,0.05841,0.118056,0.91613,0.875254,0.835946,0.792202,0.958441,SEKER
0.059954,0.057742,0.11816,0.982667,0.915356,0.601103,0.558023,0.970629,SEKER
0.059988,0.057973,0.11822,0.964495,0.966898,0.777665,0.729809,0.973921,SEKER
0.06001,0.058085,0.118257,0.95619,0.935692,0.830311,0.7857,0.99242,SEKER
0.060014,0.058513,0.118265,0.917381,0.905518,0.659334,0.61192,0.97721,SEKER
0.060048,0.059227,0.118324,0.85573,0.852166,0.737952,0.688876,0.928622,SEKER
0.060082,0.058311,0.118384,0.941907,0.923287,0.744438,0.695344,0.980029,SEKER
0.060133,0.058542,0.118473,0.925392,0.903915,0.708046,0.658762,0.987069,SEKER
0.060159,0.058093,0.118518,0.968777,0.960439,0.777232,0.728829,0.989312,SEKER
0.06021,0.058316,0.118607,0.952948,0.963574,0.842796,0.798629,0.993218,SEKER
0.060219,0.058513,0.118622,0.935626,0.928834,0.759794,0.710615,0.984817,SEKER
0.060257,0.059251,0.118689,0.872028,0.844239,0.939104,0.907578,0.993737,SEKER
0.060304,0.058299,0.118771,0.962832,0.947551,0.726137,0.676245,0.98974,SEKER
0.060304,0.058303,0.118771,0.962455,0.95584,0.81733,0.770742,0.985285,SEKER
0.060522,0.05839,0.11915,0.973933,0.955154,0.745436,0.69505,0.986576,SEKER
0.060548,0.058682,0.119194,0.949452,0.937258,0.768137,0.718208,0.994459,SEKER
0.060552,0.059214,0.119202,0.901481,0.86921,0.824934,0.778115,0.982382,SEKER
0.060642,0.059058,0.119358,0.923639,0.882104,0.719131,0.668284,0.983757,SEKER
0.060646,0.058872,0.119365,0.94089,0.927419,0.806163,0.757728,0.973378,SEKER
0.060659,0.058658,0.119388,0.961582,0.969844,0.764002,0.713609,0.970251,SEKER
0.060671,0.058666,0.11941,0.961968,0.951762,0.750193,0.69944,0.948659,SEKER
0.06068,0.058823,0.119425,0.948432,0.957504,0.793249,0.743969,0.991571,SEKER
0.060697,0.058724,0.119454,0.958975,0.971558,0.819845,0.772172,0.985163,SEKER
0.06071,0.058971,0.119477,0.937569,0.916442,0.73327,0.682214,0.962069,SEKER
0.060829,0.059156,0.119685,0.931307,0.89743,0.836054,0.789238,0.971092,SEKER
0.060851,0.059078,0.119722,0.940318,0.931976,0.724646,0.673172,0.977401,SEKER
0.060872,0.058942,0.119759,0.954596,0.969279,0.82868,0.781115,0.983277,SEKER
0.060889,0.058773,0.119789,0.971534,0.962817,0.773112,0.722309,0.974321,SEKER
0.060975,0.059651,0.119937,0.899351,0.848538,0.747302,0.695601,0.965246,SEKER
0.060987,0.059119,0.119959,0.948683,0.925199,0.779583,0.728722,0.975742,SEKER
0.061069,0.059012,0.1201,0.965637,0.960441,0.820888,0.772094,0.985509,SEKER
0.061098,0.059194,0.120152,0.951772,0.956203,0.803068,0.753014,0.965021,SEKER
0.061115,0.059095,0.120182,0.96229,0.960055,0.808828,0.759069,0.987734,SEKER
0.061175,0.059194,0.120286,0.958581,0.951402,0.738981,0.686598,0.995322,SEKER
0.06118,0.059206,0.120293,0.957834,0.96841,0.896368,0.854978,0.989918,SEKER
0.061188,0.059391,0.120308,0.941734,0.932222,0.870527,0.825928,0.976438,SEKER
0.061218,0.059635,0.12036,0.922338,0.870935,0.77639,0.7247,0.976391,SEKER
0.061235,0.059721,0.12039,0.916019,0.865279,0.793592,0.742596,0.981579,SEKER
0.061256,0.059239,0.120427,0.961642,0.968209,0.766043,0.713901,0.971056,SEKER
0.061278,0.059688,0.120464,0.92277,0.891599,0.78424,0.732678,0.986241,SEKER
0.061282,0.059441,0.120471,0.945555,0.954255,0.813578,0.763594,0.985658,SEKER
0.061291,0.059589,0.120486,0.932855,0.921566,0.808128,0.75777,0.98407,SEKER
0.061346,0.059536,0.120582,0.942617,0.924397,0.781766,0.729891,0.926765,SEKER
0.061367,0.059969,0.120619,0.905369,0.843986,0.814518,0.764325,0.997771,SEKER
0.061376,0.059787,0.120634,0.922494,0.837023,0.708579,0.655762,0.958388,SEKER
0.061376,0.059231,0.120634,0.972982,0.959244,0.718081,0.66514,0.985529,SEKER
0.061402,0.059511,0.120679,0.949767,0.956679,0.831229,0.782147,0.994549,SEKER
0.061577,0.059581,0.120982,0.958881,0.935761,0.771324,0.718372,0.968553,SEKER
0.061577,0.059519,0.120982,0.964495,0.968184,0.867714,0.821488,0.981405,SEKER
0.061602,0.05996,0.121027,0.92681,0.876509,0.72204,0.66842,0.96436,SEKER
0.061615,0.059507,0.121049,0.969016,0.94513,0.788977,0.736583,0.986028,SEKER
0.061679,0.060072,0.12116,0.923536,0.913824,0.855328,0.807478,0.982919,SEKER
0.061735,0.059791,0.121256,0.953768,0.962486,0.848775,0.800116,0.991406,SEKER
0.061735,0.059911,0.121256,0.942948,0.918592,0.80311,0.751059,0.977457,SEKER
0.061739,0.060245,0.121264,0.913194,0.860292,0.725757,0.671723,0.966697,SEKER
0.061739,0.06008,0.121264,0.928056,0.940059,0.868253,0.821539,0.963045,SEKER
0.061752,0.059919,0.121286,0.943708,0.914384,0.744191,0.690164,0.989437,SEKER
0.061756,0.059767,0.121293,0.957893,0.956292,0.768779,0.715209,0.975765,SEKER
0.061807,0.059952,0.121382,0.945618,0.928319,0.849955,0.801166,0.996209,SEKER
0.061876,0.060055,0.121501,0.942322,0.930533,0.737196,0.682763,0.971003,SEKER
0.061876,0.059857,0.121501,0.960223,0.972907,0.769016,0.715093,0.994383,SEKER
0.06188,0.060026,0.121508,0.945306,0.938678,0.79273,0.739692,0.9944,SEKER
0.061931,0.071351,0.121597,0,0.336194,0.506859,0.471454,0,SEKER
0.061974,0.060851,0.121671,0.879437,0.874884,0.795299,0.742094,0.959266,SEKER
0.061982,0.060472,0.121685,0.914189,0.903427,0.774139,0.720049,0.971183,SEKER
0.062021,0.059969,0.121752,0.962942,0.945366,0.741378,0.686544,0.983589,SEKER
0.062076,0.060063,0.121848,0.959252,0.961446,0.783601,0.729565,0.990899,SEKER
0.062085,0.060426,0.121863,0.927269,0.910849,0.713908,0.659009,0.946009,SEKER
0.062119,0.059915,0.121922,0.976454,0.957234,0.70831,0.653412,0.989419,SEKER
0.062119,0.062553,0.121922,0.741518,0.580266,0.658695,0.605701,0.903524,SEKER
0.062132,0.060125,0.121944,0.958547,0.958119,0.742213,0.687061,0.983216,SEKER
0.06217,0.060154,0.122011,0.959321,0.947115,0.764698,0.709779,0.985054,SEKER
0.062234,0.060245,0.122122,0.956761,0.922623,0.721357,0.665944,0.99288,SEKER
0.062349,0.060224,0.122321,0.968765,0.975405,0.779485,0.724464,0.978849,SEKER
0.062388,0.060537,0.122388,0.943871,0.947377,0.777198,0.721982,0.971264,SEKER
0.062435,0.060583,0.122469,0.94391,0.942289,0.852699,0.802099,0.991654,SEKER
0.062465,0.060455,0.122521,0.958051,0.927185,0.813473,0.759739,0.988245,SEKER
0.062507,0.060311,0.122594,0.974832,0.971449,0.801492,0.746944,0.978637,SEKER
0.06252,0.061403,0.122616,0.877922,0.807448,0.881904,0.834085,0.976414,SEKER
0.062537,0.060484,0.122646,0.961822,0.955817,0.813235,0.759259,0.986978,SEKER
0.06255,0.061337,0.122668,0.886409,0.8583,0.754308,0.698061,0.94592,SEKER
0.062601,0.060645,0.122757,0.952953,0.939262,0.748561,0.692094,0.970535,SEKER
0.06261,0.061131,0.122771,0.910041,0.88234,0.806803,0.752223,0.963294,SEKER
0.06261,0.060983,0.122771,0.92333,0.895155,0.826189,0.772841,0.979269,SEKER
0.062618,0.061729,0.122786,0.857528,0.851089,0.631114,0.57871,0.982311,SEKER
0.062627,0.060983,0.122801,0.924825,0.936262,0.721446,0.664919,0.981981,SEKER
0.062644,0.060937,0.122831,0.930387,0.880889,0.851743,0.800367,0.98929,SEKER
0.062644,0.06088,0.122831,0.935567,0.893769,0.774522,0.71845,0.959141,SEKER
0.062704,0.06111,0.122934,0.920099,0.883241,0.776491,0.7203,0.990541,SEKER
0.062708,0.06109,0.122941,0.922318,0.87932,0.790868,0.735198,0.990602,SEKER
0.062708,0.060851,0.122941,0.943769,0.924959,0.754263,0.697552,0.976087,SEKER
