@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,9,11-13,16-17'

@attribute Perimeter numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute Extent numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.104106,0.191493,0.125139,0.679955,0.828996,0.782425,0.525875,0.974633,SEKER
0.099295,0.194649,0.115676,0.648815,0.868106,0.797547,0.520558,0.980948,SEKER
0.096611,0.190643,0.127287,0.760014,0.890117,0.780734,0.52615,0.998165,SEKER
0.087598,0.194016,0.117598,0.754214,0.966387,0.794823,0.521374,0.985023,SEKER
0.089664,0.192457,0.122512,0.67233,0.948881,0.787195,0.523852,0.985093,SEKER
0.094709,0.207179,0.080186,0.716071,0.90814,0.854672,0.501311,0.977513,SEKER
0.089533,0.193569,0.120793,0.78474,0.952286,0.788801,0.522789,0.969723,SEKER
0.09806,0.199205,0.103246,0.718437,0.881228,0.817538,0.513195,0.985514,SEKER
0.092234,0.167074,0.207491,0.747577,0.930424,0.665175,0.566043,0.99017,SEKER
0.087276,0.200903,0.0983,0.698349,0.973021,0.826036,0.510202,0.993356,SEKER
0.095287,0.212311,0.067044,0.704759,0.905512,0.876323,0.493957,0.969666,SEKER
0.088368,0.184124,0.150732,0.688501,0.964222,0.744339,0.537533,0.98118,SEKER
0.084654,0.199075,0.105266,0.690507,1,0.814959,0.512972,0.994863,SEKER
0.088362,0.199794,0.10389,0.748832,0.968318,0.816586,0.512226,0.986653,SEKER
0.106724,0.171965,0.194021,0.662396,0.818502,0.681955,0.558635,0.96766,SEKER
0.08873,0.200923,0.101511,0.75567,0.965829,0.819351,0.511162,0.971579,SEKER
0.095795,0.176415,0.178558,0.702471,0.907266,0.704807,0.550034,0.988729,SEKER
0.093146,0.232212,0.017472,0.685056,0.931816,0.966231,0.46477,0.982575,SEKER
0.092653,0.180394,0.166716,0.747386,0.936673,0.721688,0.543305,0.98974,SEKER
0.091896,0.21461,0.064297,0.651793,0.943276,0.881522,0.490242,0.976548,SEKER
0.123068,0.172328,0.195255,0.657302,0.704329,0.68097,0.557498,0.978335,SEKER
0.099855,0.185873,0.151042,0.731157,0.880895,0.743968,0.534605,0.982459,SEKER
0.098495,0.196407,0.118632,0.774331,0.892118,0.792467,0.518093,0.974209,SEKER
0.102488,0.19907,0.110145,0.783757,0.860261,0.806763,0.513274,0.988409,SEKER
0.088345,0.198169,0.113502,0.755501,0.9785,0.800636,0.515233,0.976303,SEKER
0.105794,0.207898,0.084999,0.697781,0.834663,0.846734,0.500184,0.978389,SEKER
0.091992,0.178882,0.174251,0.712277,0.947477,0.71083,0.545919,0.987914,SEKER
0.093639,0.19591,0.120522,0.66919,0.933852,0.789932,0.518609,0.980042,SEKER
0.092219,0.202578,0.101377,0.728171,0.948083,0.820419,0.508049,0.983856,SEKER
0.095825,0.206041,0.091466,0.663203,0.918659,0.836879,0.502494,0.989565,SEKER
0.089049,0.211773,0.075887,0.669295,0.977687,0.862419,0.494064,0.985208,SEKER
0.091946,0.199796,0.110344,0.700167,0.952777,0.8066,0.512043,0.99061,SEKER
0.096447,0.189861,0.140898,0.640688,0.915069,0.759598,0.527749,0.990807,SEKER
0.091651,0.187113,0.149931,0.760515,0.955651,0.74578,0.532463,0.985037,SEKER
0.09729,0.210752,0.078656,0.750753,0.908315,0.858347,0.495225,0.993366,SEKER
0.090791,0.198567,0.115314,0.712469,0.963276,0.797153,0.515034,0.967023,SEKER
0.089921,0.200612,0.109375,0.683543,0.971565,0.806733,0.511699,0.970363,SEKER
0.095627,0.196123,0.123215,0.691295,0.923035,0.78465,0.519016,0.963841,SEKER
0.089467,0.213306,0.07223,0.743032,0.976268,0.869084,0.491479,0.992115,SEKER
0.092597,0.199717,0.111555,0.7624,0.94981,0.804933,0.512004,0.994162,SEKER
0.090911,0.191904,0.136609,0.727549,0.96602,0.765629,0.524753,0.984671,SEKER
0.090598,0.21523,0.068523,0.734013,0.970809,0.875671,0.488462,0.996091,SEKER
0.091432,0.193764,0.132128,0.660066,0.963844,0.772009,0.522066,0.978684,SEKER
0.094262,0.203408,0.103186,0.672125,0.939751,0.816961,0.507137,0.975827,SEKER
0.088164,0.229246,0.03152,0.734225,0.992823,0.941065,0.468356,0.995443,SEKER
0.098945,0.193505,0.134111,0.593619,0.901938,0.768068,0.523108,0.965026,SEKER
0.096946,0.201224,0.109791,0.664172,0.919347,0.807686,0.509693,0.99366,SEKER
0.091069,0.20859,0.088364,0.707629,0.969582,0.842429,0.498344,0.996141,SEKER
0.091818,0.203864,0.102709,0.619988,0.96318,0.818132,0.506173,0.981688,SEKER
0.113262,0.228057,0.036658,0.693155,0.792266,0.930416,0.470795,0.977742,SEKER
0.099606,0.206444,0.095387,0.733177,0.899881,0.831043,0.501525,0.99749,SEKER
0.092201,0.22083,0.055551,0.765324,0.962136,0.897759,0.480501,0.991534,SEKER
0.09882,0.202083,0.109636,0.667685,0.906944,0.806306,0.509432,0.970162,SEKER
0.094681,0.202379,0.108353,0.74285,0.941918,0.809298,0.508348,0.98403,SEKER
0.095593,0.18698,0.158485,0.678433,0.938657,0.732454,0.533235,0.973134,SEKER
0.100614,0.188382,0.154506,0.797414,0.897833,0.738019,0.531123,0.9696,SEKER
0.089682,0.2121,0.082195,0.744818,0.990548,0.852456,0.493203,0.993605,SEKER
0.096595,0.219331,0.063464,0.715444,0.934603,0.884271,0.482516,0.995033,SEKER
0.099002,0.191455,0.146091,0.735824,0.915417,0.7514,0.525498,0.984114,SEKER
0.0901,0.215493,0.075116,0.749883,0.992016,0.863768,0.488525,0.985928,SEKER
0.093311,0.210169,0.090753,0.729586,0.964976,0.837334,0.496722,0.979376,SEKER
0.1001,0.201397,0.11623,0.671037,0.908384,0.797188,0.509668,0.988321,SEKER
0.099159,0.213686,0.080768,0.742914,0.916354,0.854286,0.491195,0.985843,SEKER
0.09566,0.182497,0.176264,0.726775,0.946107,0.707917,0.539947,0.986911,SEKER
0.108569,0.204357,0.108671,0.707246,0.84154,0.807704,0.506023,0.968291,SEKER
0.09459,0.214847,0.077703,0.695721,0.955524,0.859699,0.489301,0.98988,SEKER
0.098372,0.190556,0.150115,0.786861,0.92383,0.74589,0.526635,0.990682,SEKER
0.097376,0.197379,0.128941,0.749349,0.932696,0.7779,0.51567,0.993774,SEKER
0.096861,0.208324,0.097746,0.667185,0.940062,0.826859,0.498916,0.99231,SEKER
0.097613,0.191054,0.151651,0.758852,0.934653,0.742095,0.526888,0.967968,SEKER
0.09847,0.182954,0.177126,0.663331,0.927505,0.70666,0.539221,0.986283,SEKER
0.113387,0.175138,0.203761,0.691876,0.809962,0.670354,0.552015,0.992615,SEKER
0.097739,0.187217,0.163815,0.694409,0.934444,0.725208,0.532525,0.98006,SEKER
0.09698,0.213975,0.083107,0.673544,0.941257,0.849926,0.491064,0.979174,SEKER
0.101378,0.187757,0.162459,0.740951,0.90497,0.727012,0.531754,0.977786,SEKER
0.098831,0.220855,0.064105,0.71704,0.927133,0.882943,0.48045,0.991866,SEKER
0.095169,0.212826,0.087418,0.673505,0.95812,0.842113,0.493202,0.969421,SEKER
0.092581,0.19738,0.132365,0.729079,0.980813,0.772399,0.515856,0.989681,SEKER
0.099562,0.19219,0.150286,0.717938,0.922967,0.743894,0.525213,0.964867,SEKER
0.09676,0.203141,0.115658,0.6386,0.9469,0.798254,0.506868,0.990812,SEKER
0.104431,0.201819,0.120222,0.651656,0.884583,0.790781,0.509138,0.985641,SEKER
0.100536,0.190351,0.156175,0.606896,0.916375,0.736202,0.527515,0.978827,SEKER
0.094076,0.220233,0.067437,0.751958,0.971128,0.877104,0.481425,0.990151,SEKER
0.09832,0.195089,0.141823,0.792673,0.936384,0.757579,0.51984,0.981455,SEKER
0.106706,0.202252,0.120311,0.665646,0.868938,0.790266,0.50872,0.980139,SEKER
0.097597,0.198502,0.132215,0.782013,0.94369,0.771458,0.514883,0.972554,SEKER
0.102132,0.219132,0.071855,0.705568,0.906606,0.869315,0.483186,0.9864,SEKER
0.097115,0.184388,0.17778,0.772648,0.949217,0.705021,0.537365,0.975472,SEKER
0.098146,0.211118,0.094406,0.692585,0.940598,0.832532,0.49456,0.995985,SEKER
0.102377,0.194035,0.146826,0.627706,0.906708,0.750227,0.521442,0.982894,SEKER
0.094064,0.206475,0.109218,0.716984,0.976433,0.807437,0.502404,0.976945,SEKER
0.104289,0.210492,0.097961,0.716356,0.892729,0.825806,0.496112,0.982181,SEKER
0.093567,0.213103,0.09026,0.696942,0.983018,0.839163,0.491696,0.993987,SEKER
0.098588,0.204044,0.118417,0.651107,0.941156,0.792045,0.506733,0.963218,SEKER
0.093385,0.206352,0.11069,0.704403,0.985507,0.805529,0.502317,0.983025,SEKER
0.104606,0.190847,0.158223,0.702645,0.892415,0.734234,0.526018,0.993931,SEKER
0.100818,0.215365,0.084567,0.736676,0.923439,0.848598,0.488323,0.994745,SEKER
0.097015,0.193113,0.152723,0.689139,0.956216,0.740463,0.523635,0.967119,SEKER
0.109259,0.199826,0.131798,0.721319,0.856853,0.771999,0.512883,0.971173,SEKER
0.101191,0.203905,0.11852,0.764214,0.922079,0.794146,0.505459,0.996081,SEKER
0.098565,0.214449,0.088305,0.707825,0.943982,0.841782,0.49008,0.985548,SEKER
0.103836,0.205384,0.11461,0.690974,0.900777,0.799711,0.503559,0.988114,SEKER
0.112889,0.201071,0.128591,0.668421,0.830343,0.777136,0.510788,0.974759,SEKER
0.100484,0.198739,0.136278,0.72931,0.930035,0.765201,0.514583,0.971036,SEKER
0.100715,0.223851,0.064304,0.777346,0.929344,0.881071,0.477088,0.970369,SEKER
0.099132,0.205264,0.116462,0.746762,0.942987,0.796865,0.503708,0.988893,SEKER
0.104458,0.197792,0.139618,0.766474,0.899457,0.760917,0.515562,0.981977,SEKER
0.096499,0.202434,0.125239,0.719703,0.965912,0.783261,0.508033,0.989093,SEKER
0.097936,0.201717,0.128534,0.818586,0.953941,0.776638,0.510178,0.966218,SEKER
0.102782,0.18127,0.193396,0.733565,0.914307,0.684284,0.541837,0.989987,SEKER
0.106463,0.167202,0.244852,0.767558,0.886745,0.615658,0.566465,0.976802,SEKER
0.09929,0.199572,0.135981,0.72815,0.945744,0.766141,0.512955,0.978264,SEKER
0.096136,0.197453,0.142247,0.75888,0.972524,0.757201,0.515945,0.985218,SEKER
0.105512,0.202611,0.127058,0.697659,0.894767,0.779296,0.508535,0.972016,SEKER
0.109367,0.196712,0.14619,0.789319,0.86479,0.749466,0.518368,0.957742,SEKER
0.097535,0.192148,0.15909,0.746736,0.96156,0.732879,0.524002,0.99252,SEKER
0.111637,0.216481,0.086073,0.707308,0.84755,0.846154,0.486655,0.995417,SEKER
0.104953,0.197335,0.145015,0.644601,0.900585,0.750485,0.517882,0.947022,SEKER
0.106643,0.195572,0.148687,0.65496,0.887201,0.747936,0.518695,0.989768,SEKER
0.111898,0.203936,0.124899,0.715567,0.846006,0.780963,0.507591,0.947933,SEKER
0.103343,0.205524,0.118677,0.757719,0.914773,0.793353,0.503348,0.988089,SEKER
0.109385,0.192664,0.160723,0.737698,0.866417,0.726907,0.525658,0.938893,SEKER
0.108293,0.215634,0.090706,0.612677,0.875254,0.835946,0.489538,0.958441,SEKER
0.103406,0.164784,0.25615,0.691157,0.915356,0.601103,0.571022,0.970629,SEKER
0.097285,0.202795,0.128208,0.753838,0.966898,0.777665,0.508165,0.973921,SEKER
0.101027,0.213624,0.09562,0.765548,0.935692,0.830311,0.490995,0.99242,SEKER
0.104708,0.177255,0.211226,0.711365,0.905518,0.659334,0.549163,0.97721,SEKER
0.11148,0.195671,0.152663,0.596253,0.852166,0.737952,0.521353,0.928622,SEKER
0.102641,0.195637,0.150612,0.741561,0.923287,0.744438,0.51904,0.980029,SEKER
0.105094,0.18769,0.176181,0.61892,0.903915,0.708046,0.531432,0.987069,SEKER
0.098311,0.202576,0.129179,0.734494,0.960439,0.777232,0.507804,0.989312,SEKER
0.09802,0.216682,0.088016,0.741398,0.963574,0.842796,0.486458,0.993218,SEKER
0.102182,0.199065,0.140496,0.741602,0.928834,0.759794,0.513445,0.984817,SEKER
0.112838,0.237506,0.032524,0.685214,0.844239,0.939104,0.457003,0.993737,SEKER
0.100066,0.191831,0.163621,0.687983,0.947551,0.726137,0.524637,0.98974,SEKER
0.09908,0.211617,0.103366,0.744564,0.95584,0.81733,0.494294,0.985285,SEKER
0.0995,0.196494,0.150235,0.727346,0.955154,0.745436,0.517389,0.986576,SEKER
0.101679,0.201208,0.13539,0.715632,0.937258,0.768137,0.50968,0.994459,SEKER
0.110103,0.213826,0.098509,0.724735,0.86921,0.824934,0.491141,0.982382,SEKER
0.108614,0.191126,0.168222,0.670392,0.882104,0.719131,0.526042,0.983757,SEKER
0.103022,0.210227,0.109867,0.657043,0.927419,0.806163,0.496904,0.973378,SEKER
0.097977,0.201239,0.137037,0.664351,0.969844,0.764002,0.510733,0.970251,SEKER
0.100135,0.198913,0.145286,0.612782,0.951762,0.750193,0.515334,0.948659,SEKER
0.099466,0.206964,0.118897,0.660614,0.957504,0.793249,0.501004,0.991571,SEKER
0.097836,0.212927,0.101791,0.671315,0.971558,0.819845,0.49235,0.985163,SEKER
0.10446,0.194936,0.157412,0.651577,0.916442,0.73327,0.520973,0.962069,SEKER
0.106994,0.21711,0.091181,0.779996,0.89743,0.836054,0.486809,0.971092,SEKER
0.10279,0.192893,0.164082,0.676966,0.931976,0.724646,0.523512,0.977401,SEKER
0.098374,0.215233,0.096232,0.716009,0.969279,0.82868,0.489025,0.983277,SEKER
0.099162,0.203528,0.131207,0.70969,0.962817,0.773112,0.507021,0.974321,SEKER
0.113427,0.198377,0.147995,0.619411,0.848538,0.747302,0.515413,0.965246,SEKER
0.103825,0.205072,0.127038,0.700994,0.925199,0.779583,0.504593,0.975742,SEKER
0.09972,0.213865,0.101157,0.756115,0.960441,0.820888,0.490945,0.985509,SEKER
0.100269,0.210684,0.111461,0.713552,0.956203,0.803068,0.496593,0.965021,SEKER
0.099839,0.211283,0.108811,0.715688,0.960055,0.808828,0.494682,0.987734,SEKER
0.10096,0.19608,0.155033,0.73607,0.951402,0.738981,0.51764,0.995322,SEKER
0.098951,0.230263,0.056281,0.692071,0.96841,0.896368,0.46717,0.989918,SEKER
0.103286,0.225107,0.070725,0.803379,0.932222,0.870527,0.475029,0.976438,SEKER
0.11094,0.204804,0.129152,0.743361,0.870935,0.77639,0.504974,0.976391,SEKER
0.111688,0.208404,0.118236,0.712501,0.865279,0.793592,0.499277,0.981579,SEKER
0.099093,0.202796,0.135721,0.633007,0.968209,0.766043,0.508294,0.971056,SEKER
0.108428,0.206325,0.124477,0.735536,0.891599,0.78424,0.502214,0.986241,SEKER
0.100786,0.212695,0.105732,0.668635,0.954255,0.813578,0.492673,0.985658,SEKER
0.104742,0.21158,0.109093,0.724545,0.921566,0.808128,0.494402,0.98407,SEKER
0.104483,0.207688,0.123434,0.551722,0.924397,0.781766,0.502828,0.926765,SEKER
0.114645,0.2127,0.105669,0.738596,0.843986,0.814518,0.492126,0.997771,SEKER
0.115567,0.190949,0.174451,0.617225,0.837023,0.708579,0.527502,0.958388,SEKER
0.100338,0.192222,0.169039,0.738742,0.959244,0.718081,0.524207,0.985529,SEKER
0.100682,0.216477,0.095146,0.73764,0.956679,0.831229,0.486699,0.994549,SEKER
0.103463,0.204624,0.132124,0.751944,0.935761,0.771324,0.505603,0.968553,SEKER
0.09959,0.225115,0.072592,0.747125,0.968184,0.867714,0.474802,0.981405,SEKER
0.11084,0.194115,0.165286,0.66168,0.876509,0.72204,0.522169,0.96436,SEKER
0.102393,0.208003,0.121403,0.698629,0.94513,0.788977,0.499682,0.986028,SEKER
0.106299,0.222588,0.080021,0.765134,0.913824,0.855328,0.478347,0.982919,SEKER
0.100508,0.22102,0.084319,0.675146,0.962486,0.848775,0.480233,0.991406,SEKER
0.1058,0.211549,0.11198,0.737152,0.918592,0.80311,0.494744,0.977457,SEKER
0.113127,0.195109,0.162813,0.689884,0.860292,0.725757,0.520486,0.966697,SEKER
0.103196,0.226116,0.071506,0.762506,0.940059,0.868253,0.47418,0.963045,SEKER
0.106344,0.198464,0.151211,0.764289,0.914384,0.744191,0.514172,0.989437,SEKER
0.101277,0.204201,0.134125,0.786233,0.956292,0.768779,0.505924,0.975765,SEKER
0.104724,0.221272,0.083811,0.668161,0.928319,0.849955,0.479659,0.996209,SEKER
0.104561,0.19772,0.155133,0.666497,0.930533,0.737196,0.516178,0.971003,SEKER
0.099494,0.20393,0.134807,0.694017,0.972907,0.769016,0.505498,0.994383,SEKER
0.103581,0.209074,0.119356,0.704651,0.938678,0.79273,0.497693,0.9944,SEKER
0.199846,0.175096,0.282677,0.504312,0.336194,0.506859,0.601918,0,SEKER
0.111633,0.21086,0.116157,0.648965,0.874884,0.795299,0.496587,0.959266,SEKER
0.108059,0.20593,0.130393,0.744764,0.903427,0.774139,0.503492,0.971183,SEKER
0.102994,0.198532,0.152856,0.65842,0.945366,0.741378,0.514332,0.983589,SEKER
0.101158,0.207576,0.125099,0.780407,0.961446,0.783601,0.500108,0.990899,SEKER
0.1073,0.193785,0.170114,0.798311,0.910849,0.713908,0.523541,0.946009,SEKER
0.101725,0.191376,0.176105,0.643962,0.957234,0.70831,0.525379,0.989419,SEKER
0.154494,0.18306,0.208092,0.604904,0.580266,0.658695,0.542947,0.903524,SEKER
0.101639,0.198933,0.152271,0.730634,0.958119,0.742213,0.513724,0.983216,SEKER
0.103015,0.203829,0.137244,0.739759,0.947115,0.764698,0.506074,0.985054,SEKER
0.106085,0.19432,0.167093,0.651949,0.922623,0.721357,0.520531,0.99288,SEKER
0.099929,0.207563,0.12724,0.760631,0.975405,0.779485,0.50067,0.978849,SEKER
0.10332,0.207365,0.128394,0.78383,0.947377,0.777198,0.501311,0.971264,SEKER
0.104006,0.223235,0.081966,0.78722,0.942289,0.852699,0.477038,0.991654,SEKER
0.105886,0.214882,0.10591,0.714648,0.927185,0.813473,0.489322,0.988245,SEKER
0.100638,0.212651,0.11306,0.715362,0.971449,0.801492,0.493051,0.978637,SEKER
0.121325,0.230213,0.06407,0.718687,0.807448,0.881904,0.467823,0.976414,SEKER
0.10254,0.215008,0.106004,0.750754,0.955817,0.813235,0.489192,0.986978,SEKER
0.114669,0.203447,0.142398,0.634869,0.8583,0.754308,0.508434,0.94592,SEKER
0.104629,0.201568,0.147385,0.685567,0.939262,0.748561,0.510212,0.970535,SEKER
0.111689,0.214464,0.109022,0.682896,0.88234,0.806803,0.491048,0.963294,SEKER
0.110075,0.218195,0.097599,0.731428,0.895155,0.826189,0.484863,0.979269,SEKER
0.115711,0.175735,0.233018,0.579461,0.851089,0.631114,0.551491,0.982311,SEKER
0.105032,0.195388,0.166523,0.687182,0.936262,0.721446,0.519343,0.981981,SEKER
0.111927,0.223509,0.082441,0.723547,0.880889,0.851743,0.476749,0.98929,SEKER
0.110302,0.207632,0.129602,0.666021,0.893769,0.774522,0.501452,0.959141,SEKER
0.111723,0.20724,0.129719,0.73149,0.883241,0.776491,0.500632,0.990541,SEKER
0.112227,0.21037,0.120386,0.74664,0.87932,0.790868,0.495919,0.990602,SEKER
0.106536,0.202845,0.1438,0.820488,0.924959,0.754263,0.50799,0.976087,SEKER
