@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,11-13,16-17'

@attribute Perimeter numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.088661,0.89934,0.673931,0.577888,0.962461,SEKER
0.082395,0.953685,0.74739,0.551108,0.981401,SEKER
0.087575,0.909531,0.847707,0.517038,0.983616,SEKER
0.080339,0.972944,0.851111,0.515751,0.977958,SEKER
0.098982,0.817997,0.617267,0.598896,0.94395,SEKER
0.095059,0.851587,0.750379,0.549049,0.980103,SEKER
0.084778,0.937546,0.771758,0.541542,0.985376,SEKER
0.08911,0.903827,0.830409,0.521023,0.97474,SEKER
0.091385,0.887546,0.789725,0.534005,0.993634,SEKER
0.088221,0.9143,0.774834,0.539024,0.97893,SEKER
0.096367,0.848121,0.793494,0.532449,0.996269,SEKER
0.081687,0.972768,0.797253,0.530929,0.983943,SEKER
0.089052,0.909638,0.799659,0.53002,0.977709,SEKER
0.087416,0.923717,0.777301,0.537563,0.998807,SEKER
0.083402,0.959368,0.832349,0.518852,0.986491,SEKER
0.085479,0.943936,0.844169,0.514386,0.978648,SEKER
0.088226,0.921304,0.79567,0.530261,0.987115,SEKER
0.090666,0.901756,0.797938,0.529261,0.985525,SEKER
0.103139,0.802468,0.793952,0.530427,0.979417,SEKER
0.080974,0.986675,0.824756,0.52003,0.986573,SEKER
0.088334,0.925961,0.81851,0.52132,0.98824,SEKER
0.088396,0.927314,0.756272,0.541989,0.990189,SEKER
0.085084,0.958731,0.802444,0.525567,0.985682,SEKER
0.08689,0.943319,0.804795,0.524726,0.99141,SEKER
0.089273,0.922971,0.810099,0.522956,0.987828,SEKER
0.095286,0.873428,0.76012,0.539822,0.981718,SEKER
0.090943,0.912376,0.739717,0.546194,0.990108,SEKER
0.085475,0.959311,0.769965,0.535657,0.996861,SEKER
0.095885,0.873667,0.84669,0.509637,0.940664,SEKER
0.090559,0.918166,0.650863,0.577861,0.938507,SEKER
0.087847,0.945691,0.767785,0.534796,0.99242,SEKER
0.088809,0.937854,0.781364,0.530068,0.989843,SEKER
0.092636,0.90602,0.884936,0.496148,0.991929,SEKER
0.090333,0.926294,0.90028,0.491147,0.974856,SEKER
0.093027,0.906272,0.796012,0.524191,0.980143,SEKER
0.085628,0.969499,0.830234,0.512851,0.99023,SEKER
0.086465,0.963375,0.769381,0.532923,0.985288,SEKER
0.089063,0.941013,0.793637,0.52469,0.975471,SEKER
0.088313,0.94762,0.832671,0.511736,0.984101,SEKER
0.091306,0.923868,0.813399,0.517662,0.966738,SEKER
0.098898,0.861779,0.852594,0.5048,0.971569,SEKER
0.095417,0.890788,0.708965,0.55332,0.9558,SEKER
0.089534,0.941307,0.830059,0.511643,0.995402,SEKER
0.09242,0.91773,0.751537,0.537833,0.988171,SEKER
0.100556,0.853211,0.847567,0.505308,0.990019,SEKER
0.09031,0.937886,0.775519,0.529064,0.979355,SEKER
0.098218,0.872754,0.819947,0.514102,0.983799,SEKER
0.098242,0.873296,0.969532,0.467415,0.986116,SEKER
0.111954,0.767375,0.758946,0.534376,0.96229,SEKER
0.104106,0.828996,0.782425,0.525875,0.974633,SEKER
0.099295,0.868106,0.797547,0.520558,0.980948,SEKER
0.096611,0.890117,0.780734,0.52615,0.998165,SEKER
0.087598,0.966387,0.794823,0.521374,0.985023,SEKER
0.089664,0.948881,0.787195,0.523852,0.985093,SEKER
0.094709,0.90814,0.854672,0.501311,0.977513,SEKER
0.089533,0.952286,0.788801,0.522789,0.969723,SEKER
0.09806,0.881228,0.817538,0.513195,0.985514,SEKER
0.092234,0.930424,0.665175,0.566043,0.99017,SEKER
0.087276,0.973021,0.826036,0.510202,0.993356,SEKER
0.095287,0.905512,0.876323,0.493957,0.969666,SEKER
0.088368,0.964222,0.744339,0.537533,0.98118,SEKER
0.084654,1,0.814959,0.512972,0.994863,SEKER
0.088362,0.968318,0.816586,0.512226,0.986653,SEKER
0.106724,0.818502,0.681955,0.558635,0.96766,SEKER
0.08873,0.965829,0.819351,0.511162,0.971579,SEKER
0.095795,0.907266,0.704807,0.550034,0.988729,SEKER
0.093146,0.931816,0.966231,0.46477,0.982575,SEKER
0.092653,0.936673,0.721688,0.543305,0.98974,SEKER
0.091896,0.943276,0.881522,0.490242,0.976548,SEKER
0.123068,0.704329,0.68097,0.557498,0.978335,SEKER
0.099855,0.880895,0.743968,0.534605,0.982459,SEKER
0.098495,0.892118,0.792467,0.518093,0.974209,SEKER
0.102488,0.860261,0.806763,0.513274,0.988409,SEKER
0.088345,0.9785,0.800636,0.515233,0.976303,SEKER
0.105794,0.834663,0.846734,0.500184,0.978389,SEKER
0.091992,0.947477,0.71083,0.545919,0.987914,SEKER
0.093639,0.933852,0.789932,0.518609,0.980042,SEKER
0.092219,0.948083,0.820419,0.508049,0.983856,SEKER
0.095825,0.918659,0.836879,0.502494,0.989565,SEKER
0.089049,0.977687,0.862419,0.494064,0.985208,SEKER
0.091946,0.952777,0.8066,0.512043,0.99061,SEKER
0.096447,0.915069,0.759598,0.527749,0.990807,SEKER
0.091651,0.955651,0.74578,0.532463,0.985037,SEKER
0.09729,0.908315,0.858347,0.495225,0.993366,SEKER
0.090791,0.963276,0.797153,0.515034,0.967023,SEKER
0.089921,0.971565,0.806733,0.511699,0.970363,SEKER
0.095627,0.923035,0.78465,0.519016,0.963841,SEKER
0.089467,0.976268,0.869084,0.491479,0.992115,SEKER
0.092597,0.94981,0.804933,0.512004,0.994162,SEKER
0.090911,0.96602,0.765629,0.524753,0.984671,SEKER
0.090598,0.970809,0.875671,0.488462,0.996091,SEKER
0.091432,0.963844,0.772009,0.522066,0.978684,SEKER
0.094262,0.939751,0.816961,0.507137,0.975827,SEKER
0.088164,0.992823,0.941065,0.468356,0.995443,SEKER
0.098945,0.901938,0.768068,0.523108,0.965026,SEKER
0.096946,0.919347,0.807686,0.509693,0.99366,SEKER
0.091069,0.969582,0.842429,0.498344,0.996141,SEKER
0.091818,0.96318,0.818132,0.506173,0.981688,SEKER
0.113262,0.792266,0.930416,0.470795,0.977742,SEKER
0.099606,0.899881,0.831043,0.501525,0.99749,SEKER
0.092201,0.962136,0.897759,0.480501,0.991534,SEKER
0.09882,0.906944,0.806306,0.509432,0.970162,SEKER
0.094681,0.941918,0.809298,0.508348,0.98403,SEKER
0.095593,0.938657,0.732454,0.533235,0.973134,SEKER
0.100614,0.897833,0.738019,0.531123,0.9696,SEKER
0.089682,0.990548,0.852456,0.493203,0.993605,SEKER
0.096595,0.934603,0.884271,0.482516,0.995033,SEKER
0.099002,0.915417,0.7514,0.525498,0.984114,SEKER
0.0901,0.992016,0.863768,0.488525,0.985928,SEKER
0.093311,0.964976,0.837334,0.496722,0.979376,SEKER
0.1001,0.908384,0.797188,0.509668,0.988321,SEKER
0.099159,0.916354,0.854286,0.491195,0.985843,SEKER
0.09566,0.946107,0.707917,0.539947,0.986911,SEKER
0.108569,0.84154,0.807704,0.506023,0.968291,SEKER
0.09459,0.955524,0.859699,0.489301,0.98988,SEKER
0.098372,0.92383,0.74589,0.526635,0.990682,SEKER
0.097376,0.932696,0.7779,0.51567,0.993774,SEKER
0.096861,0.940062,0.826859,0.498916,0.99231,SEKER
0.097613,0.934653,0.742095,0.526888,0.967968,SEKER
0.09847,0.927505,0.70666,0.539221,0.986283,SEKER
0.113387,0.809962,0.670354,0.552015,0.992615,SEKER
0.097739,0.934444,0.725208,0.532525,0.98006,SEKER
0.09698,0.941257,0.849926,0.491064,0.979174,SEKER
0.101378,0.90497,0.727012,0.531754,0.977786,SEKER
0.098831,0.927133,0.882943,0.48045,0.991866,SEKER
0.095169,0.95812,0.842113,0.493202,0.969421,SEKER
0.092581,0.980813,0.772399,0.515856,0.989681,SEKER
0.099562,0.922967,0.743894,0.525213,0.964867,SEKER
0.09676,0.9469,0.798254,0.506868,0.990812,SEKER
0.104431,0.884583,0.790781,0.509138,0.985641,SEKER
0.100536,0.916375,0.736202,0.527515,0.978827,SEKER
0.094076,0.971128,0.877104,0.481425,0.990151,SEKER
0.09832,0.936384,0.757579,0.51984,0.981455,SEKER
0.106706,0.868938,0.790266,0.50872,0.980139,SEKER
0.097597,0.94369,0.771458,0.514883,0.972554,SEKER
0.102132,0.906606,0.869315,0.483186,0.9864,SEKER
0.097115,0.949217,0.705021,0.537365,0.975472,SEKER
0.098146,0.940598,0.832532,0.49456,0.995985,SEKER
0.102377,0.906708,0.750227,0.521442,0.982894,SEKER
0.094064,0.976433,0.807437,0.502404,0.976945,SEKER
0.104289,0.892729,0.825806,0.496112,0.982181,SEKER
0.093567,0.983018,0.839163,0.491696,0.993987,SEKER
0.098588,0.941156,0.792045,0.506733,0.963218,SEKER
0.093385,0.985507,0.805529,0.502317,0.983025,SEKER
0.104606,0.892415,0.734234,0.526018,0.993931,SEKER
0.100818,0.923439,0.848598,0.488323,0.994745,SEKER
0.097015,0.956216,0.740463,0.523635,0.967119,SEKER
0.109259,0.856853,0.771999,0.512883,0.971173,SEKER
0.101191,0.922079,0.794146,0.505459,0.996081,SEKER
0.098565,0.943982,0.841782,0.49008,0.985548,SEKER
0.103836,0.900777,0.799711,0.503559,0.988114,SEKER
0.112889,0.830343,0.777136,0.510788,0.974759,SEKER
0.100484,0.930035,0.765201,0.514583,0.971036,SEKER
0.100715,0.929344,0.881071,0.477088,0.970369,SEKER
0.099132,0.942987,0.796865,0.503708,0.988893,SEKER
0.104458,0.899457,0.760917,0.515562,0.981977,SEKER
0.096499,0.965912,0.783261,0.508033,0.989093,SEKER
0.097936,0.953941,0.776638,0.510178,0.966218,SEKER
0.102782,0.914307,0.684284,0.541837,0.989987,SEKER
0.106463,0.886745,0.615658,0.566465,0.976802,SEKER
0.09929,0.945744,0.766141,0.512955,0.978264,SEKER
0.096136,0.972524,0.757201,0.515945,0.985218,SEKER
0.105512,0.894767,0.779296,0.508535,0.972016,SEKER
0.109367,0.86479,0.749466,0.518368,0.957742,SEKER
0.097535,0.96156,0.732879,0.524002,0.99252,SEKER
0.111637,0.84755,0.846154,0.486655,0.995417,SEKER
0.104953,0.900585,0.750485,0.517882,0.947022,SEKER
0.106643,0.887201,0.747936,0.518695,0.989768,SEKER
0.111898,0.846006,0.780963,0.507591,0.947933,SEKER
0.103343,0.914773,0.793353,0.503348,0.988089,SEKER
0.109385,0.866417,0.726907,0.525658,0.938893,SEKER
0.108293,0.875254,0.835946,0.489538,0.958441,SEKER
0.103406,0.915356,0.601103,0.571022,0.970629,SEKER
0.097285,0.966898,0.777665,0.508165,0.973921,SEKER
0.101027,0.935692,0.830311,0.490995,0.99242,SEKER
0.104708,0.905518,0.659334,0.549163,0.97721,SEKER
0.11148,0.852166,0.737952,0.521353,0.928622,SEKER
0.102641,0.923287,0.744438,0.51904,0.980029,SEKER
0.105094,0.903915,0.708046,0.531432,0.987069,SEKER
0.098311,0.960439,0.777232,0.507804,0.989312,SEKER
0.09802,0.963574,0.842796,0.486458,0.993218,SEKER
0.102182,0.928834,0.759794,0.513445,0.984817,SEKER
0.112838,0.844239,0.939104,0.457003,0.993737,SEKER
0.100066,0.947551,0.726137,0.524637,0.98974,SEKER
0.09908,0.95584,0.81733,0.494294,0.985285,SEKER
0.0995,0.955154,0.745436,0.517389,0.986576,SEKER
0.101679,0.937258,0.768137,0.50968,0.994459,SEKER
0.110103,0.86921,0.824934,0.491141,0.982382,SEKER
0.108614,0.882104,0.719131,0.526042,0.983757,SEKER
0.103022,0.927419,0.806163,0.496904,0.973378,SEKER
0.097977,0.969844,0.764002,0.510733,0.970251,SEKER
0.100135,0.951762,0.750193,0.515334,0.948659,SEKER
0.099466,0.957504,0.793249,0.501004,0.991571,SEKER
0.097836,0.971558,0.819845,0.49235,0.985163,SEKER
0.10446,0.916442,0.73327,0.520973,0.962069,SEKER
0.106994,0.89743,0.836054,0.486809,0.971092,SEKER
0.10279,0.931976,0.724646,0.523512,0.977401,SEKER
0.098374,0.969279,0.82868,0.489025,0.983277,SEKER
0.099162,0.962817,0.773112,0.507021,0.974321,SEKER
0.113427,0.848538,0.747302,0.515413,0.965246,SEKER
0.103825,0.925199,0.779583,0.504593,0.975742,SEKER
0.09972,0.960441,0.820888,0.490945,0.985509,SEKER
0.100269,0.956203,0.803068,0.496593,0.965021,SEKER
0.099839,0.960055,0.808828,0.494682,0.987734,SEKER
0.10096,0.951402,0.738981,0.51764,0.995322,SEKER
0.098951,0.96841,0.896368,0.46717,0.989918,SEKER
0.103286,0.932222,0.870527,0.475029,0.976438,SEKER
0.11094,0.870935,0.77639,0.504974,0.976391,SEKER
0.111688,0.865279,0.793592,0.499277,0.981579,SEKER
0.099093,0.968209,0.766043,0.508294,0.971056,SEKER
0.108428,0.891599,0.78424,0.502214,0.986241,SEKER
0.100786,0.954255,0.813578,0.492673,0.985658,SEKER
0.104742,0.921566,0.808128,0.494402,0.98407,SEKER
0.104483,0.924397,0.781766,0.502828,0.926765,SEKER
0.114645,0.843986,0.814518,0.492126,0.997771,SEKER
0.115567,0.837023,0.708579,0.527502,0.958388,SEKER
0.100338,0.959244,0.718081,0.524207,0.985529,SEKER
0.100682,0.956679,0.831229,0.486699,0.994549,SEKER
0.103463,0.935761,0.771324,0.505603,0.968553,SEKER
0.09959,0.968184,0.867714,0.474802,0.981405,SEKER
0.11084,0.876509,0.72204,0.522169,0.96436,SEKER
0.102393,0.94513,0.788977,0.499682,0.986028,SEKER
0.106299,0.913824,0.855328,0.478347,0.982919,SEKER
0.100508,0.962486,0.848775,0.480233,0.991406,SEKER
0.1058,0.918592,0.80311,0.494744,0.977457,SEKER
0.113127,0.860292,0.725757,0.520486,0.966697,SEKER
0.103196,0.940059,0.868253,0.47418,0.963045,SEKER
0.106344,0.914384,0.744191,0.514172,0.989437,SEKER
0.101277,0.956292,0.768779,0.505924,0.975765,SEKER
0.104724,0.928319,0.849955,0.479659,0.996209,SEKER
0.104561,0.930533,0.737196,0.516178,0.971003,SEKER
0.099494,0.972907,0.769016,0.505498,0.994383,SEKER
0.103581,0.938678,0.79273,0.497693,0.9944,SEKER
0.199846,0.336194,0.506859,0.601918,0,SEKER
0.111633,0.874884,0.795299,0.496587,0.959266,SEKER
0.108059,0.903427,0.774139,0.503492,0.971183,SEKER
0.102994,0.945366,0.741378,0.514332,0.983589,SEKER
0.101158,0.961446,0.783601,0.500108,0.990899,SEKER
0.1073,0.910849,0.713908,0.523541,0.946009,SEKER
0.101725,0.957234,0.70831,0.525379,0.989419,SEKER
0.154494,0.580266,0.658695,0.542947,0.903524,SEKER
0.101639,0.958119,0.742213,0.513724,0.983216,SEKER
0.103015,0.947115,0.764698,0.506074,0.985054,SEKER
0.106085,0.922623,0.721357,0.520531,0.99288,SEKER
0.099929,0.975405,0.779485,0.50067,0.978849,SEKER
0.10332,0.947377,0.777198,0.501311,0.971264,SEKER
0.104006,0.942289,0.852699,0.477038,0.991654,SEKER
0.105886,0.927185,0.813473,0.489322,0.988245,SEKER
0.100638,0.971449,0.801492,0.493051,0.978637,SEKER
0.121325,0.807448,0.881904,0.467823,0.976414,SEKER
0.10254,0.955817,0.813235,0.489192,0.986978,SEKER
0.114669,0.8583,0.754308,0.508434,0.94592,SEKER
0.104629,0.939262,0.748561,0.510212,0.970535,SEKER
0.111689,0.88234,0.806803,0.491048,0.963294,SEKER
0.110075,0.895155,0.826189,0.484863,0.979269,SEKER
0.115711,0.851089,0.631114,0.551491,0.982311,SEKER
0.105032,0.936262,0.721446,0.519343,0.981981,SEKER
0.111927,0.880889,0.851743,0.476749,0.98929,SEKER
0.110302,0.893769,0.774522,0.501452,0.959141,SEKER
0.111723,0.883241,0.776491,0.500632,0.990541,SEKER
0.112227,0.87932,0.790868,0.495919,0.990602,SEKER
0.106536,0.924959,0.754263,0.50799,0.976087,SEKER
0.106174,0.928783,0.783686,0.498065,0.983176,SEKER
0.109878,0.898865,0.767606,0.503342,0.979323,SEKER
0.099222,0.987361,0.823011,0.485327,0.990993,SEKER
0.104941,0.939364,0.702715,0.525273,0.989413,SEKER
0.109154,0.905095,0.753427,0.50796,0.98539,SEKER
0.098689,0.99227,0.848451,0.477259,0.980796,SEKER
0.107041,0.922953,0.655319,0.541883,0.990919,SEKER
0.107924,0.915991,0.706116,0.523852,0.993307,SEKER
0.101827,0.967106,0.803092,0.491282,0.986734,SEKER
0.10361,0.952322,0.773005,0.501043,0.992345,SEKER
0.124473,0.789979,0.84371,0.478248,0.985046,SEKER
0.106598,0.928242,0.741093,0.511546,0.997188,SEKER
0.105292,0.940716,0.781356,0.497775,0.957873,SEKER
0.102659,0.96336,0.726486,0.515942,0.991362,SEKER
0.102388,0.96575,0.793474,0.493648,0.965832,SEKER
0.10361,0.956267,0.763978,0.503141,0.9819,SEKER
0.108546,0.916168,0.69727,0.525707,0.997941,SEKER
0.108061,0.920157,0.752534,0.506826,0.979221,SEKER
0.111122,0.89591,0.867484,0.469956,0.980929,SEKER
0.104812,0.947469,0.754094,0.506157,0.987789,SEKER
0.108145,0.920819,0.785505,0.495641,0.992254,SEKER
0.108258,0.919896,0.808954,0.48807,0.982508,SEKER
0.104148,0.953974,0.714801,0.519246,0.955436,SEKER
0.107239,0.928791,0.881802,0.465251,0.980086,SEKER
0.104895,0.94831,0.886279,0.46385,0.987723,SEKER
0.104227,0.95392,0.780542,0.497066,0.981209,SEKER
0.110132,0.906274,0.719246,0.517433,0.991543,SEKER
0.105625,0.943079,0.744156,0.508955,0.981957,SEKER
0.110686,0.90205,0.758792,0.50404,0.959748,SEKER
0.113987,0.8764,0.775436,0.498434,0.977552,SEKER
0.108292,0.92199,0.724583,0.515409,0.991685,SEKER
0.108287,0.922303,0.778124,0.497456,0.970191,SEKER
0.108135,0.924018,0.759488,0.50349,0.974842,SEKER
0.104392,0.95522,0.824153,0.482457,0.990995,SEKER
0.106871,0.934774,0.84199,0.476844,0.981663,SEKER
0.104867,0.951375,0.825534,0.481996,0.969759,SEKER
0.116445,0.858901,0.76304,0.502141,0.971233,SEKER
0.109114,0.917257,0.795403,0.491462,0.981519,SEKER
0.111599,0.897423,0.756203,0.504287,0.975959,SEKER
0.107138,0.93345,0.731247,0.512671,0.986039,SEKER
0.108586,0.922179,0.905584,0.457165,0.974241,SEKER
0.107274,0.933528,0.739499,0.50961,0.990466,SEKER
0.11161,0.898556,0.725745,0.514257,0.991563,SEKER
0.106064,0.943916,0.749105,0.506287,0.98197,SEKER
0.107336,0.934428,0.803162,0.488363,0.983279,SEKER
0.105213,0.951998,0.769462,0.499301,0.981865,SEKER
0.109182,0.919709,0.683794,0.52839,0.97032,SEKER
0.12321,0.811107,0.831971,0.479124,0.988874,SEKER
0.102964,0.971306,0.838477,0.477063,0.98655,SEKER
0.106969,0.938087,0.735086,0.510631,0.982605,SEKER
0.107234,0.936884,0.773271,0.497698,0.983879,SEKER
0.110172,0.913264,0.839027,0.476595,0.969128,SEKER
0.105212,0.95391,0.779812,0.495485,0.984562,SEKER
0.104528,0.95961,0.765806,0.50008,0.990931,SEKER
0.119227,0.842647,0.739057,0.508947,0.955745,SEKER
0.107097,0.938549,0.830784,0.479117,0.9742,SEKER
0.106979,0.93995,0.751102,0.504812,0.988622,SEKER
0.104375,0.961767,0.754158,0.503745,0.985479,SEKER
0.108706,0.926741,0.853069,0.471882,0.978026,SEKER
0.111252,0.906504,0.695287,0.523553,0.977041,SEKER
0.105676,0.952395,0.729227,0.511789,0.985745,SEKER
0.112108,0.901046,0.835698,0.476902,0.984848,SEKER
0.107766,0.936569,0.715835,0.516033,0.990785,SEKER
0.104228,0.966057,0.852277,0.471621,0.978059,SEKER
0.121361,0.830034,0.888565,0.460553,0.776337,SEKER
0.105497,0.955838,0.784812,0.492903,0.990771,SEKER
0.103684,0.97183,0.806892,0.485612,0.993027,SEKER
0.109254,0.925875,0.806984,0.485559,0.978874,SEKER
0.113687,0.890629,0.635714,0.543956,0.912062,SEKER
0.108593,0.931796,0.794449,0.489461,0.989628,SEKER
0.118216,0.856185,0.728267,0.511205,0.981415,SEKER
0.108217,0.935991,0.852654,0.47086,0.989731,SEKER
0.111723,0.908885,0.764302,0.498745,0.982816,SEKER
0.116226,0.873806,0.654635,0.536359,0.937828,SEKER
0.112035,0.907081,0.704082,0.518899,0.981667,SEKER
0.116388,0.872902,0.653283,0.536756,0.99195,SEKER
0.112669,0.902339,0.707122,0.517777,0.976709,SEKER
0.111072,0.915179,0.820591,0.480348,0.989462,SEKER
0.105197,0.963403,0.772153,0.495912,0.963572,SEKER
0.114882,0.885203,0.788359,0.490577,0.94532,SEKER
0.110314,0.922625,0.765296,0.497874,0.980036,SEKER
0.108728,0.936219,0.782764,0.492007,0.99367,SEKER
0.106131,0.957637,0.754329,0.501341,0.990035,SEKER
0.106598,0.954026,0.853801,0.46949,0.980388,SEKER
0.113676,0.897706,0.698118,0.520097,0.990176,SEKER
0.112957,0.903682,0.757444,0.499946,0.982644,SEKER
0.110453,0.923947,0.814686,0.481376,0.976251,SEKER
0.119961,0.849414,0.74459,0.504148,0.947831,SEKER
0.105095,0.968296,0.738864,0.506053,0.978527,SEKER
0.119345,0.854479,0.759893,0.498979,0.986763,SEKER
0.113984,0.896211,0.731521,0.508452,0.990903,SEKER
0.106355,0.958265,0.830096,0.476369,0.988209,SEKER
0.115964,0.881101,0.750639,0.501937,0.963022,SEKER
0.112725,0.906852,0.785659,0.490411,0.990441,SEKER
0.10942,0.933574,0.763551,0.497617,1,SEKER
0.104748,0.972245,0.824755,0.477928,0.98876,SEKER
0.10874,0.939183,0.702979,0.518021,0.994273,SEKER
0.109794,0.931432,0.750985,0.501568,0.984994,SEKER
0.110359,0.926844,0.706647,0.51656,0.982005,SEKER
0.109498,0.934109,0.76827,0.495802,0.958217,SEKER
0.118738,0.861189,0.692194,0.521436,0.987576,SEKER
0.120103,0.850943,0.618489,0.547791,0.948785,SEKER
0.10912,0.93773,0.764928,0.496779,0.983208,SEKER
0.109057,0.938299,0.763053,0.497384,0.975122,SEKER
0.109345,0.936056,0.739106,0.505316,0.947112,SEKER
0.107876,0.949187,0.722699,0.510609,0.96981,SEKER
0.113529,0.903607,0.751212,0.500986,0.961482,SEKER
0.102518,0.99448,0.923254,0.447376,0.996321,SEKER
0.115416,0.889206,0.659593,0.532399,0.988483,SEKER
0.110313,0.930255,0.933812,0.444157,0.970631,SEKER
0.111922,0.917463,0.71557,0.512754,0.988147,SEKER
0.109809,0.934996,0.787832,0.488672,0.988236,SEKER
0.116734,0.880073,0.617961,0.54721,0.983156,SEKER
0.109691,0.936277,0.858165,0.466489,0.982285,SEKER
0.108871,0.943477,0.75534,0.499112,0.980772,SEKER
0.10736,0.956206,0.797986,0.48517,0.986625,SEKER
0.114278,0.900807,0.769038,0.494388,0.956962,SEKER
0.111717,0.921972,0.744203,0.502438,0.98214,SEKER
0.112811,0.913343,0.768534,0.494362,0.984451,SEKER
0.109108,0.943351,0.700864,0.517103,0.968194,SEKER
0.106069,0.968736,0.806917,0.481931,0.993148,SEKER
0.108961,0.944934,0.839623,0.471624,0.965023,SEKER
0.105365,0.975235,0.820412,0.477533,0.98045,SEKER
0.107251,0.960079,0.816586,0.47861,0.963725,SEKER
0.109096,0.945268,0.802989,0.482828,0.986579,SEKER
0.110473,0.93556,0.755931,0.497752,0.979084,SEKER
0.109572,0.942919,0.743076,0.502018,0.981743,SEKER
0.109781,0.941958,0.736951,0.503897,0.983681,SEKER
0.109493,0.944747,0.834514,0.472304,0.982343,SEKER
0.112274,0.922619,0.696424,0.517485,0.992086,SEKER
0.126902,0.811109,0.604534,0.550166,0.993421,SEKER
0.108611,0.953717,0.696104,0.517314,0.987425,SEKER
0.115619,0.897148,0.585203,0.557402,0.961431,SEKER
0.109153,0.949892,0.818634,0.47676,0.992529,SEKER
0.123278,0.838827,0.929543,0.443238,0.934813,SEKER
0.110399,0.939947,0.795985,0.483888,0.991775,SEKER
0.109781,0.945164,0.775082,0.490595,0.976557,SEKER
0.121603,0.851904,0.649742,0.533365,0.986015,SEKER
0.111493,0.93137,0.687243,0.520106,0.973261,SEKER
0.110902,0.937127,0.776074,0.490024,0.998881,SEKER
0.114124,0.911368,0.93771,0.440531,0.960444,SEKER
0.11524,0.902808,0.844616,0.468215,0.998597,SEKER
0.114849,0.90627,0.610857,0.547074,0.987234,SEKER
0.108649,0.956998,0.722297,0.507541,0.979591,SEKER
0.112211,0.928257,0.740796,0.501242,0.968966,SEKER
0.148728,0.664293,0.739736,0.50156,0.971708,SEKER
0.107313,0.96885,0.768324,0.492074,0.978045,SEKER
0.113909,0.915394,0.797641,0.482514,0.986265,SEKER
0.114554,0.911031,0.759429,0.494715,0.987081,SEKER
0.12183,0.855159,0.747825,0.498355,0.98291,SEKER
0.115709,0.90274,0.690735,0.517695,0.946301,SEKER
0.108876,0.958344,0.792555,0.483695,0.992303,SEKER
0.113015,0.924728,0.757543,0.495026,0.982486,SEKER
