@relation Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Area numeric
@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.051017,0.103139,0.068539,0.188529,0.117909,0.467529,0.049972,0.10233,0.655509,0.893563,0.802468,0.793952,0.530427,0.776555,0.759108,0.979417,SEKER
0.051051,0.080974,0.063986,0.194819,0.0988,0.422408,0.049156,0.102392,0.736579,0.976239,0.986675,0.824756,0.52003,0.810358,0.793972,0.986573,SEKER
0.051295,0.088334,0.065259,0.193957,0.102757,0.432234,0.049844,0.10283,0.688386,0.932226,0.925961,0.81851,0.52132,0.80255,0.786869,0.98824,SEKER
0.051431,0.088396,0.074922,0.181173,0.143094,0.519239,0.049811,0.103075,0.6746,0.948376,0.927314,0.756272,0.541989,0.734746,0.717012,0.990189,SEKER
0.051641,0.085084,0.068156,0.191367,0.112764,0.455935,0.050124,0.103451,0.738769,0.93776,0.958731,0.802444,0.525567,0.783654,0.768679,0.985682,SEKER
0.051658,0.08689,0.067827,0.191727,0.111522,0.45308,0.049992,0.103482,0.654917,0.952176,0.943319,0.804795,0.524726,0.786167,0.771334,0.99141,SEKER
0.051658,0.089273,0.067032,0.192939,0.108013,0.444882,0.05012,0.103482,0.767877,0.939774,0.922971,0.810099,0.522956,0.791986,0.777333,0.987828,SEKER
0.051687,0.095286,0.074698,0.18272,0.140138,0.513563,0.050772,0.103535,0.687543,0.879739,0.873428,0.76012,0.539822,0.737966,0.721283,0.981718,SEKER
0.051914,0.090943,0.078227,0.178656,0.15429,0.539896,0.050363,0.103941,0.728922,0.940412,0.912376,0.739717,0.546194,0.71581,0.698708,0.990108,SEKER
0.051927,0.085475,0.073521,0.184819,0.134291,0.502045,0.050157,0.103964,0.697205,0.961602,0.959311,0.769965,0.535657,0.747625,0.73224,0.996861,SEKER
0.052072,0.095885,0.062215,0.202821,0.083425,0.381451,0.050837,0.104225,0.814617,0.909545,0.873667,0.84669,0.509637,0.831261,0.819043,0.940664,SEKER
0.052102,0.090559,0.093055,0.161824,0.215704,0.634066,0.050368,0.104278,0.720527,0.957741,0.918166,0.650863,0.577861,0.625909,0.602462,0.938507,SEKER
0.052426,0.087847,0.074583,0.185471,0.135531,0.504521,0.050747,0.10486,0.683126,0.951627,0.945691,0.767785,0.534796,0.743644,0.72981,0.99242,SEKER
0.052456,0.088809,0.072533,0.188451,0.126506,0.486074,0.050858,0.104913,0.721035,0.943695,0.937854,0.781364,0.530068,0.758036,0.744978,0.989843,SEKER
0.05249,0.092636,0.057298,0.210177,0.06295,0.318627,0.050854,0.104974,0.785517,0.947304,0.90602,0.884936,0.496148,0.873441,0.863248,0.991929,SEKER
0.052559,0.090333,0.055226,0.214049,0.053431,0.285322,0.051044,0.105096,0.687849,0.935448,0.926294,0.90028,0.491147,0.891059,0.881159,0.974856,SEKER
0.052751,0.093027,0.070722,0.192388,0.116621,0.464663,0.051266,0.10544,0.755401,0.932066,0.906272,0.796012,0.524191,0.77283,0.761427,0.980143,SEKER
0.052755,0.085628,0.065598,0.199288,0.095573,0.414188,0.051027,0.105448,0.699036,0.955481,0.969499,0.830234,0.512851,0.810377,0.800214,0.99023,SEKER
0.05284,0.086465,0.074936,0.186823,0.134156,0.501774,0.051147,0.105601,0.709849,0.951976,0.963375,0.769381,0.532923,0.743968,0.731589,0.985288,SEKER
0.052845,0.089063,0.071218,0.19221,0.117937,0.467591,0.051229,0.105608,0.789712,0.94444,0.941013,0.793637,0.52469,0.769939,0.758754,0.975471,SEKER
0.052857,0.088313,0.065383,0.200185,0.093811,0.40962,0.05113,0.105631,0.613945,0.955167,0.94762,0.832671,0.511736,0.812724,0.802994,0.984101,SEKER
0.052986,0.091306,0.068434,0.196899,0.105021,0.437736,0.051406,0.10586,0.754215,0.940605,0.923868,0.813399,0.517662,0.790977,0.781071,0.966738,SEKER
0.053015,0.098898,0.062682,0.205061,0.081181,0.375068,0.051699,0.105913,0.796449,0.915346,0.861779,0.852594,0.5048,0.834499,0.825826,0.971569,SEKER
0.053071,0.095417,0.084863,0.175403,0.174056,0.573434,0.051781,0.106013,0.6152,0.912648,0.890788,0.708965,0.55332,0.680597,0.665017,0.9558,SEKER
0.053161,0.089534,0.066198,0.199914,0.095903,0.415037,0.051588,0.106173,0.726737,0.939579,0.941307,0.830059,0.511643,0.808748,0.800014,0.995402,SEKER
0.053225,0.09242,0.078281,0.183742,0.146184,0.52507,0.051699,0.106287,0.740978,0.934898,0.91773,0.751537,0.537833,0.723913,0.711765,0.988171,SEKER
0.053374,0.100556,0.06392,0.204183,0.08499,0.385837,0.052322,0.106554,0.716225,0.889436,0.853211,0.847567,0.505308,0.827541,0.820048,0.990019,SEKER
0.053395,0.09031,0.074789,0.189374,0.129855,0.493036,0.05181,0.106592,0.686337,0.940191,0.937886,0.775519,0.529064,0.748655,0.738439,0.979355,SEKER
0.053434,0.098218,0.06809,0.198673,0.101668,0.429557,0.052425,0.10666,0.712153,0.885205,0.872754,0.819947,0.514102,0.796614,0.788502,0.983799,SEKER
0.053489,0.098242,0.046991,0.230205,0.015861,0.112307,0.052157,0.10676,0.675517,0.915863,0.873296,0.969532,0.467415,0.970417,0.96324,0.986116,SEKER
0.053506,0.111954,0.077528,0.18659,0.14004,0.513373,0.052932,0.10679,0.693152,0.843968,0.767375,0.758946,0.534376,0.730767,0.71998,0.96229,SEKER
0.053664,0.104106,0.074111,0.191493,0.125139,0.48319,0.052672,0.107072,0.679955,0.883161,0.828996,0.782425,0.525875,0.755129,0.746166,0.974633,SEKER
0.053741,0.099295,0.071906,0.194649,0.115676,0.462544,0.05266,0.107209,0.648815,0.891465,0.868106,0.797547,0.520558,0.771126,0.763156,0.980948,SEKER
0.053758,0.096611,0.074506,0.190643,0.127287,0.487711,0.052313,0.107239,0.760014,0.92597,0.890117,0.780734,0.52615,0.753011,0.744272,0.998165,SEKER
0.053771,0.087598,0.072364,0.194016,0.117598,0.466839,0.051963,0.107262,0.754214,0.960646,0.966387,0.794823,0.521374,0.768085,0.760089,0.985023,SEKER
0.053797,0.089664,0.073568,0.192457,0.122512,0.477582,0.052173,0.107308,0.67233,0.942921,0.948881,0.787195,0.523852,0.759794,0.751514,0.985093,SEKER
0.053933,0.094709,0.063664,0.207179,0.080186,0.372201,0.052515,0.107551,0.716071,0.923009,0.90814,0.854672,0.501311,0.833528,0.828217,0.977513,SEKER
0.053963,0.089533,0.07356,0.193569,0.120793,0.473862,0.052091,0.107604,0.78474,0.966318,0.952286,0.788801,0.522789,0.760961,0.753318,0.969723,SEKER
0.05398,0.09806,0.069225,0.199205,0.103246,0.43343,0.052581,0.107635,0.718437,0.921097,0.881228,0.817538,0.513195,0.792074,0.785766,0.985514,SEKER
0.054049,0.092234,0.093576,0.167074,0.207491,0.623044,0.052144,0.107756,0.747577,0.969143,0.930424,0.665175,0.566043,0.634188,0.617738,0.99017,SEKER
0.054049,0.087276,0.068051,0.200903,0.0983,0.421146,0.05212,0.107756,0.698349,0.971512,0.973021,0.826036,0.510202,0.801183,0.795429,0.993356,SEKER
0.054096,0.095287,0.060755,0.212311,0.067044,0.332074,0.052693,0.10784,0.704759,0.921218,0.905512,0.876323,0.493957,0.857536,0.853238,0.969666,SEKER
0.0541,0.088368,0.080693,0.184124,0.150732,0.533472,0.052223,0.107847,0.688501,0.966418,0.964222,0.744339,0.537533,0.71362,0.703806,0.98118,SEKER
0.054326,0.084654,0.070103,0.199075,0.105266,0.438327,0.052326,0.10825,0.690507,0.977618,1,0.814959,0.512972,0.788061,0.782839,0.994863,SEKER
0.054395,0.088362,0.069954,0.199794,0.10389,0.434999,0.052482,0.108371,0.748832,0.968995,0.968318,0.816586,0.512226,0.789607,0.784686,0.986653,SEKER
0.054433,0.106724,0.091335,0.171965,0.194021,0.604023,0.053006,0.10844,0.662396,0.922742,0.818502,0.681955,0.558635,0.649518,0.635758,0.96766,SEKER
0.054446,0.08873,0.069612,0.200923,0.101511,0.429168,0.05254,0.108463,0.75567,0.968245,0.965829,0.819351,0.511162,0.792458,0.787825,0.971579,SEKER
0.054544,0.095795,0.08772,0.176415,0.178558,0.580602,0.052915,0.108637,0.702471,0.941629,0.907266,0.704807,0.550034,0.671923,0.660493,0.988729,SEKER
0.054723,0.093146,0.049089,0.232212,0.017472,0.121769,0.05329,0.108956,0.685056,0.922651,0.931816,0.966231,0.46477,0.961368,0.959282,0.982575,SEKER
0.054775,0.092653,0.085309,0.180394,0.166716,0.561387,0.052878,0.109047,0.747386,0.966517,0.936673,0.721688,0.543305,0.68827,0.678907,0.98974,SEKER
0.054787,0.091896,0.060964,0.21461,0.064297,0.323107,0.053101,0.109069,0.651793,0.946541,0.943276,0.881522,0.490242,0.860949,0.859276,0.976548,SEKER
0.054894,0.123068,0.092186,0.172328,0.195255,0.605816,0.054304,0.109259,0.657302,0.843064,0.704329,0.68097,0.557498,0.647198,0.634697,0.978335,SEKER
0.055065,0.099855,0.082154,0.185873,0.151042,0.534037,0.053653,0.109562,0.731157,0.91989,0.880895,0.743968,0.534605,0.710195,0.703398,0.982459,SEKER
0.055078,0.098495,0.074589,0.196407,0.118632,0.469128,0.053789,0.109585,0.774331,0.908247,0.892118,0.792467,0.518093,0.761185,0.757438,0.974209,SEKER
0.055103,0.102488,0.072442,0.19907,0.110145,0.449885,0.053661,0.10963,0.783757,0.922652,0.860261,0.806763,0.513274,0.776503,0.773558,0.988409,SEKER
0.055125,0.088345,0.073405,0.198169,0.113502,0.457623,0.053163,0.109668,0.755501,0.971863,0.9785,0.800636,0.515233,0.769809,0.766638,0.976303,SEKER
0.055138,0.105794,0.06651,0.207898,0.084999,0.385864,0.05421,0.109691,0.697781,0.874255,0.834663,0.846734,0.500184,0.820338,0.819093,0.978389,SEKER
0.055159,0.091992,0.08764,0.178882,0.174251,0.573748,0.053406,0.109729,0.712277,0.951937,0.947477,0.71083,0.545919,0.676123,0.667049,0.987914,SEKER
0.055185,0.093639,0.075131,0.19591,0.120522,0.47327,0.053624,0.109774,0.66919,0.93363,0.933852,0.789932,0.518609,0.758117,0.754588,0.980042,SEKER
0.055347,0.092219,0.070722,0.202578,0.101377,0.428837,0.053781,0.110062,0.728171,0.933784,0.948083,0.820419,0.508049,0.790542,0.789039,0.983856,SEKER
0.055419,0.095825,0.068362,0.206041,0.091466,0.403449,0.053872,0.11019,0.663203,0.93191,0.918659,0.836879,0.502494,0.8084,0.807803,0.989565,SEKER
0.055513,0.089049,0.064732,0.211773,0.075887,0.359552,0.05362,0.110357,0.669295,0.964318,0.977687,0.862419,0.494064,0.836602,0.837147,0.985208,SEKER
0.055522,0.091946,0.073059,0.199796,0.110344,0.450349,0.053686,0.110372,0.700167,0.958863,0.952777,0.8066,0.512043,0.774921,0.773374,0.99061,SEKER
0.055539,0.096447,0.080363,0.189861,0.140898,0.515032,0.054024,0.110402,0.640688,0.92853,0.915069,0.759598,0.527749,0.724925,0.720703,0.990807,SEKER
0.055547,0.091651,0.082565,0.187113,0.149931,0.532007,0.053711,0.110417,0.760515,0.958882,0.955651,0.74578,0.532463,0.710555,0.705398,0.985037,SEKER
0.055556,0.09729,0.065386,0.210752,0.078656,0.367749,0.05402,0.110432,0.750753,0.930488,0.908315,0.858347,0.495225,0.831865,0.832449,0.993366,SEKER
0.055565,0.090791,0.074562,0.198567,0.115314,0.461731,0.05369,0.110447,0.712469,0.962406,0.963276,0.797153,0.515034,0.764597,0.762712,0.967023,SEKER
0.05562,0.089921,0.073178,0.200612,0.109375,0.448085,0.053711,0.110546,0.683543,0.965567,0.971565,0.806733,0.511699,0.774736,0.773525,0.970363,SEKER
0.055624,0.095627,0.076572,0.196123,0.123215,0.479092,0.054032,0.110553,0.691295,0.935601,0.923035,0.78465,0.519016,0.751041,0.74866,0.963841,SEKER
0.055676,0.089467,0.063986,0.213306,0.07223,0.348436,0.053925,0.110644,0.743032,0.950417,0.976268,0.869084,0.491479,0.843552,0.84485,0.992115,SEKER
0.055714,0.092597,0.073585,0.199717,0.111555,0.453157,0.053855,0.110712,0.7624,0.96057,0.94981,0.804933,0.512004,0.772476,0.77149,0.994162,SEKER
0.055842,0.090911,0.079849,0.191904,0.136609,0.506658,0.053843,0.110938,0.727549,0.973524,0.96602,0.765629,0.524753,0.730266,0.72741,0.984671,SEKER
0.055996,0.090598,0.063472,0.21523,0.068523,0.336814,0.054041,0.11121,0.734013,0.968954,0.970809,0.875671,0.488462,0.849874,0.852482,0.996091,SEKER
0.056013,0.091432,0.079094,0.193764,0.132128,0.497683,0.054069,0.11124,0.660066,0.967799,0.963844,0.772009,0.522066,0.736415,0.73452,0.978684,SEKER
0.056017,0.094262,0.072187,0.203408,0.103186,0.433283,0.054544,0.111248,0.672125,0.923586,0.939751,0.816961,0.507137,0.784495,0.785111,0.975827,SEKER
0.056051,0.088164,0.054304,0.229246,0.03152,0.194789,0.054201,0.111308,0.734225,0.958883,0.992823,0.941065,0.468356,0.925793,0.929252,0.995443,SEKER
0.056107,0.098945,0.079846,0.193505,0.134111,0.501683,0.054469,0.111406,0.593619,0.93876,0.901938,0.768068,0.523108,0.731977,0.730126,0.965026,SEKER
0.056175,0.096946,0.073817,0.201224,0.109791,0.44906,0.054593,0.111527,0.664172,0.933406,0.919347,0.807686,0.509693,0.77391,0.774601,0.99366,SEKER
0.056205,0.091069,0.068634,0.20859,0.088364,0.395118,0.05435,0.11158,0.707629,0.959002,0.969582,0.842429,0.498344,0.811821,0.814155,0.996141,SEKER
0.056209,0.091818,0.07228,0.203864,0.102709,0.432115,0.054416,0.111588,0.619988,0.953186,0.96318,0.818132,0.506173,0.785122,0.786441,0.981688,SEKER
0.056308,0.113262,0.056125,0.228057,0.036658,0.218124,0.055562,0.111761,0.693155,0.855185,0.792266,0.930416,0.470795,0.912173,0.916626,0.977742,SEKER
0.056363,0.099606,0.070553,0.206444,0.095387,0.413707,0.054943,0.111859,0.733177,0.917768,0.899881,0.831043,0.501525,0.798716,0.801137,0.99749,SEKER
0.056376,0.092201,0.06082,0.22083,0.055551,0.293004,0.054556,0.111882,0.765324,0.955258,0.962136,0.897759,0.480501,0.873786,0.878208,0.991534,SEKER
0.05641,0.09882,0.074359,0.202083,0.109636,0.448696,0.054931,0.111942,0.667685,0.923212,0.906944,0.806306,0.509432,0.77164,0.773042,0.970162,SEKER
0.056444,0.094681,0.073951,0.202379,0.108353,0.445684,0.05456,0.112002,0.74285,0.961124,0.941918,0.809298,0.508348,0.774755,0.776426,0.98403,SEKER
0.056777,0.095593,0.086485,0.18698,0.158485,0.547314,0.054832,0.11259,0.678433,0.966018,0.938657,0.732454,0.533235,0.693106,0.690715,0.973134,SEKER
0.056837,0.100614,0.085673,0.188382,0.154506,0.540282,0.055195,0.112695,0.797414,0.937496,0.897833,0.738019,0.531123,0.698598,0.696837,0.9696,SEKER
0.056858,0.089682,0.068057,0.2121,0.082195,0.377967,0.054844,0.112733,0.744818,0.972268,0.990548,0.852456,0.493203,0.820694,0.825666,0.993605,SEKER
0.057106,0.096595,0.063752,0.219331,0.063464,0.320342,0.055417,0.113169,0.715444,0.941203,0.934603,0.884271,0.482516,0.855666,0.862474,0.995033,SEKER
0.05717,0.099002,0.084008,0.191455,0.146091,0.524896,0.055483,0.113282,0.735824,0.940875,0.915417,0.7514,0.525498,0.711308,0.711614,0.984114,SEKER
0.057234,0.0901,0.066911,0.215493,0.075116,0.357237,0.05522,0.113395,0.749883,0.971363,0.992016,0.863768,0.488525,0.832029,0.838705,0.985928,SEKER
0.057294,0.093311,0.070908,0.210169,0.090753,0.401551,0.055496,0.1135,0.729586,0.950981,0.964976,0.837334,0.496722,0.802455,0.808323,0.979376,SEKER
0.057324,0.1001,0.077046,0.201397,0.11623,0.463787,0.055549,0.113553,0.671037,0.948698,0.908384,0.797188,0.509668,0.758856,0.762752,0.988321,SEKER
0.057341,0.099159,0.068453,0.213686,0.080768,0.373882,0.055879,0.113583,0.742914,0.919556,0.916354,0.854286,0.491195,0.821057,0.827773,0.985843,SEKER
0.057379,0.09566,0.09137,0.182497,0.176264,0.57697,0.055479,0.11365,0.726775,0.960286,0.946107,0.707917,0.539947,0.666604,0.663877,0.986911,SEKER
0.057388,0.108569,0.075521,0.204357,0.108671,0.446434,0.056209,0.113665,0.707246,0.893254,0.84154,0.807704,0.506023,0.769912,0.774622,0.968291,SEKER
0.057405,0.09459,0.067744,0.214847,0.077703,0.364947,0.055582,0.113695,0.695721,0.952994,0.955524,0.859699,0.489301,0.826873,0.834008,0.98988,SEKER
0.057413,0.098372,0.085239,0.190556,0.150115,0.532344,0.055599,0.11371,0.786861,0.952232,0.92383,0.74589,0.526635,0.704891,0.705519,0.990682,SEKER
0.057456,0.097376,0.080229,0.197379,0.128941,0.491151,0.055764,0.113785,0.749349,0.940745,0.932696,0.7779,0.51567,0.738001,0.741101,0.993774,SEKER
0.057687,0.096861,0.073029,0.208324,0.097746,0.419743,0.055929,0.114191,0.667185,0.946316,0.940062,0.826859,0.498916,0.789658,0.796366,0.99231,SEKER
0.057755,0.097613,0.086341,0.191054,0.151651,0.535142,0.055908,0.114311,0.758852,0.954427,0.934653,0.742095,0.526888,0.699963,0.70133,0.967968,SEKER
