@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1-3,7-8,10-11,14,16-17'

@attribute Area numeric
@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.048088,0.083515,0.047626,0.046756,0.097031,0.928163,0.922582,0.920604,0.985072,SEKER
0.048178,0.090077,0.057825,0.047032,0.097194,0.909458,0.868726,0.8367,0.990479,SEKER
0.04837,0.080164,0.06515,0.046732,0.097543,0.957946,0.955688,0.782548,0.985496,SEKER
0.048455,0.086413,0.067281,0.047362,0.097699,0.903678,0.903045,0.767738,0.980541,SEKER
0.048639,0.080346,0.072729,0.046863,0.098032,0.97088,0.957919,0.73101,0.995826,SEKER
0.048681,0.085542,0.054271,0.047342,0.09811,0.927555,0.91357,0.869072,0.963764,SEKER
0.04869,0.09434,0.070726,0.047779,0.098125,0.885305,0.841048,0.745093,0.995158,SEKER
0.04875,0.090144,0.0744,0.04763,0.098233,0.905659,0.875969,0.720494,0.982904,SEKER
0.049083,0.079405,0.058926,0.047408,0.098837,0.959756,0.972581,0.834841,0.982981,SEKER
0.049326,0.078896,0.054184,0.047663,0.099278,0.957913,0.980607,0.874773,0.99079,SEKER
0.049412,0.079145,0.052743,0.047713,0.099433,0.961243,0.979605,0.887401,0.99018,SEKER
0.04942,0.088865,0.051454,0.048261,0.099448,0.908075,0.895758,0.898331,0.962533,SEKER
0.04951,0.088277,0.05282,0.048195,0.099611,0.923146,0.901916,0.887528,0.967802,SEKER
0.049557,0.088661,0.085326,0.048088,0.099696,0.938191,0.89934,0.656186,0.962461,SEKER
0.049608,0.082395,0.073625,0.047919,0.099788,0.959771,0.953685,0.731423,0.981401,SEKER
0.049634,0.087575,0.058614,0.048277,0.099835,0.92692,0.909531,0.841407,0.983616,SEKER
0.049689,0.080339,0.058202,0.04789,0.099935,0.970418,0.972944,0.845081,0.977958,SEKER
0.049728,0.098982,0.095155,0.048632,0.100004,0.901179,0.817997,0.600452,0.94395,SEKER
0.049911,0.095059,0.073607,0.048987,0.100336,0.884122,0.851587,0.733569,0.980103,SEKER
0.049933,0.084778,0.070339,0.048269,0.100375,0.956378,0.937546,0.756285,0.985376,SEKER
0.050159,0.08911,0.06188,0.048797,0.100784,0.926254,0.903827,0.819908,0.97474,SEKER
0.050355,0.091385,0.06822,0.049061,0.101138,0.919214,0.887546,0.774253,0.993634,SEKER
0.050377,0.088221,0.070516,0.048982,0.101176,0.928896,0.9143,0.758074,0.97893,SEKER
0.050441,0.096367,0.067775,0.049576,0.101292,0.877237,0.848121,0.778061,0.996269,SEKER
0.050518,0.081687,0.06732,0.048768,0.101431,0.963327,0.972768,0.781896,0.983943,SEKER
0.050547,0.089052,0.067001,0.049172,0.101484,0.926656,0.909638,0.784425,0.977709,SEKER
0.050564,0.087416,0.070413,0.04897,0.101515,0.948017,0.923717,0.760086,0.998807,SEKER
0.050637,0.083402,0.062278,0.049217,0.101646,0.930769,0.959368,0.820343,0.986491,SEKER
0.050825,0.085479,0.060819,0.049184,0.101984,0.951871,0.943936,0.832973,0.978648,SEKER
0.050889,0.088226,0.068095,0.049419,0.1021,0.935036,0.921304,0.778871,0.987115,SEKER
0.050962,0.090666,0.067857,0.049617,0.10223,0.922675,0.901756,0.781094,0.985525,SEKER
0.051017,0.103139,0.068539,0.049972,0.10233,0.893563,0.802468,0.776555,0.979417,SEKER
0.051051,0.080974,0.063986,0.049156,0.102392,0.976239,0.986675,0.810358,0.986573,SEKER
0.051295,0.088334,0.065259,0.049844,0.10283,0.932226,0.925961,0.80255,0.98824,SEKER
0.051431,0.088396,0.074922,0.049811,0.103075,0.948376,0.927314,0.734746,0.990189,SEKER
0.051641,0.085084,0.068156,0.050124,0.103451,0.93776,0.958731,0.783654,0.985682,SEKER
0.051658,0.08689,0.067827,0.049992,0.103482,0.952176,0.943319,0.786167,0.99141,SEKER
0.051658,0.089273,0.067032,0.05012,0.103482,0.939774,0.922971,0.791986,0.987828,SEKER
0.051687,0.095286,0.074698,0.050772,0.103535,0.879739,0.873428,0.737966,0.981718,SEKER
0.051914,0.090943,0.078227,0.050363,0.103941,0.940412,0.912376,0.71581,0.990108,SEKER
0.051927,0.085475,0.073521,0.050157,0.103964,0.961602,0.959311,0.747625,0.996861,SEKER
0.052072,0.095885,0.062215,0.050837,0.104225,0.909545,0.873667,0.831261,0.940664,SEKER
0.052102,0.090559,0.093055,0.050368,0.104278,0.957741,0.918166,0.625909,0.938507,SEKER
0.052426,0.087847,0.074583,0.050747,0.10486,0.951627,0.945691,0.743644,0.99242,SEKER
0.052456,0.088809,0.072533,0.050858,0.104913,0.943695,0.937854,0.758036,0.989843,SEKER
0.05249,0.092636,0.057298,0.050854,0.104974,0.947304,0.90602,0.873441,0.991929,SEKER
0.052559,0.090333,0.055226,0.051044,0.105096,0.935448,0.926294,0.891059,0.974856,SEKER
0.052751,0.093027,0.070722,0.051266,0.10544,0.932066,0.906272,0.77283,0.980143,SEKER
0.052755,0.085628,0.065598,0.051027,0.105448,0.955481,0.969499,0.810377,0.99023,SEKER
0.05284,0.086465,0.074936,0.051147,0.105601,0.951976,0.963375,0.743968,0.985288,SEKER
0.052845,0.089063,0.071218,0.051229,0.105608,0.94444,0.941013,0.769939,0.975471,SEKER
0.052857,0.088313,0.065383,0.05113,0.105631,0.955167,0.94762,0.812724,0.984101,SEKER
0.052986,0.091306,0.068434,0.051406,0.10586,0.940605,0.923868,0.790977,0.966738,SEKER
0.053015,0.098898,0.062682,0.051699,0.105913,0.915346,0.861779,0.834499,0.971569,SEKER
0.053071,0.095417,0.084863,0.051781,0.106013,0.912648,0.890788,0.680597,0.9558,SEKER
0.053161,0.089534,0.066198,0.051588,0.106173,0.939579,0.941307,0.808748,0.995402,SEKER
0.053225,0.09242,0.078281,0.051699,0.106287,0.934898,0.91773,0.723913,0.988171,SEKER
0.053374,0.100556,0.06392,0.052322,0.106554,0.889436,0.853211,0.827541,0.990019,SEKER
0.053395,0.09031,0.074789,0.05181,0.106592,0.940191,0.937886,0.748655,0.979355,SEKER
0.053434,0.098218,0.06809,0.052425,0.10666,0.885205,0.872754,0.796614,0.983799,SEKER
0.053489,0.098242,0.046991,0.052157,0.10676,0.915863,0.873296,0.970417,0.986116,SEKER
0.053506,0.111954,0.077528,0.052932,0.10679,0.843968,0.767375,0.730767,0.96229,SEKER
0.053664,0.104106,0.074111,0.052672,0.107072,0.883161,0.828996,0.755129,0.974633,SEKER
0.053741,0.099295,0.071906,0.05266,0.107209,0.891465,0.868106,0.771126,0.980948,SEKER
0.053758,0.096611,0.074506,0.052313,0.107239,0.92597,0.890117,0.753011,0.998165,SEKER
0.053771,0.087598,0.072364,0.051963,0.107262,0.960646,0.966387,0.768085,0.985023,SEKER
0.053797,0.089664,0.073568,0.052173,0.107308,0.942921,0.948881,0.759794,0.985093,SEKER
0.053933,0.094709,0.063664,0.052515,0.107551,0.923009,0.90814,0.833528,0.977513,SEKER
0.053963,0.089533,0.07356,0.052091,0.107604,0.966318,0.952286,0.760961,0.969723,SEKER
0.05398,0.09806,0.069225,0.052581,0.107635,0.921097,0.881228,0.792074,0.985514,SEKER
0.054049,0.092234,0.093576,0.052144,0.107756,0.969143,0.930424,0.634188,0.99017,SEKER
0.054049,0.087276,0.068051,0.05212,0.107756,0.971512,0.973021,0.801183,0.993356,SEKER
0.054096,0.095287,0.060755,0.052693,0.10784,0.921218,0.905512,0.857536,0.969666,SEKER
0.0541,0.088368,0.080693,0.052223,0.107847,0.966418,0.964222,0.71362,0.98118,SEKER
0.054326,0.084654,0.070103,0.052326,0.10825,0.977618,1,0.788061,0.994863,SEKER
0.054395,0.088362,0.069954,0.052482,0.108371,0.968995,0.968318,0.789607,0.986653,SEKER
0.054433,0.106724,0.091335,0.053006,0.10844,0.922742,0.818502,0.649518,0.96766,SEKER
0.054446,0.08873,0.069612,0.05254,0.108463,0.968245,0.965829,0.792458,0.971579,SEKER
0.054544,0.095795,0.08772,0.052915,0.108637,0.941629,0.907266,0.671923,0.988729,SEKER
0.054723,0.093146,0.049089,0.05329,0.108956,0.922651,0.931816,0.961368,0.982575,SEKER
0.054775,0.092653,0.085309,0.052878,0.109047,0.966517,0.936673,0.68827,0.98974,SEKER
0.054787,0.091896,0.060964,0.053101,0.109069,0.946541,0.943276,0.860949,0.976548,SEKER
0.054894,0.123068,0.092186,0.054304,0.109259,0.843064,0.704329,0.647198,0.978335,SEKER
0.055065,0.099855,0.082154,0.053653,0.109562,0.91989,0.880895,0.710195,0.982459,SEKER
0.055078,0.098495,0.074589,0.053789,0.109585,0.908247,0.892118,0.761185,0.974209,SEKER
0.055103,0.102488,0.072442,0.053661,0.10963,0.922652,0.860261,0.776503,0.988409,SEKER
0.055125,0.088345,0.073405,0.053163,0.109668,0.971863,0.9785,0.769809,0.976303,SEKER
0.055138,0.105794,0.06651,0.05421,0.109691,0.874255,0.834663,0.820338,0.978389,SEKER
0.055159,0.091992,0.08764,0.053406,0.109729,0.951937,0.947477,0.676123,0.987914,SEKER
0.055185,0.093639,0.075131,0.053624,0.109774,0.93363,0.933852,0.758117,0.980042,SEKER
0.055347,0.092219,0.070722,0.053781,0.110062,0.933784,0.948083,0.790542,0.983856,SEKER
0.055419,0.095825,0.068362,0.053872,0.11019,0.93191,0.918659,0.8084,0.989565,SEKER
0.055513,0.089049,0.064732,0.05362,0.110357,0.964318,0.977687,0.836602,0.985208,SEKER
0.055522,0.091946,0.073059,0.053686,0.110372,0.958863,0.952777,0.774921,0.99061,SEKER
0.055539,0.096447,0.080363,0.054024,0.110402,0.92853,0.915069,0.724925,0.990807,SEKER
0.055547,0.091651,0.082565,0.053711,0.110417,0.958882,0.955651,0.710555,0.985037,SEKER
0.055556,0.09729,0.065386,0.05402,0.110432,0.930488,0.908315,0.831865,0.993366,SEKER
0.055565,0.090791,0.074562,0.05369,0.110447,0.962406,0.963276,0.764597,0.967023,SEKER
0.05562,0.089921,0.073178,0.053711,0.110546,0.965567,0.971565,0.774736,0.970363,SEKER
0.055624,0.095627,0.076572,0.054032,0.110553,0.935601,0.923035,0.751041,0.963841,SEKER
0.055676,0.089467,0.063986,0.053925,0.110644,0.950417,0.976268,0.843552,0.992115,SEKER
0.055714,0.092597,0.073585,0.053855,0.110712,0.96057,0.94981,0.772476,0.994162,SEKER
0.055842,0.090911,0.079849,0.053843,0.110938,0.973524,0.96602,0.730266,0.984671,SEKER
0.055996,0.090598,0.063472,0.054041,0.11121,0.968954,0.970809,0.849874,0.996091,SEKER
0.056013,0.091432,0.079094,0.054069,0.11124,0.967799,0.963844,0.736415,0.978684,SEKER
0.056017,0.094262,0.072187,0.054544,0.111248,0.923586,0.939751,0.784495,0.975827,SEKER
0.056051,0.088164,0.054304,0.054201,0.111308,0.958883,0.992823,0.925793,0.995443,SEKER
0.056107,0.098945,0.079846,0.054469,0.111406,0.93876,0.901938,0.731977,0.965026,SEKER
0.056175,0.096946,0.073817,0.054593,0.111527,0.933406,0.919347,0.77391,0.99366,SEKER
0.056205,0.091069,0.068634,0.05435,0.11158,0.959002,0.969582,0.811821,0.996141,SEKER
0.056209,0.091818,0.07228,0.054416,0.111588,0.953186,0.96318,0.785122,0.981688,SEKER
0.056308,0.113262,0.056125,0.055562,0.111761,0.855185,0.792266,0.912173,0.977742,SEKER
0.056363,0.099606,0.070553,0.054943,0.111859,0.917768,0.899881,0.798716,0.99749,SEKER
0.056376,0.092201,0.06082,0.054556,0.111882,0.955258,0.962136,0.873786,0.991534,SEKER
0.05641,0.09882,0.074359,0.054931,0.111942,0.923212,0.906944,0.77164,0.970162,SEKER
0.056444,0.094681,0.073951,0.05456,0.112002,0.961124,0.941918,0.774755,0.98403,SEKER
0.056777,0.095593,0.086485,0.054832,0.11259,0.966018,0.938657,0.693106,0.973134,SEKER
0.056837,0.100614,0.085673,0.055195,0.112695,0.937496,0.897833,0.698598,0.9696,SEKER
0.056858,0.089682,0.068057,0.054844,0.112733,0.972268,0.990548,0.820694,0.993605,SEKER
0.057106,0.096595,0.063752,0.055417,0.113169,0.941203,0.934603,0.855666,0.995033,SEKER
0.05717,0.099002,0.084008,0.055483,0.113282,0.940875,0.915417,0.711308,0.984114,SEKER
0.057234,0.0901,0.066911,0.05522,0.113395,0.971363,0.992016,0.832029,0.985928,SEKER
0.057294,0.093311,0.070908,0.055496,0.1135,0.950981,0.964976,0.802455,0.979376,SEKER
0.057324,0.1001,0.077046,0.055549,0.113553,0.948698,0.908384,0.758856,0.988321,SEKER
0.057341,0.099159,0.068453,0.055879,0.113583,0.919556,0.916354,0.821057,0.985843,SEKER
0.057379,0.09566,0.09137,0.055479,0.11365,0.960286,0.946107,0.666604,0.986911,SEKER
0.057388,0.108569,0.075521,0.056209,0.113665,0.893254,0.84154,0.769912,0.968291,SEKER
0.057405,0.09459,0.067744,0.055582,0.113695,0.952994,0.955524,0.826873,0.98988,SEKER
0.057413,0.098372,0.085239,0.055599,0.11371,0.952232,0.92383,0.704891,0.990682,SEKER
0.057456,0.097376,0.080229,0.055764,0.113785,0.940745,0.932696,0.738001,0.993774,SEKER
0.057687,0.096861,0.073029,0.055929,0.114191,0.946316,0.940062,0.789658,0.99231,SEKER
0.057755,0.097613,0.086341,0.055908,0.114311,0.954427,0.934653,0.699963,0.967968,SEKER
0.057755,0.09847,0.092126,0.056048,0.114311,0.941393,0.927505,0.664253,0.986283,SEKER
0.057819,0.113387,0.098317,0.056456,0.114423,0.909373,0.809962,0.628499,0.992615,SEKER
0.057819,0.097739,0.08917,0.056044,0.114423,0.947577,0.934444,0.682631,0.98006,SEKER
0.057853,0.09698,0.069806,0.055966,0.114483,0.957957,0.941257,0.814444,0.979174,SEKER
0.057866,0.101378,0.088944,0.056333,0.114506,0.925057,0.90497,0.68431,0.977786,SEKER
0.057956,0.098831,0.065104,0.056127,0.114663,0.952287,0.927133,0.851116,0.991866,SEKER
0.057969,0.095169,0.071129,0.056069,0.114686,0.958812,0.95812,0.805419,0.969421,SEKER
0.058003,0.092581,0.081869,0.056036,0.114746,0.964974,0.980813,0.730508,0.989681,SEKER
0.058101,0.099562,0.086548,0.056271,0.114918,0.952022,0.922967,0.700749,0.964867,SEKER
0.058139,0.09676,0.07803,0.056415,0.114986,0.942113,0.9469,0.757348,0.990812,SEKER
0.058203,0.104431,0.079278,0.056963,0.115098,0.897268,0.884583,0.749206,0.985641,SEKER
0.058212,0.100536,0.08795,0.056386,0.115113,0.951347,0.916375,0.692578,0.978827,SEKER
0.058242,0.094076,0.066342,0.056407,0.115166,0.952135,0.971128,0.843494,0.990151,SEKER
0.058336,0.09832,0.084692,0.056394,0.11533,0.96177,0.936384,0.714083,0.981455,SEKER
0.0584,0.106706,0.079635,0.056963,0.115443,0.914943,0.868938,0.748032,0.980139,SEKER
0.05843,0.097597,0.082624,0.056629,0.115495,0.94847,0.94369,0.728188,0.972554,SEKER
0.058468,0.102132,0.06779,0.056922,0.115562,0.924891,0.906606,0.833933,0.9864,SEKER
0.058541,0.097115,0.093542,0.05651,0.11569,0.969568,0.949217,0.660345,0.975472,SEKER
0.058545,0.098146,0.073366,0.056844,0.115697,0.93904,0.940598,0.792971,0.995985,SEKER
0.05863,0.102377,0.086288,0.057285,0.115847,0.906093,0.906708,0.705621,0.982894,SEKER
0.05863,0.094064,0.077304,0.056498,0.115847,0.978811,0.976433,0.765563,0.976945,SEKER
0.05875,0.104289,0.074667,0.057268,0.116056,0.918344,0.892729,0.78497,0.982181,SEKER
0.058801,0.093567,0.072722,0.056728,0.116146,0.972802,0.983018,0.799363,0.993987,SEKER
0.058869,0.098588,0.080019,0.057017,0.116265,0.952259,0.941156,0.748417,0.963218,SEKER
0.058869,0.093385,0.077932,0.056629,0.116265,0.98814,0.985507,0.762747,0.983025,SEKER
0.058925,0.104606,0.089295,0.057273,0.116363,0.933684,0.892415,0.688449,0.993931,SEKER
0.058934,0.100818,0.071493,0.057268,0.116378,0.934831,0.923439,0.809289,0.994745,SEKER
0.059006,0.097015,0.0884,0.056996,0.116505,0.966456,0.956216,0.694522,0.967119,SEKER
0.059036,0.109259,0.083398,0.057912,0.116557,0.885056,0.856853,0.726862,0.971173,SEKER
0.059066,0.101191,0.079968,0.057186,0.116609,0.954318,0.922079,0.750013,0.996081,SEKER
0.05907,0.098565,0.072701,0.057264,0.116617,0.94748,0.943982,0.801331,0.985548,SEKER
0.059092,0.103836,0.079141,0.057462,0.116654,0.931186,0.900777,0.755833,0.988114,SEKER
0.059164,0.112889,0.082768,0.057936,0.116781,0.894247,0.830343,0.731819,0.974759,SEKER
0.059228,0.100484,0.084748,0.057446,0.116893,0.944956,0.930035,0.719213,0.971036,SEKER
0.059322,0.100715,0.067235,0.057367,0.117057,0.960596,0.929344,0.844174,0.970369,SEKER
0.059356,0.099132,0.079953,0.057582,0.117117,0.943928,0.942987,0.751967,0.988893,SEKER
0.059382,0.104458,0.085648,0.057837,0.117162,0.922768,0.899457,0.714317,0.981977,SEKER
0.059408,0.096499,0.082149,0.057334,0.117206,0.971301,0.965912,0.737467,0.989093,SEKER
0.059425,0.097936,0.083214,0.057297,0.117236,0.976259,0.953941,0.730488,0.966218,SEKER
0.059476,0.102782,0.098387,0.057553,0.117326,0.957295,0.914307,0.637359,0.989987,SEKER
0.059651,0.106463,0.110603,0.058023,0.117631,0.929824,0.886745,0.572075,0.976802,SEKER
0.059668,0.09929,0.085221,0.057903,0.117661,0.942303,0.945744,0.718835,0.978264,SEKER
0.059672,0.096136,0.086655,0.057524,0.117669,0.977557,0.972524,0.709609,0.985218,SEKER
0.059681,0.105512,0.083157,0.058093,0.117684,0.926081,0.894767,0.732465,0.972016,SEKER
0.059736,0.109367,0.087989,0.0582,0.11778,0.921237,0.86479,0.701498,0.957742,SEKER
0.059745,0.097535,0.090692,0.057685,0.117795,0.969251,0.96156,0.684653,0.99252,SEKER
0.059775,0.111637,0.073015,0.058542,0.117848,0.89347,0.84755,0.803762,0.995417,SEKER
0.059783,0.104953,0.087892,0.058035,0.117862,0.940515,0.900585,0.702397,0.947022,SEKER
0.0598,0.106643,0.088327,0.058155,0.117892,0.931097,0.887201,0.699745,0.989768,SEKER
0.059813,0.111898,0.083081,0.058637,0.117915,0.88827,0.846006,0.733793,0.947933,SEKER
0.059869,0.103343,0.081217,0.058299,0.118011,0.924004,0.914773,0.746629,0.988089,SEKER
0.059877,0.109385,0.09186,0.058497,0.118026,0.906719,0.866417,0.678262,0.938893,SEKER
0.059894,0.108293,0.074715,0.05841,0.118056,0.91613,0.875254,0.792202,0.958441,SEKER
0.059954,0.103406,0.113684,0.057742,0.11816,0.982667,0.915356,0.558023,0.970629,SEKER
0.059988,0.097285,0.083847,0.057973,0.11822,0.964495,0.966898,0.729809,0.973921,SEKER
0.06001,0.101027,0.075727,0.058085,0.118257,0.95619,0.935692,0.7857,0.99242,SEKER
0.060014,0.104708,0.103451,0.058513,0.118265,0.917381,0.905518,0.61192,0.97721,SEKER
0.060048,0.11148,0.090299,0.059227,0.118324,0.85573,0.852166,0.688876,0.928622,SEKER
0.060082,0.102641,0.089295,0.058311,0.118384,0.941907,0.923287,0.695344,0.980029,SEKER
0.060133,0.105094,0.095349,0.058542,0.118473,0.925392,0.903915,0.658762,0.987069,SEKER
0.060159,0.098311,0.084156,0.058093,0.118518,0.968777,0.960439,0.728829,0.989312,SEKER
0.06021,0.09802,0.074117,0.058316,0.118607,0.952948,0.963574,0.798629,0.993218,SEKER
0.060219,0.102182,0.087015,0.058513,0.118622,0.935626,0.928834,0.710615,0.984817,SEKER
0.060257,0.112838,0.06019,0.059251,0.118689,0.872028,0.844239,0.907578,0.993737,SEKER
0.060304,0.100066,0.0926,0.058299,0.118771,0.962832,0.947551,0.676245,0.98974,SEKER
0.060304,0.09908,0.078115,0.058303,0.118771,0.962455,0.95584,0.770742,0.985285,SEKER
0.060522,0.0995,0.089759,0.05839,0.11915,0.973933,0.955154,0.69505,0.986576,SEKER
0.060548,0.101679,0.086147,0.058682,0.119194,0.949452,0.937258,0.718208,0.994459,SEKER
0.060552,0.110103,0.077294,0.059214,0.119202,0.901481,0.86921,0.778115,0.982382,SEKER
0.060642,0.108614,0.09424,0.059058,0.119358,0.923639,0.882104,0.668284,0.983757,SEKER
0.060646,0.103022,0.080311,0.058872,0.119365,0.94089,0.927419,0.757728,0.973378,SEKER
0.060659,0.097977,0.086963,0.058658,0.119388,0.961582,0.969844,0.713609,0.970251,SEKER
0.060671,0.100135,0.089202,0.058666,0.11941,0.961968,0.951762,0.69944,0.948659,SEKER
0.06068,0.099466,0.082368,0.058823,0.119425,0.948432,0.957504,0.743969,0.991571,SEKER
0.060697,0.097836,0.078273,0.058724,0.119454,0.958975,0.971558,0.772172,0.985163,SEKER
0.06071,0.10446,0.09201,0.058971,0.119477,0.937569,0.916442,0.682214,0.962069,SEKER
0.060829,0.106994,0.075985,0.059156,0.119685,0.931307,0.89743,0.789238,0.971092,SEKER
0.060851,0.10279,0.093629,0.059078,0.119722,0.940318,0.931976,0.673172,0.977401,SEKER
0.060872,0.098374,0.077165,0.058942,0.119759,0.954596,0.969279,0.781115,0.983277,SEKER
0.060889,0.099162,0.085836,0.058773,0.119789,0.971534,0.962817,0.722309,0.974321,SEKER
0.060975,0.113427,0.0901,0.059651,0.119937,0.899351,0.848538,0.695601,0.965246,SEKER
0.060987,0.103825,0.084948,0.059119,0.119959,0.948683,0.925199,0.728722,0.975742,SEKER
0.061069,0.09972,0.078627,0.059012,0.1201,0.965637,0.960441,0.772094,0.985509,SEKER
0.061098,0.100269,0.08142,0.059194,0.120152,0.951772,0.956203,0.753014,0.965021,SEKER
0.061115,0.099839,0.08055,0.059095,0.120182,0.96229,0.960055,0.759069,0.987734,SEKER
0.061175,0.10096,0.09174,0.059194,0.120286,0.958581,0.951402,0.686598,0.995322,SEKER
0.06118,0.098951,0.067517,0.059206,0.120293,0.957834,0.96841,0.854978,0.989918,SEKER
0.061188,0.103286,0.071314,0.059391,0.120308,0.941734,0.932222,0.825928,0.976438,SEKER
0.061218,0.11094,0.085777,0.059635,0.12036,0.922338,0.870935,0.7247,0.976391,SEKER
0.061235,0.111688,0.083089,0.059721,0.12039,0.916019,0.865279,0.742596,0.981579,SEKER
0.061256,0.099093,0.08748,0.059239,0.120427,0.961642,0.968209,0.713901,0.971056,SEKER
0.061278,0.108428,0.084619,0.059688,0.120464,0.92277,0.891599,0.732678,0.986241,SEKER
0.061282,0.100786,0.080046,0.059441,0.120471,0.945555,0.954255,0.763594,0.985658,SEKER
0.061291,0.104742,0.080901,0.059589,0.120486,0.932855,0.921566,0.75777,0.98407,SEKER
0.061346,0.104483,0.085105,0.059536,0.120582,0.942617,0.924397,0.729891,0.926765,SEKER
0.061367,0.114645,0.080019,0.059969,0.120619,0.905369,0.843986,0.764325,0.997771,SEKER
0.061376,0.115567,0.097053,0.059787,0.120634,0.922494,0.837023,0.655762,0.958388,SEKER
0.061376,0.100338,0.095468,0.059231,0.120634,0.972982,0.959244,0.66514,0.985529,SEKER
0.061402,0.100682,0.077504,0.059511,0.120679,0.949767,0.956679,0.782147,0.994549,SEKER
0.061577,0.103463,0.087087,0.059581,0.120982,0.958881,0.935761,0.718372,0.968553,SEKER
0.061577,0.09959,0.072257,0.059519,0.120982,0.964495,0.968184,0.821488,0.981405,SEKER
0.061602,0.11084,0.095136,0.05996,0.121027,0.92681,0.876509,0.66842,0.96436,SEKER
0.061615,0.102393,0.084343,0.059507,0.121049,0.969016,0.94513,0.736583,0.986028,SEKER
0.061679,0.106299,0.074243,0.060072,0.12116,0.923536,0.913824,0.807478,0.982919,SEKER
0.061735,0.100508,0.075302,0.059791,0.121256,0.953768,0.962486,0.800116,0.991406,SEKER
0.061735,0.1058,0.082296,0.059911,0.121256,0.942948,0.918592,0.751059,0.977457,SEKER
0.061739,0.113127,0.094716,0.060245,0.121264,0.913194,0.860292,0.671723,0.966697,SEKER
0.061739,0.103196,0.072397,0.06008,0.121264,0.928056,0.940059,0.821539,0.963045,SEKER
0.061752,0.106344,0.091709,0.059919,0.121286,0.943708,0.914384,0.690164,0.989437,SEKER
0.061756,0.101277,0.087745,0.059767,0.121293,0.957893,0.956292,0.715209,0.975765,SEKER
0.061807,0.104724,0.075224,0.059952,0.121382,0.945618,0.928319,0.801166,0.996209,SEKER
0.061876,0.104561,0.093028,0.060055,0.121501,0.942322,0.930533,0.682763,0.971003,SEKER
