@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1-2,8,14,17'

@attribute Area numeric
@attribute Perimeter numeric
@attribute EquivDiameter numeric
@attribute ShapeFactor2 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.060872,0.098374,0.119759,0.781115,SEKER
0.060889,0.099162,0.119789,0.722309,SEKER
0.060975,0.113427,0.119937,0.695601,SEKER
0.060987,0.103825,0.119959,0.728722,SEKER
0.061069,0.09972,0.1201,0.772094,SEKER
0.061098,0.100269,0.120152,0.753014,SEKER
0.061115,0.099839,0.120182,0.759069,SEKER
0.061175,0.10096,0.120286,0.686598,SEKER
0.06118,0.098951,0.120293,0.854978,SEKER
0.061188,0.103286,0.120308,0.825928,SEKER
0.061218,0.11094,0.12036,0.7247,SEKER
0.061235,0.111688,0.12039,0.742596,SEKER
0.061256,0.099093,0.120427,0.713901,SEKER
0.061278,0.108428,0.120464,0.732678,SEKER
0.061282,0.100786,0.120471,0.763594,SEKER
0.061291,0.104742,0.120486,0.75777,SEKER
0.061346,0.104483,0.120582,0.729891,SEKER
0.061367,0.114645,0.120619,0.764325,SEKER
0.061376,0.115567,0.120634,0.655762,SEKER
0.061376,0.100338,0.120634,0.66514,SEKER
0.061402,0.100682,0.120679,0.782147,SEKER
0.061577,0.103463,0.120982,0.718372,SEKER
0.061577,0.09959,0.120982,0.821488,SEKER
0.061602,0.11084,0.121027,0.66842,SEKER
0.061615,0.102393,0.121049,0.736583,SEKER
0.061679,0.106299,0.12116,0.807478,SEKER
0.061735,0.100508,0.121256,0.800116,SEKER
0.061735,0.1058,0.121256,0.751059,SEKER
0.061739,0.113127,0.121264,0.671723,SEKER
0.061739,0.103196,0.121264,0.821539,SEKER
0.061752,0.106344,0.121286,0.690164,SEKER
0.061756,0.101277,0.121293,0.715209,SEKER
0.061807,0.104724,0.121382,0.801166,SEKER
0.061876,0.104561,0.121501,0.682763,SEKER
0.061876,0.099494,0.121501,0.715093,SEKER
0.06188,0.103581,0.121508,0.739692,SEKER
0.061931,0.199846,0.121597,0.471454,SEKER
0.061974,0.111633,0.121671,0.742094,SEKER
0.061982,0.108059,0.121685,0.720049,SEKER
0.062021,0.102994,0.121752,0.686544,SEKER
0.062076,0.101158,0.121848,0.729565,SEKER
0.062085,0.1073,0.121863,0.659009,SEKER
0.062119,0.101725,0.121922,0.653412,SEKER
0.062119,0.154494,0.121922,0.605701,SEKER
0.062132,0.101639,0.121944,0.687061,SEKER
0.06217,0.103015,0.122011,0.709779,SEKER
0.062234,0.106085,0.122122,0.665944,SEKER
0.062349,0.099929,0.122321,0.724464,SEKER
0.062388,0.10332,0.122388,0.721982,SEKER
0.062435,0.104006,0.122469,0.802099,SEKER
0.062465,0.105886,0.122521,0.759739,SEKER
0.062507,0.100638,0.122594,0.746944,SEKER
0.06252,0.121325,0.122616,0.834085,SEKER
0.062537,0.10254,0.122646,0.759259,SEKER
0.06255,0.114669,0.122668,0.698061,SEKER
0.062601,0.104629,0.122757,0.692094,SEKER
0.06261,0.111689,0.122771,0.752223,SEKER
0.06261,0.110075,0.122771,0.772841,SEKER
0.062618,0.115711,0.122786,0.57871,SEKER
0.062627,0.105032,0.122801,0.664919,SEKER
0.062644,0.111927,0.122831,0.800367,SEKER
0.062644,0.110302,0.122831,0.71845,SEKER
0.062704,0.111723,0.122934,0.7203,SEKER
0.062708,0.112227,0.122941,0.735198,SEKER
0.062708,0.106536,0.122941,0.697552,SEKER
0.062776,0.106174,0.123059,0.727522,SEKER
0.062781,0.109878,0.123067,0.710936,SEKER
0.062802,0.099222,0.123104,0.76883,SEKER
0.062811,0.104941,0.123118,0.646023,SEKER
0.062815,0.109154,0.123126,0.696391,SEKER
0.062828,0.098689,0.123148,0.796179,SEKER
0.062875,0.107041,0.123229,0.600545,SEKER
0.062892,0.107924,0.123258,0.649114,SEKER
0.062947,0.101827,0.123354,0.747264,SEKER
0.06296,0.10361,0.123376,0.715942,SEKER
0.063003,0.124473,0.12345,0.790461,SEKER
0.063007,0.106598,0.123457,0.683401,SEKER
0.063144,0.105292,0.123693,0.724,SEKER
0.063199,0.102659,0.123789,0.668292,SEKER
0.063208,0.102388,0.123804,0.73639,SEKER
0.063268,0.10361,0.123907,0.705786,SEKER
0.063306,0.108546,0.123973,0.639375,SEKER
0.06331,0.108061,0.12398,0.694042,SEKER
0.06334,0.111122,0.124032,0.81534,SEKER
0.063361,0.104812,0.124069,0.695471,SEKER
0.063417,0.108145,0.124165,0.727469,SEKER
0.063417,0.108258,0.124165,0.751984,SEKER
0.063438,0.104148,0.124201,0.656098,SEKER
0.063464,0.107239,0.124245,0.830785,SEKER
0.063481,0.104895,0.124275,0.835719,SEKER
0.063485,0.104227,0.124282,0.722132,SEKER
0.063537,0.110132,0.124371,0.660193,SEKER
0.063545,0.105625,0.124385,0.684925,SEKER
0.063554,0.110686,0.1244,0.69967,SEKER
0.063592,0.113987,0.124466,0.716554,SEKER
0.063605,0.108292,0.124488,0.665265,SEKER
0.063626,0.108287,0.124525,0.719217,SEKER
0.063665,0.108135,0.124591,0.700052,SEKER
0.063695,0.104392,0.124643,0.767231,SEKER
0.063699,0.106871,0.12465,0.786357,SEKER
0.063703,0.104867,0.124657,0.768677,SEKER
0.063724,0.116445,0.124694,0.703487,SEKER
0.063759,0.109114,0.124753,0.736723,SEKER
0.063767,0.111599,0.124768,0.696424,SEKER
0.063767,0.107138,0.124768,0.671408,SEKER
0.06381,0.108586,0.124841,0.856299,SEKER
0.063861,0.107274,0.124929,0.679358,SEKER
0.063865,0.11161,0.124937,0.665682,SEKER
0.063895,0.106064,0.124988,0.688891,SEKER
0.063972,0.107336,0.125121,0.744183,SEKER
0.063976,0.105213,0.125128,0.709294,SEKER
0.063998,0.109182,0.125165,0.624545,SEKER
0.064006,0.12321,0.125179,0.774601,SEKER
0.064015,0.102964,0.125194,0.781559,SEKER
0.064023,0.106969,0.125209,0.674498,SEKER
0.0641,0.107234,0.125341,0.712824,SEKER
0.064122,0.110172,0.125378,0.781811,SEKER
0.064126,0.105212,0.125385,0.719464,SEKER
0.064126,0.104528,0.125385,0.705126,SEKER
0.064143,0.119227,0.125414,0.678115,SEKER
0.064143,0.107097,0.125414,0.772899,SEKER
0.064177,0.106979,0.125473,0.690088,SEKER
0.064194,0.104375,0.125502,0.693119,SEKER
0.06425,0.108706,0.125598,0.796587,SEKER
0.064275,0.111252,0.125642,0.63483,SEKER
0.064309,0.105676,0.125701,0.667879,SEKER
0.064386,0.112108,0.125833,0.777393,SEKER
0.06442,0.107766,0.125891,0.654391,SEKER
0.064433,0.104228,0.125913,0.795135,SEKER
0.064437,0.121361,0.125921,0.835051,SEKER
0.064463,0.105497,0.125965,0.723611,SEKER
0.064527,0.103684,0.126075,0.746395,SEKER
0.064536,0.109254,0.126089,0.746466,SEKER
0.064557,0.113687,0.126126,0.578052,SEKER
0.064578,0.108593,0.126163,0.733246,SEKER
0.064625,0.118216,0.126243,0.666046,SEKER
0.064668,0.108217,0.126317,0.794788,SEKER
0.064771,0.111723,0.126493,0.701714,SEKER
0.064809,0.116226,0.126559,0.594912,SEKER
0.064826,0.112035,0.126588,0.641839,SEKER
0.064839,0.116388,0.12661,0.593578,SEKER
0.064852,0.112669,0.126632,0.644718,SEKER
0.064856,0.111072,0.126639,0.759823,SEKER
0.06486,0.105197,0.126646,0.709444,SEKER
0.064882,0.114882,0.126683,0.726026,SEKER
0.064963,0.110314,0.126822,0.702164,SEKER
0.065018,0.108728,0.126917,0.719851,SEKER
0.065018,0.106131,0.126917,0.690919,SEKER
0.06504,0.106598,0.126954,0.79484,SEKER
0.065125,0.113676,0.1271,0.635273,SEKER
0.065146,0.112957,0.127137,0.69369,SEKER
0.065159,0.110453,0.127159,0.752653,SEKER
0.065172,0.119961,0.127181,0.680719,SEKER
0.065176,0.105095,0.127188,0.675002,SEKER
0.065202,0.119345,0.127232,0.696002,SEKER
0.065202,0.113984,0.127232,0.667653,SEKER
0.065215,0.106355,0.127254,0.768803,SEKER
0.06524,0.115964,0.127298,0.686577,SEKER
0.065253,0.112725,0.12732,0.722135,SEKER
0.065257,0.10942,0.127327,0.699542,SEKER
0.065257,0.104748,0.127327,0.762993,SEKER
0.065262,0.10874,0.127335,0.639595,SEKER
0.06533,0.109794,0.127452,0.686669,SEKER
0.06533,0.110359,0.127452,0.64296,SEKER
0.065351,0.109498,0.127488,0.704056,SEKER
0.065373,0.118738,0.127525,0.628922,SEKER
0.06539,0.120103,0.127554,0.560313,SEKER
0.065394,0.10912,0.127561,0.700542,SEKER
0.065398,0.109057,0.127569,0.69863,SEKER
0.065407,0.109345,0.127583,0.674595,SEKER
0.065492,0.107876,0.12773,0.658164,SEKER
0.065509,0.113529,0.127759,0.686387,SEKER
0.065518,0.102518,0.127773,0.870484,SEKER
0.065552,0.115416,0.127832,0.597637,SEKER
0.065573,0.110313,0.127868,0.882367,SEKER
0.06559,0.111922,0.127898,0.650925,SEKER
0.065625,0.109809,0.127956,0.723273,SEKER
0.06565,0.116734,0.128,0.559204,SEKER
0.06565,0.109691,0.128,0.797619,SEKER
0.065689,0.108871,0.128066,0.690018,SEKER
0.06571,0.10736,0.128102,0.733521,SEKER
0.065765,0.114278,0.128197,0.703635,SEKER
0.065821,0.111717,0.128292,0.678501,SEKER
0.065834,0.112811,0.128314,0.702926,SEKER
0.065834,0.109108,0.128314,0.636019,SEKER
0.065851,0.106069,0.128343,0.742398,SEKER
0.065864,0.108961,0.128365,0.776948,SEKER
0.065898,0.105365,0.128424,0.756423,SEKER
0.065945,0.107251,0.128504,0.752249,SEKER
0.065979,0.109096,0.128562,0.737916,SEKER
0.066103,0.110473,0.128774,0.689433,SEKER
0.066103,0.109572,0.128774,0.67659,SEKER
0.066163,0.109781,0.128876,0.670348,SEKER
0.066197,0.109493,0.128934,0.770454,SEKER
0.066235,0.112274,0.129,0.630686,SEKER
0.066329,0.126902,0.12916,0.545546,SEKER
0.066333,0.108611,0.129168,0.63012,SEKER
0.066333,0.115619,0.129168,0.528466,SEKER
0.066385,0.109153,0.129255,0.753064,SEKER
0.066393,0.123278,0.12927,0.874642,SEKER
0.066406,0.110399,0.129292,0.729373,SEKER
0.066419,0.109781,0.129313,0.707888,SEKER
0.066427,0.121603,0.129328,0.586285,SEKER
0.066432,0.111493,0.129335,0.621406,SEKER
0.066508,0.110902,0.129466,0.708638,SEKER
0.066525,0.114124,0.129496,0.883532,SEKER
0.066551,0.11524,0.129539,0.780145,SEKER
0.066581,0.114849,0.12959,0.550588,SEKER
0.066619,0.108649,0.129656,0.654687,SEKER
0.066649,0.112211,0.129707,0.672802,SEKER
0.066662,0.148728,0.129729,0.671716,SEKER
0.066679,0.107313,0.129758,0.700279,SEKER
0.066713,0.113909,0.129816,0.730174,SEKER
0.066777,0.114554,0.129925,0.691032,SEKER
0.066846,0.12183,0.130042,0.679235,SEKER
0.06685,0.115709,0.130049,0.623634,SEKER
0.066876,0.108876,0.130093,0.724446,SEKER
0.066888,0.113015,0.130115,0.688825,SEKER
0.066918,0.113581,0.130165,0.700203,SEKER
0.066952,0.107388,0.130224,0.695367,SEKER
0.06697,0.118959,0.130253,0.581705,SEKER
0.066974,0.128823,0.13026,0.583548,SEKER
0.066991,0.113774,0.130289,0.693736,SEKER
0.066991,0.125606,0.130289,0.717958,SEKER
0.067004,0.135791,0.130311,0.836009,SEKER
0.067017,0.111837,0.130333,0.800548,SEKER
0.067038,0.108474,0.130369,0.779713,SEKER
0.067038,0.108091,0.130369,0.830708,SEKER
0.067072,0.113388,0.130427,0.641204,SEKER
0.067106,0.127553,0.130486,0.720175,SEKER
0.06711,0.122311,0.130493,0.655909,SEKER
0.067123,0.115201,0.130515,0.69908,SEKER
0.06714,0.113665,0.130544,0.874554,SEKER
0.067153,0.126868,0.130566,0.643695,SEKER
0.067175,0.116021,0.130602,0.573841,SEKER
0.067183,0.106091,0.130616,0.716841,SEKER
0.067183,0.114158,0.130616,0.751089,SEKER
0.067192,0.111255,0.130631,0.673584,SEKER
0.067192,0.108888,0.130631,0.672381,SEKER
0.067234,0.109244,0.130704,0.677037,SEKER
0.067234,0.115455,0.130704,0.817425,SEKER
0.067247,0.110155,0.130725,0.678326,SEKER
0.06732,0.110188,0.130849,0.694705,SEKER
0.067422,0.113473,0.131023,0.702871,SEKER
0.067533,0.129982,0.131212,0.719738,SEKER
0.067567,0.120947,0.13127,0.690213,SEKER
0.067576,0.109374,0.131285,0.678968,SEKER
0.067606,0.119032,0.131336,0.772426,SEKER
0.067606,0.107506,0.131336,0.692861,SEKER
0.067623,0.113421,0.131365,0.889767,SEKER
0.06764,0.120731,0.131394,0.74901,SEKER
0.067657,0.109131,0.131423,0.654136,SEKER
0.067687,0.136771,0.131474,0.634578,SEKER
0.067713,0.113106,0.131517,0.598719,SEKER
0.067802,0.115773,0.13167,0.626469,SEKER
0.067811,0.129332,0.131684,0.761508,SEKER
0.067853,0.112567,0.131757,0.66355,SEKER
0.067913,0.113542,0.131858,0.603338,SEKER
0.067939,0.115047,0.131902,0.720315,SEKER
0.06796,0.1104,0.131938,0.685797,SEKER
0.067977,0.108931,0.131967,0.711868,SEKER
0.06799,0.11842,0.131989,0.630761,SEKER
0.067999,0.107924,0.132003,0.771598,SEKER
0.068016,0.110989,0.132032,0.826612,SEKER
0.068067,0.109748,0.132119,0.724037,SEKER
0.068084,0.113365,0.132148,0.675584,SEKER
0.068101,0.112919,0.132177,0.700855,SEKER
0.068118,0.113116,0.132206,0.620803,SEKER
0.068165,0.112812,0.132286,0.672503,SEKER
0.068204,0.107664,0.132351,0.736042,SEKER
0.068216,0.113037,0.132373,0.760868,SEKER
0.068255,0.114486,0.132438,0.705364,SEKER
0.06828,0.117843,0.132482,0.698228,SEKER
0.068323,0.111406,0.132554,0.68168,SEKER
0.068323,0.11469,0.132554,0.681635,SEKER
0.068344,0.117459,0.13259,0.646884,SEKER
0.0684,0.112674,0.132684,0.697359,SEKER
0.068417,0.122667,0.132713,0.788417,SEKER
0.06846,0.111742,0.132786,0.670818,SEKER
0.068494,0.115904,0.132844,0.641988,SEKER
0.068494,0.116762,0.132844,0.672595,SEKER
0.068502,0.116865,0.132858,0.671843,SEKER
0.068528,0.1146,0.132902,0.660816,SEKER
0.068545,0.113825,0.132931,0.752306,SEKER
0.068549,0.113207,0.132938,0.737928,SEKER
0.068579,0.112754,0.132988,0.777262,SEKER
0.068643,0.119288,0.133097,0.948866,SEKER
0.068737,0.114038,0.133256,0.750705,SEKER
0.068746,0.114519,0.133271,0.745174,SEKER
0.068776,0.11443,0.133321,0.688398,SEKER
0.068797,0.118136,0.133357,0.631105,SEKER
0.068814,0.111328,0.133386,0.76726,SEKER
0.068831,0.127073,0.133415,0.679992,SEKER
0.06887,0.115947,0.13348,0.673002,SEKER
0.068887,0.114277,0.133509,0.771293,SEKER
0.068891,0.118744,0.133517,0.595765,SEKER
0.068938,0.114335,0.133596,0.647179,SEKER
0.068942,0.116434,0.133603,0.61788,SEKER
0.068951,0.114192,0.133618,0.656469,SEKER
0.068985,0.111509,0.133676,0.785562,SEKER
0.069032,0.124004,0.133755,0.587086,SEKER
0.06904,0.118846,0.13377,0.657156,SEKER
0.069053,0.118964,0.133791,0.673711,SEKER
0.069062,0.11186,0.133806,0.719033,SEKER
0.069079,0.114363,0.133835,0.647773,SEKER
0.069087,0.115783,0.133849,0.662833,SEKER
0.069092,0.115178,0.133856,0.597921,SEKER
0.069113,0.120149,0.133892,0.602538,SEKER
0.069126,0.11186,0.133914,0.863269,SEKER
0.069143,0.118388,0.133943,0.750909,SEKER
